centre,CHB,JPT,CHS,CDX,KHV,CEU,TSI,FIN,GBR,IBS,YRI,LWK,GWD,MSL,ESN,ASW,ACB,MXL,PUR,CLM,PEL,GIH,PJL,BEB,STU,ITU
Barts,0.009871687868242263,0.009458436685931385,0.010270924406137154,0.008290002334356847,0.009958170197272383,0.12716566025629017,0.09281017526784237,0.1066524070321259,0.11677883517089283,0.10927166982905687,0.0033993048303378065,0.004669411617039654,0.005310819664784603,0.0028356573436621453,0.0030794557372553996,0.01285953702075325,0.015622275887880276,0.031329048448664784,0.07045237287854188,0.06277997022563886,0.024675107649531593,0.0364963283521767,0.03946094638890084,0.026718944118267092,0.029301828036618918,0.030481022751798693
Birmingham,0.009484875241444223,0.009054726588657717,0.009851536419970911,0.007968526339285726,0.009558823864761336,0.1295277830492235,0.09254093420792242,0.10895443626170905,0.11895387852479511,0.1094560890246785,0.0031945066857765863,0.0043811828933323724,0.005047373299512827,0.0026858644202742555,0.0028990754613857197,0.012888309002154326,0.015857911236148246,0.031204339259368725,0.07025371503166807,0.06250489237672427,0.02450449931023782,0.035811898089152104,0.03885512478533367,0.02624367162547424,0.028679209411419902,0.029636817589589227
Bristol,0.009521775899584915,0.009095369903545964,0.009836303417554775,0.007988074931399376,0.00959349144412702,0.12933664030713177,0.09245654101761894,0.1085540933723054,0.11925833400668653,0.10962300297912436,0.003234571346003425,0.0043989711822800485,0.005104733979362995,0.0027243930807840907,0.0029371782237609897,0.01291761800933459,0.015773645436908134,0.031169340662128762,0.07031827342368056,0.06253657083622385,0.02445409433172874,0.03582212281628044,0.0387941878547419,0.026265654411294033,0.02863472445521996,0.02965029267118596
Bury,0.009455199528791862,0.009050324674633908,0.009815795783544254,0.007938026923652308,0.009547228700623822,0.13069950966851945,0.09228485918954218,0.10877888560679255,0.11918539691780074,0.1094316271885494,0.003189063475335058,0.0043279140725828455,0.005070947421284524,0.0026727268489885885,0.0028781812047182966,0.013009721434299083,0.015783382148071116,0.03127350990987735,0.0699981793146873,0.06246891801688901,0.024451599986103915,0.035677632790955656,0.03872690864088568,0.026163699793764265,0.028583894696306116,0.02953686606280118
Cardiff,0.009500294200775675,0.009081817418593839,0.009850683649557554,0.007957695247107049,0.00959425377961255,0.1289974927378329,0.09251858854184299,0.10670650888768915,0.11943691104652429,0.11044626570363845,0.003165291465176633,0.0043377800578209055,0.005054712000209162,0.0026743721270327853,0.002902734994623374,0.012786010140552764,0.015715871975854556,0.03138466614431703,0.07072060221561355,0.06305498855087703,0.024602996625964733,0.03592373952284886,0.0389278659064501,0.02633748709549788,0.02856379919884701,0.029756570765138525
Croydon,0.009637348215080674,0.009210114113394511,0.009998884924578932,0.008105002109386961,0.009728005464161619,0.12849251501188924,0.09246277008378602,0.1080825383369814,0.11828299280969373,0.10943870981429273,0.003301999574974003,0.004512665381774485,0.005194222443997653,0.002776555844160552,0.003003841848215184,0.012880782118432145,0.01573094523038879,0.031246749961251673,0.07043032888313853,0.062415586361369534,0.0246014538202908,0.03608161335397148,0.03905993678794689,0.026400524729817944,0.0289381734384803,0.029985739338545137
Edinburgh,0.009403774280930673,0.008944743650145833,0.009764403290623268,0.007943433502610918,0.00950169916656808,0.12968004169340563,0.09226746648114678,0.10671342767704023,0.12112767735624448,0.110107361348315,0.003098124824976135,0.004255141164826855,0.0049117678902117,0.0025990673560400087,0.0028104999890368673,0.013038858418433417,0.015578734073346858,0.031413500386429656,0.07031877227720512,0.06301016888860406,0.0245697129362004,0.035844963656911435,0.03888402558212716,0.026198454412104957,0.028443196171073572,0.029570983525443024
Glasgow,0.009395444991837074,0.008952032664888478,0.009744307550456945,0.007889216791650638,0.00944793179371787,0.12919124243867053,0.0922527215242091,0.1058670196526495,0.12149185804877351,0.11070548565187714,0.003054949738709208,0.00423661917895414,0.0048564782028230336,0.002584345310420427,0.0027665453647271253,0.013119314565358997,0.015534486067879896,0.03159734174973383,0.0704813852376784,0.06329815705579495,0.02464102509789294,0.035875433658689455,0.03895603499198296,0.02618203109373077,0.028331997378311654,0.029546594198581213
Hounslow,0.009645945310976171,0.009209492501815979,0.010025193446282468,0.008126708246860414,0.009732261625976324,0.12829447837543284,0.09251164791541361,0.10801115296511933,0.11815551222670821,0.10938236152451433,0.00329832459574292,0.004509261012494916,0.005225343465167216,0.002780603929277572,0.003003006245167107,0.012878434882258176,0.01573163393210921,0.03126188519017837,0.07022929986274966,0.06266488477231963,0.02457626885418158,0.03613473260594787,0.03910475752623393,0.02646986431566068,0.029018058601162296,0.030018886070250595
Leeds,0.009485211972270568,0.009061802946007396,0.009844983930176627,0.007979587857311139,0.009579123162417274,0.13034120325347973,0.09235879063970723,0.10939113935578648,0.11878461565174805,0.10934403592152507,0.0031942740372656146,0.004356473756835235,0.005083528937048233,0.0026935481491394426,0.0029033634684298777,0.01297146745891723,0.015823387618468177,0.03117621288961376,0.07006537704318147,0.06240371152681576,0.024459630428473773,0.03571019824518433,0.03863853398439299,0.026170287788525082,0.02864763845880145,0.029531871518478317
