ethnicity,CHB,JPT,CHS,CDX,KHV,CEU,TSI,FIN,GBR,IBS,YRI,LWK,GWD,MSL,ESN,ASW,ACB,MXL,PUR,CLM,PEL,GIH,PJL,BEB,STU,ITU
African,0.004947803754474095,0.005081240229698037,0.0057110631813080065,0.004740616186978312,0.005368589043785356,0.007870902807316555,0.009553879012033245,0.006872053815243179,0.007325176581952118,0.010841680186226312,0.1604457964248759,0.12641310527621083,0.10818651413775399,0.09592253162256362,0.15096024000915653,0.06339916242804858,0.1333753575186113,0.007227673429944918,0.02555173911470177,0.01805650750990126,0.0074053766135390746,0.00693590217898036,0.007088894410510755,0.005911798625603987,0.007560266650728719,0.007246129249853258
Any other Asian background,0.04564418149043385,0.046613392390245534,0.05232876874295743,0.043908659229204616,0.048871081244985244,0.04065513921064621,0.043479092640657566,0.03824378250396666,0.038037200140347456,0.042572533709524636,0.0058989060897166245,0.007308044960681177,0.007267813082364058,0.004777331750868864,0.005372538539651113,0.007057291426012689,0.009871054755394595,0.019192951132329848,0.03230301601058497,0.031066513041215594,0.022566552851120407,0.07873326608781527,0.07620107625137784,0.06537506586397131,0.10134791303756414,0.08530683381636217
Any other Black background,0.007790594018589282,0.007470368961522816,0.00873304669474542,0.007305020953389659,0.008581488786695915,0.025788385768882413,0.021217306749271542,0.02190408588491285,0.024478231316044093,0.025126794885951532,0.13179364981947872,0.0958415614258008,0.09103804985589828,0.0811727759890558,0.12189358738228302,0.05333558716949133,0.11151011712065836,0.011113668649735167,0.031566539321394284,0.02455302326228023,0.01090377170761656,0.015698783174777315,0.01663658640251506,0.013130693702108913,0.01626901670425661,0.015147264292644309
Any other mixed background,0.02396635590703175,0.022455158257668976,0.027587393254052527,0.02267118924775345,0.025184563936886874,0.08260240732810585,0.06817344362655306,0.07210086965205494,0.07586631984766483,0.07742449430856672,0.023385229844278765,0.021980282029362655,0.019735330496560052,0.015200796624072414,0.022154285384213768,0.01776867101382302,0.028052977012365293,0.029183912589092878,0.05599282653713133,0.0522702455089898,0.030888410432072886,0.039541701715893954,0.040625507731875565,0.03146667735312079,0.03695224341524578,0.03676870694556198
Any other white background,0.011445063234013737,0.01106899848677598,0.012029361136951395,0.009648592130351335,0.011411888157133277,0.11473671980180612,0.09320556716576608,0.10833145362476564,0.10482592341711552,0.10542164513259232,0.00452242112484442,0.006049021522212212,0.006713833434939202,0.0037112031238497488,0.0041340362124311645,0.012390911086688666,0.015391263685234228,0.031614065292473056,0.06972312954307062,0.062341109684853416,0.026021677408925286,0.03889189632082081,0.04176261867948714,0.028636158528359115,0.03240751553844172,0.03356392652609792
Asian or Asian British,0.027993210753925874,0.02721258128447872,0.03003522766608788,0.024818325334273028,0.02876090014765925,0.05836245761806839,0.05586225810572232,0.05141970250604459,0.05576660968893195,0.05728206006168284,0.005227204598642221,0.0064203065525192185,0.006655967016837685,0.004238298308028508,0.004886282538753179,0.008349535292519954,0.011511717535171849,0.022846238871619448,0.04040961782624621,0.03866765573551116,0.022621536804155313,0.08790283215269488,0.08591756654816027,0.06690468016299157,0.08627055799057526,0.08365666889869847
Bangladeshi,0.03826246856258529,0.03698455882992539,0.04306964303117264,0.038166292921511316,0.04442402345342459,0.03904131661081133,0.0400531700740621,0.038365328910831574,0.037087664407651016,0.0396893142182487,0.005161205775742316,0.005887386908261412,0.006319640722207663,0.00423926198170577,0.0047011805292228,0.006592270036119058,0.009167589130237956,0.0180234489276516,0.029569142021265846,0.028701597228741226,0.021668400473214344,0.09646965675140756,0.08732658614439218,0.08633248274778214,0.09831620937564702,0.09638016022617706
Black or Black British,0.005458211220302675,0.004552445538679462,0.005707088075717396,0.004720603592202129,0.005069865228143427,0.027543251167382342,0.01905589498585899,0.021593094923984316,0.02474936580865421,0.027072635410764406,0.1358843097577631,0.1005561176146437,0.09769178718589062,0.08458519783550301,0.13197179055183791,0.05741460974964289,0.11911668082532875,0.010540277917561416,0.03268412571473782,0.024495691598749817,0.009661797999407012,0.010553323826879927,0.01103918260840834,0.00814137257333768,0.010462589437485886,0.009678688851132988
British,0.009503467309047059,0.009081162487359929,0.009851349479238311,0.007981250557531109,0.00957946432445407,0.12965605052105106,0.09239628733340297,0.10848222086999652,0.11919382996420083,0.1096137535432322,0.0031961272778841853,0.0043640694751436405,0.005063136925608791,0.002690632464891872,0.0029012700945241026,0.012941451438536502,0.015739556420788746,0.031247204063450804,0.07024416876906661,0.06259805089665936,0.02450869036156781,0.03583034769279269,0.038825897328598445,0.026239543904313038,0.028621903825295066,0.029649112671369313
Caribbean,0.005470280892735313,0.005553829687569485,0.006158098693510266,0.00514747709825097,0.0058459227328024055,0.01870818070911034,0.015714756179847612,0.016162500221166873,0.01738319141465944,0.018969049699611384,0.1495310730726547,0.09670180646168047,0.1000470875314702,0.09066526852544936,0.14250942794406432,0.06016367267769072,0.12753898328524346,0.009223835286617403,0.028992600116619843,0.021705773074031588,0.009535535182675902,0.010006926955818563,0.010322516816189621,0.00825878303712477,0.009875335672815934,0.009808087030589871
