Unnamed: 0,replicate,sample_size,Ne,length,recombination_rate,mutation_rate,error_param,edges,n_trees,n_sites,seed,RentPlus_completed,tsinfer_completed,ARGweaver_completed,fastARG_completed,fastARG_0_KCrooted,fastARG_cputime,fastARG_0_SPRunrooted,fastARG_0_wRFunrooted,fastARG_edges,fastARG_0_wRFrooted,fastARG_0_RFrooted,fastARG_0_RFunrooted,fastARG_0_pathunrooted,fastARG_ts_filesize,fastARG_memory,RentPlus_cputime,RentPlus_0_KCrooted,RentPlus_0_wRFrooted,RentPlus_0_pathunrooted,RentPlus_0_RFrooted,RentPlus_0_SPRunrooted,RentPlus_0_RFunrooted,RentPlus_0_wRFunrooted,RentPlus_memory,tsinfer_2_RFrooted,tsinfer_2_wRFrooted,tsinfer_0_pathunrooted,tsinfer_0_wRFrooted,tsinfer_0_wRFunrooted,tsinfer_max_polytomy,tsinfer_2_pathunrooted,tsinfer_0_RFunrooted,tsinfer_0_KCrooted,tsinfer_0_SPRunrooted,tsinfer_2_KCrooted,tsinfer_2_wRFunrooted,tsinfer_edges,tsinfer_memory,tsinfer_0_RFrooted,tsinfer_cputime,tsinfer_var_polytomy,tsinfer_mean_polytomy,tsinfer_2_RFunrooted,tsinfer_2_SPRunrooted,tsinfer_ts_filesize,ARGweaver_edges,ARGweaver_memory,ARGweaver_cputime,ARGweaver_0_RFrooted,ARGweaver_0_KCrooted,ARGweaver_iterations,ARGweaver_0_RFunrooted,ARGweaver_0_wRFrooted,ARGweaver_0_pathunrooted,ARGweaver_0_wRFunrooted,ARGweaver_ts_filesize,ARGweaver_0_SPRunrooted
0,0,16,Gutenkunst.out.of.africa,100000,1e-08,4.999999999999999e-09,0,288,85,48,808716224,False,True,True,True,22.565660509604125,0.0,4.969427912453222,108285.80467835735,62.0,108289.29213779328,22.353290707209705,20.52071070720971,30.562263994014444,9268.0,2052096.0,,,,,,,,,,20.163059837974085,108622.08691332806,32.39939066670281,108622.08691332805,108617.77882900456,10.0,23.402959450773277,12.348141006499452,12.76017086386964,,15.398394914527069,108617.77882900459,60.0,57843712.0,13.777390372879934,1.07,5.896193771626298,3.5294117647058822,18.704847823490134,4.724940872557008,11028.0,278.0,197636096.0,2436.39,21.42657,20.08198510295381,"0,20,40,60,80,100,120,140,160,180",20.059446,108503.01575050657,27.499377709260376,107557.64626585893,16146.4,4.880417
1,0,16,Gutenkunst.out.of.africa,100000,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,288,85,48,808716224,True,False,True,False,,,,,,,,,,,,1.51,21.95513123566963,,28.383997137652262,20.25579,4.7445,18.48871,,67850240.0,,,,,,,,,,,,,,,,,,,,,,278.0,197656576.0,2382.25,21.42657,20.08198510295381,"0,20,40,60,80,100,120,140,160,180",20.059446,108503.01575050657,27.499377709260376,107557.64626585893,16146.4,4.880417
2,0,16,Gutenkunst.out.of.africa,100000,1e-08,1.4898859031336945e-08,0,340,98,163,1137898847,True,False,True,True,14.444432787404383,0.0,2.5704431407712853,119602.93800120326,141.0,119607.5804789062,10.707211796950714,8.271862074938543,14.2733720512184,16972.0,2093056.0,3.4,11.622606430750503,,13.462949322918863,9.17313,2.187165,7.69223,,131420160.0,,,,,,,,,,,,,,,,,,,,,,351.8,141406208.0,2195.76,9.57508,10.85859676720964,"0,20,40,60,80,100,120,140,160,180",8.430670000000001,100690.34420783664,14.749490555452436,99678.59821756136,18988.0,2.886524
3,0,16,Gutenkunst.out.of.africa,100000,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,340,98,163,1137898847,True,False,True,True,15.470303545270145,0.0,2.6992725866731173,119530.45059314133,172.0,119537.87208588173,11.839435321652044,9.425768940866913,14.89022409034591,18188.0,2088960.0,3.44,11.295301855325542,,13.583490743142033,9.32964,2.245425,7.93735,,134488064.0,,,,,,,,,,,,,,,,,,,,,,361.6,148004864.0,2400.15,9.143428,10.11361605658728,"0,20,40,60,80,100,120,140,160,180",7.935758,97373.55026151153,13.49147690460845,96394.52211407354,19282.4,2.555681
4,0,16,Gutenkunst.out.of.africa,100000,1e-08,4.439520008713e-08,0,356,100,536,716355064,True,True,True,True,13.150910295069272,0.0,2.3756884093137027,116334.50012739976,235.0,116338.92460214692,9.662433096155498,7.990085136748201,13.914030163125778,35636.0,2068480.0,9.31,10.684404749109687,,11.224598315908699,7.80238,2.008785,6.00321,,308817920.0,8.892417860108171,117240.41669167095,16.55348982564147,117240.41669167095,117238.2685215517,30.0,13.353732303361928,6.428794295506197,9.633074995113306,3.8534339990662407,9.960653655340217,117238.26852155171,322.0,58851328.0,7.568399463058972,1.05,12.84395061728395,3.5777777777777784,7.668298925001925,2.5441354909200458,40676.0,407.8,188915712.0,3279.23,8.973040000000001,10.723255934981708,"0,20,40,60,80,100,120,140,160,180",7.615938,71628.35090616951,13.482669142881042,70765.2869816395,20967.2,2.363258
5,0,16,Gutenkunst.out.of.africa,100000,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,356,100,536,716355064,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.0,197447680.0,3299.39,10.86195,10.913679579598133,"0,20,40,60,80,100,120,140,160,180",9.527736,73435.85296886653,14.459583158140703,72318.57198859565,22187.11111111111,2.943535
6,0,16,Gutenkunst.out.of.africa,100000,1e-08,1.3228756555322952e-07,0,424,122,1681,309401769,True,True,True,False,,,,,,,,,,,,20.770000000000003,9.936433644376322,,12.550759183219581,7.9185,2.20098,6.72686,,708476928.0,7.880645814031906,131593.16526624138,13.584401221726342,131593.16526624138,131591.637934119,49.0,13.369024174140097,7.067414310562146,7.972145383966109,2.049510677474689,8.214073838730055,131591.637934119,411.0,58896384.0,7.481918002815275,1.54,24.63830902262206,3.8411214953271027,7.443320629070963,2.289219830928187,89772.0,471.7,153784320.0,3379.07,7.11528,7.384570238491004,"0,20,40,60,80,100,120,140,160,180",6.621125999999999,54211.68970618783,10.843242196587067,53540.64682438907,23604.0,1.9971900000000002
7,0,16,Gutenkunst.out.of.africa,100000,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,424,122,1681,309401769,True,True,True,False,,,,,,,,,,,,16.35,11.306639321638666,,15.113846617354278,11.88256,3.13543,10.982,,616235008.0,11.81708158962358,131591.64761721223,17.24544908291843,131591.64761721223,131589.72559206124,113.0,15.59201366631253,9.982486081569645,9.52566243720649,2.654439656490688,10.221173440964186,131589.7255920612,898.0,59305984.0,10.548624043395975,1.37,76.21218793788785,4.802139037433155,11.208012524565788,3.1955167689595223,107212.0,524.4,156008448.0,3296.2699999999995,7.733140000000001,8.266813568222082,"0,20,40,60,80,100,120,140,160,180",7.101426000000001,58262.16698373201,11.571742046938546,57328.21370824339,25653.6,2.199146
8,0,16,Gutenkunst.out.of.africa,100000,1e-08,3.941867581552624e-07,0,358,97,4367,429519779,True,True,False,False,,,,,,,,,,,,36.010000000000005,8.783912174199868,,7.460753639456692,5.27508,1.45298,3.60542,,1373818880.0,3.444919997686719,109351.18363001707,6.768778897870426,109351.18363001707,109350.78510179873,41.0,6.764288929723037,3.2105556088694707,3.71488012197752,1.2673719133470889,3.753582165856522,109350.78510179874,490.0,61718528.0,3.4041432571982115,1.69,21.241622574955908,3.888888888888889,3.2408420843133214,1.3049234824433207,200156.0,,,,,,,,,,,,
9,0,16,Gutenkunst.out.of.africa,100000,1e-08,3.941867581552624e-07,EmpiricalErrorPlatinum1000G,358,97,4367,429519779,True,False,False,True,15.241851902689158,0.29,3.8589954192468046,102587.19952822842,3795.0,102630.74820463528,15.26598520083854,12.728117667350096,17.768909390469627,326836.0,2449408.0,25.41,9.937842785510023,,11.380735785518192,8.31765,2.413245,6.91915,,795078656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
