Unnamed: 0,replicate,sample_size,Ne,length,recombination_rate,mutation_rate,error_param,edges,n_trees,n_sites,seed,ARGweaver_completed,RentPlus_completed,tsinfer_completed,fastARG_completed,RentPlus_0_RFrooted,RentPlus_0_RFunrooted,RentPlus_memory,RentPlus_0_pathunrooted,RentPlus_0_wRFrooted,RentPlus_0_SPRunrooted,RentPlus_0_KCrooted,RentPlus_0_wRFunrooted,RentPlus_cputime,fastARG_0_wRFunrooted,fastARG_0_RFrooted,fastARG_0_wRFrooted,fastARG_0_RFunrooted,fastARG_memory,fastARG_0_pathunrooted,fastARG_0_SPRunrooted,fastARG_edges,fastARG_0_KCrooted,fastARG_cputime,fastARG_ts_filesize,tsinfer_memory,tsinfer_max_polytomy,tsinfer_2_wRFrooted,tsinfer_0_RFunrooted,tsinfer_2_SPRunrooted,tsinfer_2_RFrooted,tsinfer_0_wRFunrooted,tsinfer_mean_polytomy,tsinfer_2_KCrooted,tsinfer_0_SPRunrooted,tsinfer_0_KCrooted,tsinfer_2_wRFunrooted,tsinfer_0_RFrooted,tsinfer_cputime,tsinfer_var_polytomy,tsinfer_0_pathunrooted,tsinfer_edges,tsinfer_2_RFunrooted,tsinfer_0_wRFrooted,tsinfer_2_pathunrooted,tsinfer_ts_filesize,ARGweaver_0_SPRunrooted,ARGweaver_0_RFunrooted,ARGweaver_edges,ARGweaver_0_wRFrooted,ARGweaver_memory,ARGweaver_0_wRFunrooted,ARGweaver_iterations,ARGweaver_0_pathunrooted,ARGweaver_ts_filesize,ARGweaver_cputime,ARGweaver_0_KCrooted,ARGweaver_0_RFrooted
0,0,10,5000,40000,1e-08,1e-08,0,98,23,23,808716224,True,True,True,True,7.50765,5.3465,55545856.0,7.8428457560814655,,1.731375,8.303100871912285,,0.71,64240.26957856255,8.92618337686609,64241.88077302151,6.449388917910727,2121728.0,8.036729425894569,1.6523472294776818,22.0,8.42843395937419,0.0,6508.0,58019840.0,5.0,64347.903476219886,6.6950227017965895,2.0264168105389766,8.513059134302539,64346.927078868925,2.555555555555556,7.620543463905865,,7.398874789916787,64346.927078868925,7.910633215021177,1.06,0.9135802469135802,9.011512240060927,23.0,7.164543885981341,64347.903476219886,8.17861901816951,8436.0,2.3049825000000004,8.171510000000001,78.3,67189.34618339379,83968000.0,66143.22644021126,"0,20,40,60,80,100,120,140,160,180",9.46145896046744,7820.0,1249.08,9.511246672468712,10.36645
1,0,10,5000,200000,1e-08,1e-08,0,301,99,127,1137898847,True,True,True,True,4.05581,3.16195,85426176.0,5.530451963457727,,1.21817,4.841774603377086,,1.3800000000000001,59527.04576319751,5.495494506351983,59533.22553264753,3.242863698775575,2035712.0,5.1827671478766835,1.042255352768663,97.0,7.0745159727973626,0.0,13660.0,58929152.0,11.0,59789.06405170682,3.5269075771934872,1.3597956355815035,4.842546591650022,59788.35826522128,3.375,4.600458136346118,1.0849515285400229,4.35558988893145,59788.35826522128,4.38237872897573,1.14,6.546875,6.444340636003598,108.0,3.982809478554045,59789.064051706824,6.040149916712371,15844.0,1.2169889999999999,3.479042,340.5,51905.62378519212,248295424.0,51218.42157714579,"0,20,40,60,80,100,120,140,160,180",5.560230843585295,18575.2,4691.08,4.922907350346634,4.426638
2,0,20,5000,200000,1e-08,1e-08,0,315,80,98,716355064,True,True,True,True,18.29748,16.49581,101228544.0,30.60369026769759,,4.05124,21.48322314854035,,1.83,50914.21111100956,17.860919476212853,50918.63567252508,15.476271622046776,2080768.0,29.93298645493548,4.15971553630027,145.0,27.780403847555966,0.0,14700.0,58355712.0,16.0,51686.23741173707,15.511448720516805,4.988080452036668,21.591189778769184,51685.629879298016,3.71875,26.853375479205194,,23.929658021859765,51685.629879298016,17.116728812876293,1.08,9.4521484375,36.32338209651493,119.0,19.62747214968315,51686.237411737064,33.30699655855996,15460.0,4.6680684999999995,18.543241,371.0,55734.830830689265,402890752.0,55517.724391180236,"0,20,40,60,80,100,120,140,160,180",31.718510353302907,19598.666666666668,10116.47,23.08697881354064,20.324885
3,0,40,5000,200000,1e-08,1e-08,0,591,152,149,309401769,True,True,True,True,33.08347,31.63291,281296896.0,54.6101215972511,,9.192025,33.34194204294663,,5.8,78031.71998254133,34.56004985021189,78038.86653231952,32.324154843058444,2117632.0,62.266748307847344,8.913573897383273,353.0,47.678970190025595,0.0,25508.0,59363328.0,25.0,80537.2643454357,29.97986999642271,10.246185479682703,40.66662340650787,80534.4781207641,3.904109589041096,38.65062284552496,,37.03801313249153,80534.47812076412,31.48446681073189,1.26,12.525051604428597,87.30366404367727,285.0,39.097543031508096,80537.26434543572,64.05101157069274,24596.0,9.541907499999999,35.549803999999995,596.1,89098.6242741317,525869056.0,88638.46608271818,"0,20,40,60,80,100,120,140,160,180",61.535653866371526,29168.8,8505.3,35.174315622880954,36.905965
4,0,64,5000,200000,1e-08,1e-08,0,656,155,170,429519779,True,True,True,True,60.79342,59.46184,501620736.0,106.71299630764078,,15.35729,65.43040315485464,,8.09,82585.65314353588,60.879099787546046,82592.10564595314,58.736581536894924,2203648.0,104.18040033030545,15.647673220702119,412.0,77.71546554071642,0.01,29388.0,59101184.0,18.0,86999.99287269625,44.05296320819871,14.887517008179701,59.210101247897796,86996.11788744434,3.917647058823529,69.36968182601674,,63.3376758738272,86996.11788744434,45.40979265103782,1.21,7.040276816608995,158.3369590333536,333.0,57.69063244085085,86999.99287269625,108.25583951682593,28228.0,15.831504,59.88880699999999,729.4,97289.87277622744,704610304.0,96801.44694494824,"0,20,40,60,80,100,120,140,160,180",117.57920449111755,35207.2,11325.62,60.32068335011246,61.044222999999995
5,0,100,5000,200000,1e-08,1e-08,0,948,212,261,1927017078,True,True,True,True,89.0986,87.70192,714596352.0,226.27549005910612,,22.52459,124.85440934426967,,20.95,120851.1486503782,105.91709880541671,120871.34261247274,103.58750126083,2326528.0,234.95411340628064,25.008876329772782,796.0,144.55849947545457,0.03,49236.0,58843136.0,29.0,126222.3919390619,84.35774063040749,28.093490772951235,115.53418398219335,126219.84298625943,4.186046511627906,127.29322733762811,,109.90581659248707,126219.84298625939,85.53259097512226,1.44,11.980890571480082,333.7496563959089,540.0,114.15396996727208,126222.39193906193,243.6293322541871,40964.0,26.8694265,112.327941,1069.7777777777776,142273.979558655,1000386560.0,141814.23770302458,"0,20,40,60,80,100,120,140,160,180",254.49585643324107,49488.444444444445,11663.24,125.14625853315556,113.655258
6,0,10,5000,293333,1e-08,1e-08,0,410,128,169,1088278859,True,True,True,True,3.9863499844886188,2.698421248205964,109817856.0,4.660765461941476,,0.9254874153266083,5.404073025695938,,2.0,59414.45651655558,5.832730972651227,59421.15204463535,3.48057981093599,2080768.0,5.657743141159343,1.1262989112753703,121.0,7.2169487859695325,0.0,16292.0,59162624.0,29.0,59759.16997340835,3.013225218990556,1.0671543928387952,4.149447341525983,59757.908509110515,4.026315789473684,4.849449016254406,1.0335005049947288,4.660481941246682,59757.90850911053,3.9489086503818034,1.22,21.02562326869806,5.245576715087628,153.0,3.1767365923242386,59759.16997340835,5.171701976548267,19140.0,1.3816144109254669,3.802940003340913,450.33333333333326,49886.941158470916,291217408.0,49259.83138268688,"0,20,40,60,80,100,120,140,160,180",5.6684550093885635,22892.88888888889,7834.03,5.052773438440856,4.980904978301112
7,0,10,5000,546666,1e-08,1e-08,0,806,261,328,567844019,True,True,True,True,6.148364815079042,4.88323034540286,157786112.0,7.301665145671514,,1.4276852776649727,6.558765012907408,,2.96,61210.28474201082,8.602588805120224,61216.93686174607,6.503321788236972,2076672.0,8.617192448700102,1.8554848197729743,254.0,8.607420733903352,0.0,27748.0,59650048.0,42.0,61930.725480582616,6.085528662179343,1.8817577366223208,7.84648527928028,61928.736816104436,4.011111111111111,7.294820503394375,1.6184699927554431,6.784783550185299,61928.736816104465,7.188445461579425,1.29,22.47765432098765,8.797707457952328,361.0,6.649065416937847,61930.725480582616,8.974624344326964,33388.0,1.7492329868694962,6.040312000380489,876.3,52673.060515705656,529018880.0,52144.721842191524,"0,20,40,60,80,100,120,140,160,180",8.198209745651535,39901.6,16119.749999999998,6.739288320942515,7.170012036600045
8,0,10,5000,800000,1e-08,1e-08,0,1154,373,507,872000538,True,True,True,True,4.616435,3.2745275,243589120.0,5.256933107103696,,1.08565125,5.769710202229772,,4.630000000000001,64061.79302845316,7.3999791249737745,64077.13439521213,4.824982407692648,2084864.0,7.3555504796560225,1.4549683780628742,351.0,8.93610546470335,0.0,38700.0,58998784.0,62.0,65024.71339614687,3.7100144248170714,1.2937313270191786,5.141894754034841,65023.062085588215,4.152542372881356,5.8230325182277145,1.2040249448150049,5.643559279909019,65023.062085588215,4.845064877089773,1.31,39.09537489227233,6.5393592040445325,490.0,3.98381524107715,65024.71339614687,6.242754005237327,45340.0,1.45948,4.50754375,1307.5,55983.29226212201,691412992.0,55293.46246247634,"0,20,40,60,80,100,120,140,160,180",6.4594272169314895,57261.6,24167.16,5.742931201660848,5.6639452499999985
9,1,10,5000,40000,1e-08,1e-08,0,93,26,20,1492239008,True,True,True,True,4.60165,2.3964,48087040.0,4.694100808418239,,0.869825,8.482580209577375,,0.48,71276.58098441164,6.286623658036422,71279.13453034963,4.234624459201108,2072576.0,6.5150882984289575,1.6694989143895655,28.0,7.0814491382911475,0.0,6628.0,58585088.0,5.0,71402.30260389912,4.660196120468132,2.1461925297017643,7.715137804167516,71402.10105832836,3.5,6.325879028239648,,7.31999355717068,71402.10105832838,5.582855370720918,1.23,1.25,11.611031918830163,21.0,6.420773517820242,71402.30260389911,8.120078880964423,8180.0,1.7494074999999998,5.12696,80.2,70488.1018248704,96190464.0,69837.3411606434,"0,20,40,60,80,100,120,140,160,180",7.672970218034336,7935.2,1069.03,7.543028996286408,6.765305000000001
