Unnamed: 0,replicate,sample_size,Ne,length,recombination_rate,mutation_rate,error_param,edges,n_trees,n_sites,seed,fastARG_completed,tsinfer_completed,tsinfer_memory,tsinfer_max_polytomy,tsinfer_mean_polytomy,tsinfer_ts_filesize,tsinfer_cputime,tsinfer_var_polytomy,tsinfer_edges,fastARG_memory,fastARG_cputime,fastARG_edges,fastARG_ts_filesize
0,0,10,5000,5000000,1e-08,1e-08,0,7354,2363,3054,927456910,True,True,63819776.0,438.0,4.398084815321478,249156.0,2.2,268.8743602171566,3215.0,2355200.0,0.14,2097.0,208988.0
1,0,1062,5000,5000000,1e-08,1e-08,0,27356,6823,7394,1507136756,True,True,97550336.0,857.0,5.105096317971227,1112780.0,41.779999999999994,186.93969848499253,20936.0,81178624.0,48.24,30203.0,1502444.0
2,0,2114,5000,5000000,1e-08,1e-08,0,31202,7268,8228,1579931581,False,False,,,,,,,,,,,
3,0,3166,5000,5000000,1e-08,1e-08,0,35618,7848,8659,1170463315,True,True,125599744.0,976.0,5.153111874761359,1468604.0,135.94,190.41718294701056,26992.0,493985792.0,520.74,42708.0,2110236.0
4,0,4218,5000,5000000,1e-08,1e-08,0,39456,8287,9285,521651904,True,True,139079680.0,981.0,5.13372905027933,1624732.0,166.83,177.2136109545192,29406.0,663183360.0,837.8199999999999,47626.0,2361124.0
5,0,5270,5000,5000000,1e-08,1e-08,0,42005,8365,8946,752361679,True,False,,,,,,,,1068285952.0,1598.7,50059.0,2478188.0
6,0,6322,5000,5000000,1e-08,1e-08,0,45726,8794,9437,218920742,False,False,,,,,,,,,,,
7,0,7374,5000,5000000,1e-08,1e-08,0,49431,9274,10075,933863536,False,False,,,,,,,,,,,
8,0,8426,5000,5000000,1e-08,1e-08,0,50474,8935,9552,645671667,True,True,177258496.0,934.0,5.5256783688486895,2035228.0,309.52000000000004,147.94641252080604,36044.0,2967375872.0,4431.509999999999,61262.0,3044980.0
9,0,9478,5000,5000000,1e-08,1e-08,0,53860,9249,9636,1079358312,True,False,,,,,,,,3415760896.0,5471.18,64949.0,3226276.0
10,0,10000,5000,500000,1e-08,1e-08,0,23175,845,957,360934447,False,True,92495872.0,250.0,15.955172413793104,909508.0,19.25,692.2060364645262,13881.0,,,,
11,0,10000,5000,1000000,1e-08,1e-08,0,26740,1788,1838,366102318,True,True,106110976.0,207.0,10.241935483870968,1024876.0,40.63,230.747273673257,15875.0,3187646464.0,1560.22,28265.0,1518140.0
12,0,10000,5000,1500000,1e-08,1e-08,0,30290,2729,3047,1774066562,False,False,,,,,,,,,,,
13,0,10000,5000,2000000,1e-08,1e-08,0,33937,3687,3809,836271860,True,False,,,,,,,,3299704832.0,2681.48,38087.0,1975572.0
14,0,10000,5000,2500000,1e-08,1e-08,0,37322,4604,4906,454479215,False,True,142471168.0,458.0,6.690310492505353,1491908.0,141.85,99.84333223764152,24995.0,,,,
15,0,10000,5000,3000000,1e-08,1e-08,0,40530,5400,5594,144813374,True,True,145084416.0,572.0,6.424,1605572.0,180.09,110.89457694117648,27302.0,3424182272.0,4002.13,47648.0,2415868.0
16,0,10000,5000,3500000,1e-08,1e-08,0,43491,6223,6758,1533646470,True,True,156446720.0,683.0,6.084151179787012,1723804.0,223.44,124.66591920537606,29137.0,1964838912.0,4572.4,50990.0,2591548.0
17,0,10000,5000,4000000,1e-08,1e-08,0,47677,7348,8006,726852578,False,False,,,,,,,,,,,
18,0,10000,5000,4500000,1e-08,1e-08,0,51180,8293,8970,66307413,True,True,194314240.0,900.0,5.805215973920131,2051892.0,355.25,151.7457592646837,35615.0,3607441408.0,6885.4400000000005,61330.0,3079404.0
19,0,10000,5000,5000000,1e-08,1e-08,0,54873,9273,10063,361009219,True,False,,,,,,,,3481534464.0,7078.240000000001,65846.0,3297644.0
20,0,10000,5000,5500000,1e-08,1e-08,0,57520,9935,10728,1262916283,True,False,,,,,,,,3359690752.0,7749.42,69506.0,3463572.0
21,0,10000,5000,6000000,1e-08,1e-08,0,61489,10995,11811,588512986,True,False,,,,,,,,3745005568.0,7536.8,74777.0,3711244.0
22,0,10000,5000,6500000,1e-08,1e-08,0,65119,11981,12928,381249369,True,True,240017408.0,1276.0,5.465027259018675,2637812.0,555.51,202.9540315182223,47114.0,3776372736.0,8225.14,79995.0,3958708.0
23,0,10000,5000,7000000,1e-08,1e-08,0,68120,12741,13613,1449942602,True,True,252030976.0,1403.0,5.481452944413869,2762292.0,606.0799999999999,230.290382478936,49799.0,3826827264.0,8374.26,84526.0,4158884.0
24,0,10000,5000,7500000,1e-08,1e-08,0,71956,13753,14664,18522716,False,True,262508544.0,1401.0,5.486170545872039,2904676.0,691.67,218.19929209866692,52563.0,,,,
25,0,10000,5000,8000000,1e-08,1e-08,0,74658,14525,15527,984897389,False,False,,,,,,,,,,,
26,0,10000,5000,8500000,1e-08,1e-08,0,77832,15375,16317,1380367988,False,True,283578368.0,1551.0,5.471163895486936,3154116.0,855.97,242.50399033180815,57584.0,,,,
27,0,10000,5000,9000000,1e-08,1e-08,0,80913,16223,17769,1752976264,False,True,305156096.0,1803.0,5.367863760698844,3335596.0,952.8800000000001,298.66084672916674,60834.0,,,,
