,Ne,length,sample_size,recombination_rate,mutation_rate,tool,memory_mean,memory_se
0,5000,500000,10000,1e-08,1e-08,fastARG,2804036403.2,190276246.19051087
1,5000,500000,10000,1e-08,1e-08,tsinfer,90445004.8,272902.8116389834
2,5000,1000000,10000,1e-08,1e-08,fastARG,2800411852.8,194720189.5180762
3,5000,1000000,10000,1e-08,1e-08,tsinfer,105440460.8,294955.6431904362
4,5000,1500000,10000,1e-08,1e-08,fastARG,2765291929.6,210254287.78981933
5,5000,1500000,10000,1e-08,1e-08,tsinfer,118660300.8,873029.7927030489
6,5000,2000000,10000,1e-08,1e-08,fastARG,3104902758.4,73014175.56547068
7,5000,2000000,10000,1e-08,1e-08,tsinfer,126452121.6,676492.4109749772
8,5000,2500000,10000,1e-08,1e-08,fastARG,3178887577.6,129173085.58536434
9,5000,2500000,10000,1e-08,1e-08,tsinfer,135710720.0,1193327.4602784347
10,5000,3000000,10000,1e-08,1e-08,fastARG,3238412697.6,143042443.60853583
11,5000,3000000,10000,1e-08,1e-08,tsinfer,139358617.6,564588.8423319757
12,5000,3500000,10000,1e-08,1e-08,fastARG,2750651187.2,193642444.31726307
13,5000,3500000,10000,1e-08,1e-08,tsinfer,148937523.2,1086539.7898709127
14,5000,4000000,10000,1e-08,1e-08,fastARG,3344582246.4,153708517.89743245
15,5000,4000000,10000,1e-08,1e-08,tsinfer,162557952.0,909668.6387705506
16,5000,4500000,10000,1e-08,1e-08,fastARG,3565270630.4,27320499.16580797
17,5000,4500000,10000,1e-08,1e-08,tsinfer,176795238.4,898529.0616364169
18,5000,5000000,10,1e-08,1e-08,fastARG,2226176.0,12826.142193019521
19,5000,5000000,10,1e-08,1e-08,tsinfer,60902604.8,175302.41982159493
20,5000,5000000,1062,1e-08,1e-08,fastARG,73998745.6,2499096.33564513
21,5000,5000000,1062,1e-08,1e-08,tsinfer,92094464.0,345524.8394978928
22,5000,5000000,2114,1e-08,1e-08,fastARG,236283904.0,7502630.558152075
23,5000,5000000,2114,1e-08,1e-08,tsinfer,106063872.0,295034.7596353124
24,5000,5000000,3166,1e-08,1e-08,fastARG,462922547.2,18756833.916694447
25,5000,5000000,3166,1e-08,1e-08,tsinfer,120076697.6,528628.1512753386
26,5000,5000000,4218,1e-08,1e-08,fastARG,722327961.6,38274480.57721463
27,5000,5000000,4218,1e-08,1e-08,tsinfer,130265907.2,797454.9094978595
28,5000,5000000,5270,1e-08,1e-08,fastARG,1041807360.0,38461279.87834614
29,5000,5000000,5270,1e-08,1e-08,tsinfer,136907980.8,999441.3089940101
30,5000,5000000,6322,1e-08,1e-08,fastARG,1574745702.4,58024849.701450475
31,5000,5000000,6322,1e-08,1e-08,tsinfer,141802291.2,556468.0777244357
32,5000,5000000,7374,1e-08,1e-08,fastARG,1859218227.2,80997560.4831947
33,5000,5000000,7374,1e-08,1e-08,tsinfer,154055475.2,1533226.9989050266
34,5000,5000000,8426,1e-08,1e-08,fastARG,2592071680.0,157731737.71032095
35,5000,5000000,8426,1e-08,1e-08,tsinfer,164643635.2,869021.0561280344
36,5000,5000000,9478,1e-08,1e-08,fastARG,3336502886.4,37953034.50240559
37,5000,5000000,9478,1e-08,1e-08,tsinfer,180575436.8,1616053.1748255545
38,5000,5000000,10000,1e-08,1e-08,fastARG,2945301299.2,222368658.4890676
39,5000,5000000,10000,1e-08,1e-08,tsinfer,185968230.4,1756727.7900192298
40,5000,5000000,10531,1e-08,1e-08,fastARG,3574576742.4,173100751.26794577
41,5000,5000000,10531,1e-08,1e-08,tsinfer,191074713.6,1659029.2753467832
42,5000,5000000,11583,1e-08,1e-08,fastARG,4282703052.8,323120696.7130705
43,5000,5000000,11583,1e-08,1e-08,tsinfer,208303718.4,1754314.6907399045
44,5000,5000000,12635,1e-08,1e-08,fastARG,5047725260.8,410671501.85136634
45,5000,5000000,12635,1e-08,1e-08,tsinfer,218834944.0,2034661.1500996419
46,5000,5000000,13687,1e-08,1e-08,fastARG,6203778662.4,297391783.63650936
47,5000,5000000,13687,1e-08,1e-08,tsinfer,229450547.2,1374696.8760082899
48,5000,5000000,14739,1e-08,1e-08,fastARG,7042892185.6,287560919.7007087
49,5000,5000000,14739,1e-08,1e-08,tsinfer,243935641.6,1612780.9733537303
50,5000,5000000,15791,1e-08,1e-08,fastARG,7839195955.2,121053464.71024904
51,5000,5000000,15791,1e-08,1e-08,tsinfer,258809856.0,1283809.0737385107
52,5000,5000000,16843,1e-08,1e-08,fastARG,9878030745.6,525169687.97564083
53,5000,5000000,16843,1e-08,1e-08,tsinfer,265458483.2,1581340.5721103356
