,Ne,length,sample_size,recombination_rate,mutation_rate,tool,cputime_mean,cputime_se
0,5000,500000,10000,1e-08,1e-08,fastARG,769.9349999999998,58.11411366632225
1,5000,500000,10000,1e-08,1e-08,tsinfer,13.55,0.22135441666652544
2,5000,1000000,10000,1e-08,1e-08,fastARG,1342.731,95.02876988283309
3,5000,1000000,10000,1e-08,1e-08,tsinfer,25.344,0.4332851255235985
4,5000,1500000,10000,1e-08,1e-08,fastARG,1838.3130000000006,168.30150464799112
5,5000,1500000,10000,1e-08,1e-08,tsinfer,37.462999999999994,0.7639066987822827
6,5000,2000000,10000,1e-08,1e-08,fastARG,2454.295,204.26823440570053
7,5000,2000000,10000,1e-08,1e-08,tsinfer,51.403,0.8009703143340842
8,5000,2500000,10000,1e-08,1e-08,fastARG,3428.9610000000002,122.38496166196234
9,5000,2500000,10000,1e-08,1e-08,tsinfer,63.588,0.775397819043733
10,5000,3000000,10000,1e-08,1e-08,fastARG,4099.213000000001,84.72323919746644
11,5000,3000000,10000,1e-08,1e-08,tsinfer,75.867,2.8988817959114277
12,5000,3500000,10000,1e-08,1e-08,fastARG,4601.512999999999,182.47277010282943
13,5000,3500000,10000,1e-08,1e-08,tsinfer,92.391,1.1517440398514458
14,5000,4000000,10000,1e-08,1e-08,fastARG,5091.807000000001,233.0213522455256
15,5000,4000000,10000,1e-08,1e-08,tsinfer,110.424,1.6249363748227883
16,5000,4500000,10000,1e-08,1e-08,fastARG,5671.375,265.6260753902414
17,5000,4500000,10000,1e-08,1e-08,tsinfer,124.58400000000002,3.9669930397944717
18,5000,5000000,10,1e-08,1e-08,fastARG,0.121,0.009122621455602673
19,5000,5000000,10,1e-08,1e-08,tsinfer,1.7240000000000002,0.055940444522128464
20,5000,5000000,1062,1e-08,1e-08,fastARG,39.073,2.7749891090877368
21,5000,5000000,1062,1e-08,1e-08,tsinfer,17.742,0.5156501828867234
22,5000,5000000,2114,1e-08,1e-08,fastARG,168.01500000000001,12.271035929283958
23,5000,5000000,2114,1e-08,1e-08,tsinfer,32.032000000000004,0.4564812275560858
24,5000,5000000,3166,1e-08,1e-08,fastARG,453.954,21.673435260705673
25,5000,5000000,3166,1e-08,1e-08,tsinfer,45.656,0.7547776714591742
26,5000,5000000,4218,1e-08,1e-08,fastARG,872.765,66.93284892337991
27,5000,5000000,4218,1e-08,1e-08,tsinfer,58.742,2.322493296246752
28,5000,5000000,5270,1e-08,1e-08,fastARG,1336.1,108.74335249159421
29,5000,5000000,5270,1e-08,1e-08,tsinfer,73.071,0.665681689030958
30,5000,5000000,6322,1e-08,1e-08,fastARG,2202.99,101.12035347380204
31,5000,5000000,6322,1e-08,1e-08,tsinfer,86.288,2.9103431641875717
32,5000,5000000,7374,1e-08,1e-08,fastARG,3064.92,177.57305174052863
33,5000,5000000,7374,1e-08,1e-08,tsinfer,100.48899999999999,3.7428148795020872
34,5000,5000000,8426,1e-08,1e-08,fastARG,4388.186,72.89891487075336
35,5000,5000000,8426,1e-08,1e-08,tsinfer,112.74999999999997,4.426826302342469
36,5000,5000000,9478,1e-08,1e-08,fastARG,5894.174000000001,236.93278603951035
37,5000,5000000,9478,1e-08,1e-08,tsinfer,134.914,1.4819958014635395
38,5000,5000000,10000,1e-08,1e-08,fastARG,6445.779,220.15734648175805
39,5000,5000000,10000,1e-08,1e-08,tsinfer,137.90699999999998,4.987966196535194
40,5000,5000000,10531,1e-08,1e-08,fastARG,6983.543,343.37146372421677
41,5000,5000000,10531,1e-08,1e-08,tsinfer,149.48399999999998,1.715219584258011
42,5000,5000000,11583,1e-08,1e-08,fastARG,8253.566,589.2730303314416
43,5000,5000000,11583,1e-08,1e-08,tsinfer,157.187,5.636902232412566
44,5000,5000000,12635,1e-08,1e-08,fastARG,10629.492,309.59371028566534
45,5000,5000000,12635,1e-08,1e-08,tsinfer,174.46800000000002,2.2326515377212135
46,5000,5000000,13687,1e-08,1e-08,fastARG,14409.800999999998,146.952284526872
47,5000,5000000,13687,1e-08,1e-08,tsinfer,197.394,3.0388240415587653
48,5000,5000000,14739,1e-08,1e-08,fastARG,15979.808,1065.3597098891585
49,5000,5000000,14739,1e-08,1e-08,tsinfer,202.65,4.688936861260655
50,5000,5000000,15791,1e-08,1e-08,fastARG,19484.388,763.9470224924703
51,5000,5000000,15791,1e-08,1e-08,tsinfer,218.68799999999996,4.544515815793801
52,5000,5000000,16843,1e-08,1e-08,fastARG,22146.017000000003,1493.0228723603739
53,5000,5000000,16843,1e-08,1e-08,tsinfer,247.13199999999998,3.8422148705025756
54,5000,5000000,17895,1e-08,1e-08,fastARG,23026.482,1907.7629289329075
55,5000,5000000,17895,1e-08,1e-08,tsinfer,256.963,3.250801285837082
56,5000,5000000,18947,1e-08,1e-08,fastARG,26628.450000000004,2115.1447358283126
57,5000,5000000,18947,1e-08,1e-08,tsinfer,267.87800000000004,3.676622181658956
58,5000,5000000,20000,1e-08,1e-08,fastARG,30775.314999999995,2053.4636553639207
59,5000,5000000,20000,1e-08,1e-08,tsinfer,281.745,5.294875352640516
60,5000,5500000,10000,1e-08,1e-08,fastARG,7219.786999999999,415.03122556167045
61,5000,5500000,10000,1e-08,1e-08,tsinfer,156.913,5.567689935891028
62,5000,6000000,10000,1e-08,1e-08,fastARG,8070.231,271.53868416223054
63,5000,6000000,10000,1e-08,1e-08,tsinfer,173.33700000000002,3.748605385117685
64,5000,6500000,10000,1e-08,1e-08,fastARG,8086.4929999999995,378.54572613578216
65,5000,6500000,10000,1e-08,1e-08,tsinfer,190.075,2.9208287446468937
66,5000,7000000,10000,1e-08,1e-08,fastARG,8896.228,391.26246095541654
67,5000,7000000,10000,1e-08,1e-08,tsinfer,207.57300000000004,3.2092221452834595
68,5000,7500000,10000,1e-08,1e-08,fastARG,8887.357999999998,677.7637308036547
69,5000,7500000,10000,1e-08,1e-08,tsinfer,221.40299999999996,3.1531948701101378
70,5000,8000000,10000,1e-08,1e-08,fastARG,10492.401,234.07391011031842
71,5000,8000000,10000,1e-08,1e-08,tsinfer,248.72500000000005,2.3666550469198313
72,5000,8500000,10000,1e-08,1e-08,fastARG,9438.508,644.8372926057481
73,5000,8500000,10000,1e-08,1e-08,tsinfer,266.30899999999997,3.943587326280476
74,5000,9000000,10000,1e-08,1e-08,fastARG,11043.603000000001,180.78901122610043
75,5000,9000000,10000,1e-08,1e-08,tsinfer,283.06100000000004,2.8575609063208645
76,5000,9500000,10000,1e-08,1e-08,fastARG,11622.278,364.42451967085503
77,5000,9500000,10000,1e-08,1e-08,tsinfer,288.54400000000004,11.490157739948081
78,5000,10000000,10000,1e-08,1e-08,fastARG,12079.65,575.6589459354866
79,5000,10000000,10000,1e-08,1e-08,tsinfer,312.49300000000005,12.334269068106321
