,Agree,Total,Error Agree,Error Total
0,6363150,7545033,6393219,7578758
1,6006695,7189206,6035265,7221763
2,5670333,6814173,5699370,6845698
3,5327692,6422367,5354962,6451568
4,4995898,6036277,5020658,6062710
5,4674480,5649981,4697518,5674711
6,4343403,5256771,4364531,5279664
7,4018056,4867572,4037525,4888033
8,3696963,4478841,3714754,4498147
9,3372660,4084307,3389538,4102306
10,3062843,3710803,3076924,3726435
11,2738904,3321880,2751978,3335930
12,2414972,2928601,2426359,2941435
13,2087558,2532734,2097679,2543826
14,1758071,2131963,1766306,2141237
15,1436821,1743005,1443352,1750545
16,1117733,1356368,1122901,1362003
17,800853,971128,804322,974709
18,477889,580068,479679,582188
19,160032,194698,160447,195255
