,Agree,ErrorAgree,SeparationDistanceEnd,SeparationDistanceStart,Total
0,82962829.0,82797687.0,4999,0,91879912.0
1,78837242.0,78684163.0,9999,5000,87506393.0
2,74575128.0,74435232.0,14999,10000,82930311.0
3,70274061.0,70147145.0,19999,15000,78264268.0
4,65957969.0,65839438.0,24999,20000,73555261.0
5,61669127.0,61560746.0,29999,25000,68846300.0
6,57371108.0,57267501.0,34999,30000,64106787.0
7,53109657.0,53015556.0,39999,35000,59388619.0
8,48837367.0,48749637.0,44999,40000,54646822.0
9,44594130.0,44512577.0,49999,45000,49927862.0
10,40333747.0,40259980.0,54999,50000,45179743.0
11,36067198.0,36001053.0,59999,55000,40419589.0
12,31830536.0,31775099.0,64999,60000,35688693.0
13,27588426.0,27536981.0,69999,65000,30943155.0
14,23340245.0,23294773.0,74999,70000,26187386.0
15,19089172.0,19051567.0,79999,75000,21426451.0
16,14852042.0,14820709.0,84999,80000,16672407.0
17,10608176.0,10587875.0,89999,85000,11911026.0
18,6359438.0,6348436.0,94999,90000,7143123.0
19,2118677.0,2115375.0,99999,95000,2380043.0
