,Ne,length,sample_size,recombination_rate,mutation_rate,tool,cputime_mean,memory_mean,cputime_se,memory_se
0,5000,500000,10000,1e-08,1e-08,fastARG,922.0216666666669,2810004138.6666665,21.455620793800005,111781165.33358534
1,5000,500000,10000,1e-08,1e-08,tsinfer,20.102000000000004,93333913.6,0.40322780988749607,131059.41272893459
2,5000,1000000,10000,1e-08,1e-08,fastARG,1579.0962068965512,2866060464.551724,35.02313347879295,103708373.73659371
3,5000,1000000,10000,1e-08,1e-08,tsinfer,44.97222222222223,108042164.14814815,0.6853832777482275,217911.93031080873
4,5000,1500000,10000,1e-08,1e-08,fastARG,2191.7543478260877,3071993588.869565,39.567515106586065,78399392.499384
5,5000,1500000,10000,1e-08,1e-08,tsinfer,73.99380952380953,119950969.90476191,1.2515041381113172,751062.0841214948
6,5000,2000000,10000,1e-08,1e-08,fastARG,2812.0419230769235,2975220814.769231,39.8210751120916,100495397.700981
7,5000,2000000,10000,1e-08,1e-08,tsinfer,108.05,127105843.2,1.526623725742529,233305.1692771059
8,5000,2500000,10000,1e-08,1e-08,fastARG,3424.183793103449,2939298498.206897,43.85717387552719,117342311.7483152
9,5000,2500000,10000,1e-08,1e-08,tsinfer,146.3596875,139320192.0,1.5433227980388846,627508.4719771501
10,5000,3000000,10000,1e-08,1e-08,fastARG,4094.4440624999997,3227384704.0,54.84615186103384,76815223.42256266
11,5000,3000000,10000,1e-08,1e-08,tsinfer,190.5289285714286,147236571.42857143,2.5055558022358855,948208.6452836386
12,5000,3500000,10000,1e-08,1e-08,fastARG,4749.076060606059,3002052111.5151515,72.34921695318148,103615214.4231385
13,5000,3500000,10000,1e-08,1e-08,tsinfer,234.81999999999996,157167351.7419355,2.2773717637965123,381703.12304198643
14,5000,4000000,10000,1e-08,1e-08,fastARG,5367.181304347825,3249226440.347826,61.85185550146456,100428280.60339175
15,5000,4000000,10000,1e-08,1e-08,tsinfer,288.38000000000005,173280066.37037036,2.480273225000681,697163.4633535949
16,5000,4500000,10000,1e-08,1e-08,fastARG,6185.239032258065,3475589450.322581,74.66258445353076,55073923.94157877
17,5000,4500000,10000,1e-08,1e-08,tsinfer,331.7815384615385,184383015.3846154,3.3612956610078273,1575534.4235577553
18,5000,5000000,10,1e-08,1e-08,fastARG,0.12933333333333338,2229725.8666666667,0.0031416129298126915,8572.705345298995
19,5000,5000000,10,1e-08,1e-08,tsinfer,1.7296551724137932,63386729.93103448,0.02572822508768787,90574.63820983337
20,5000,5000000,1062,1e-08,1e-08,fastARG,45.83148148148148,77261027.55555555,1.0943050851059788,1430338.7842213267
21,5000,5000000,1062,1e-08,1e-08,tsinfer,43.90794117647059,99456421.64705883,0.3720178582846094,220276.5731109597
22,5000,5000000,2114,1e-08,1e-08,fastARG,204.07645161290324,229306632.2580645,4.70912805088725,4972580.612651293
23,5000,5000000,2114,1e-08,1e-08,tsinfer,85.390303030303,118864927.03030303,0.6784463764858337,210431.53041533593
24,5000,5000000,3166,1e-08,1e-08,fastARG,481.84419354838707,451556517.16129035,10.692745121389983,11840025.14789886
25,5000,5000000,3166,1e-08,1e-08,tsinfer,126.20833333333333,126967296.0,1.1729651925761353,480397.3641950644
26,5000,5000000,4218,1e-08,1e-08,fastARG,923.3033333333335,731225960.2962962,16.844221992419676,24511940.674301468
27,5000,5000000,4218,1e-08,1e-08,tsinfer,164.67935483870963,137607101.93548387,1.4084646514192696,459402.15173397015
28,5000,5000000,5270,1e-08,1e-08,fastARG,1594.8387878787883,1029851198.060606,23.7374298663236,20189328.530658793
29,5000,5000000,5270,1e-08,1e-08,tsinfer,207.84241379310336,149930125.24137932,1.6561588039897064,921490.7104184772
30,5000,5000000,6322,1e-08,1e-08,fastARG,2398.666923076923,1615470592.0,33.806173763742876,31306298.523544963
31,5000,5000000,6322,1e-08,1e-08,tsinfer,250.5823333333333,157432900.26666668,1.6760022689018017,541310.2655380727
32,5000,5000000,7374,1e-08,1e-08,fastARG,3345.2931034482763,1901421250.2068965,52.36569239658026,39958462.72715128
33,5000,5000000,7374,1e-08,1e-08,tsinfer,288.4413333333333,166887287.46666667,2.758730248207586,168751.8955745372
34,5000,5000000,8426,1e-08,1e-08,fastARG,4587.625862068965,2622948599.172414,55.643815722919456,89645359.23996384
35,5000,5000000,8426,1e-08,1e-08,tsinfer,330.15781250000003,179170688.0,3.398455405032548,147502.91547561533
36,5000,5000000,9478,1e-08,1e-08,fastARG,5797.897,2986937548.8,106.18051388059568,127150265.31168091
37,5000,5000000,9478,1e-08,1e-08,tsinfer,368.4523076923076,190454547.69230768,2.580983194156969,239276.9332989629
38,5000,5000000,10000,1e-08,1e-08,fastARG,6538.631724137931,3344274396.6896553,100.45742275692129,97493911.99077475
39,5000,5000000,10000,1e-08,1e-08,tsinfer,388.5964516129032,196314277.16129032,3.3585730312298945,348332.0979432391
40,5000,5000000,10531,1e-08,1e-08,fastARG,7268.259230769231,3686120999.3846154,99.37445363088989,89222462.27938187
41,5000,5000000,10531,1e-08,1e-08,tsinfer,409.52161290322584,201524917.67741936,3.5838229451986154,260463.24145878645
42,5000,5000000,11583,1e-08,1e-08,fastARG,9229.331333333334,4876764228.266666,149.24579380717603,166717233.42479706
43,5000,5000000,11583,1e-08,1e-08,tsinfer,456.85185185185185,216521841.7777778,4.152874199047687,1433270.3872007034
44,5000,5000000,12635,1e-08,1e-08,fastARG,10850.2232,5410852372.48,118.95375905608587,228945548.2129608
45,5000,5000000,12635,1e-08,1e-08,tsinfer,492.644,227196928.0,3.7497730076893165,1209636.3070213674
46,5000,5000000,13687,1e-08,1e-08,fastARG,13677.763793103451,6084644016.551724,140.06201419038433,190594613.23060024
47,5000,5000000,13687,1e-08,1e-08,tsinfer,527.6486956521738,236849597.2173913,4.879637626033541,1424096.2786640131
48,5000,5000000,14739,1e-08,1e-08,fastARG,16356.8562962963,6851697474.37037,293.33474181972844,165461954.80563533
49,5000,5000000,14739,1e-08,1e-08,tsinfer,583.1463636363636,261156243.3939394,5.41506620559889,2269916.4414418703
50,5000,5000000,15791,1e-08,1e-08,fastARG,19112.90375,7688627029.333333,359.7923528456886,117859903.85535996
51,5000,5000000,15791,1e-08,1e-08,tsinfer,619.5880952380953,275927040.0,6.34941923174858,2721248.241273266
52,5000,5000000,16843,1e-08,1e-08,fastARG,23088.2132,9921916764.16,413.15049667835746,343331123.2836255
53,5000,5000000,16843,1e-08,1e-08,tsinfer,669.5357575757577,292357461.3333333,5.558743658988542,1325933.546454321
54,5000,5000000,17895,1e-08,1e-08,fastARG,25470.469629629628,10412342082.37037,269.51959593667675,425487862.8168735
55,5000,5000000,17895,1e-08,1e-08,tsinfer,705.5415384615384,302549779.6923077,8.035919203413313,1406446.562337173
56,5000,5000000,18947,1e-08,1e-08,fastARG,29179.914074074077,11814284098.37037,315.8726260280606,353798308.76458627
57,5000,5000000,18947,1e-08,1e-08,tsinfer,748.7141379310343,312917309.79310346,5.579985312524625,2760195.1044507264
58,5000,5000000,20000,1e-08,1e-08,fastARG,33488.47434782608,12512997197.913044,403.600393354295,413433477.1446042
59,5000,5000000,20000,1e-08,1e-08,tsinfer,794.2395833333331,331027114.6666667,9.230399375833056,2224445.5010609766
60,5000,5500000,10000,1e-08,1e-08,fastARG,7248.673703703705,3506320725.3333335,94.25657217580535,74594854.38601601
61,5000,5500000,10000,1e-08,1e-08,tsinfer,446.1875,214106282.66666666,4.390692323095181,850634.1033109557
62,5000,6000000,10000,1e-08,1e-08,fastARG,7981.442666666666,3483231163.733333,102.49302882706506,89917698.98964548
63,5000,6000000,10000,1e-08,1e-08,tsinfer,510.6946153846154,224162737.23076922,4.68107138396491,1385317.1028827424
64,5000,6500000,10000,1e-08,1e-08,fastARG,8314.958965517242,3560954915.3103447,87.55470733736837,88377566.67360215
65,5000,6500000,10000,1e-08,1e-08,tsinfer,574.6506896551724,236898092.13793105,5.20675260052867,1028071.3726227394
66,5000,7000000,10000,1e-08,1e-08,fastARG,9270.750967741933,3594466733.419355,114.42078879121226,88474344.49473171
67,5000,7000000,10000,1e-08,1e-08,tsinfer,643.3843749999997,254212736.0,6.41478906413915,979143.7040195026
68,5000,7500000,10000,1e-08,1e-08,fastARG,9751.274642857143,3443776950.857143,92.51042509318185,116299822.70520505
69,5000,7500000,10000,1e-08,1e-08,tsinfer,707.3931034482756,267302558.89655173,6.0859707667111875,1508112.868501642
70,5000,8000000,10000,1e-08,1e-08,fastARG,10144.181739130432,3833590650.4347825,109.96373548043523,32864802.099443868
71,5000,8000000,10000,1e-08,1e-08,tsinfer,778.4096,280443944.96,6.405475716915953,1588351.2944941833
72,5000,8500000,10000,1e-08,1e-08,fastARG,10721.269411764706,3759328316.2352943,131.4787781110412,77250366.28790946
73,5000,8500000,10000,1e-08,1e-08,tsinfer,846.8252631578947,295235152.84210527,11.044227895425472,1314011.600985989
74,5000,9000000,10000,1e-08,1e-08,fastARG,11357.905238095238,3741979794.285714,135.18220805307294,122769810.53913519
75,5000,9000000,10000,1e-08,1e-08,tsinfer,930.1507999999998,311361699.84,7.253749028835594,2270494.9017751436
76,5000,9500000,10000,1e-08,1e-08,fastARG,12080.111785714285,3970680539.428571,134.94069177153852,52017742.74795194
77,5000,9500000,10000,1e-08,1e-08,tsinfer,996.6342857142856,333609252.5714286,9.515919287170945,2184295.5878760614
78,5000,10000000,10000,1e-08,1e-08,fastARG,12465.464347826086,3776870310.9565215,205.06921019280597,108427183.87076901
79,5000,10000000,10000,1e-08,1e-08,tsinfer,1091.4315625,354049664.0,10.182608474483928,1366220.7073969631
