,Ne,length,sample_size,recombination_rate,mutation_rate,error_param,tool,averaging,polytomies,rooting,metric,treedist_mean,treedist_se
0,5000,1000000,16,1e-08,2.0000000000000003e-10,0,ARGweaver,per site,retained,rooted,KC,22.450160776796945,0.15676322702766618
1,5000,1000000,16,1e-08,2.0000000000000003e-10,0,ARGweaver,per site,retained,rooted,RF,25.09256590243902,0.24414441629253156
3,5000,1000000,16,1e-08,2.0000000000000003e-10,0,ARGweaver,per site,retained,unrooted,RF,23.105962009756094,0.24336191828431986
4,5000,1000000,16,1e-08,2.0000000000000003e-10,0,ARGweaver,per site,retained,unrooted,SPR,5.528108212195123,0.054821051903737504
5,5000,1000000,16,1e-08,2.0000000000000003e-10,0,ARGweaver,per site,retained,unrooted,path,30.67518096239325,0.22089745827025015
7,5000,1000000,16,1e-08,2.0000000000000003e-10,0,RentPlus,per site,retained,rooted,KC,22.931653287379994,0.27428474338039266
8,5000,1000000,16,1e-08,2.0000000000000003e-10,0,RentPlus,per site,retained,rooted,RF,23.810571999999997,0.1948031393087385
9,5000,1000000,16,1e-08,2.0000000000000003e-10,0,RentPlus,per site,retained,unrooted,RF,21.755783480000005,0.19491171794056644
10,5000,1000000,16,1e-08,2.0000000000000003e-10,0,RentPlus,per site,retained,unrooted,SPR,5.255313610000002,0.04520234479478577
11,5000,1000000,16,1e-08,2.0000000000000003e-10,0,RentPlus,per site,retained,unrooted,path,29.006610032381186,0.22415812869273571
12,5000,1000000,16,1e-08,2.0000000000000003e-10,0,fastARG,per site,retained,rooted,KC,21.2180945994275,0.2388449117476466
13,5000,1000000,16,1e-08,2.0000000000000003e-10,0,fastARG,per site,retained,rooted,RF,23.746831197481196,0.20228095569317764
15,5000,1000000,16,1e-08,2.0000000000000003e-10,0,fastARG,per site,retained,unrooted,RF,21.66467622522888,0.2035245223187651
16,5000,1000000,16,1e-08,2.0000000000000003e-10,0,fastARG,per site,retained,unrooted,SPR,5.241626105199622,0.04776577640756572
17,5000,1000000,16,1e-08,2.0000000000000003e-10,0,fastARG,per site,retained,unrooted,path,28.52170736021964,0.25525948800154163
19,5000,1000000,16,1e-08,2.0000000000000003e-10,0,tsinfer,per site,broken,rooted,KC,26.97783943595796,0.3652702769736101
20,5000,1000000,16,1e-08,2.0000000000000003e-10,0,tsinfer,per site,broken,rooted,RF,24.445748475901265,0.15564286735065452
22,5000,1000000,16,1e-08,2.0000000000000003e-10,0,tsinfer,per site,broken,unrooted,RF,22.36868281336529,0.15550049683854456
23,5000,1000000,16,1e-08,2.0000000000000003e-10,0,tsinfer,per site,broken,unrooted,SPR,5.390644292032872,0.033986744271588855
