,Ne,length,sample_size,recombination_rate,mutation_rate,error_param,ancestral_state_error_param,tool,averaging,polytomies,rooting,metric,treedist_mean,treedist_se
0,5000,100000,16,1e-08,4.999999999999999e-09,0,0,ARGweaver,per site,retained,rooted,KC,15.886935305018262,0.35595104521016513
1,5000,100000,16,1e-08,4.999999999999999e-09,0,0,ARGweaver,per site,retained,rooted,RF,17.248088764705884,0.4148965638334951
3,5000,100000,16,1e-08,4.999999999999999e-09,0,0,ARGweaver,per site,retained,unrooted,RF,15.651489058823529,0.41264516413810226
4,5000,100000,16,1e-08,4.999999999999999e-09,0,0,ARGweaver,per site,retained,unrooted,SPR,4.118444294117646,0.08363894614904296
5,5000,100000,16,1e-08,4.999999999999999e-09,0,0,ARGweaver,per site,retained,unrooted,path,21.27625641096473,0.44627985585652763
7,5000,100000,16,1e-08,4.999999999999999e-09,0,0,RentPlus,per site,retained,rooted,KC,15.249283469492816,0.4198973774813934
8,5000,100000,16,1e-08,4.999999999999999e-09,0,0,RentPlus,per site,retained,rooted,RF,15.235803513513511,0.5002186413941714
9,5000,100000,16,1e-08,4.999999999999999e-09,0,0,RentPlus,per site,retained,unrooted,RF,13.475324864864863,0.4998049337226642
10,5000,100000,16,1e-08,4.999999999999999e-09,0,0,RentPlus,per site,retained,unrooted,SPR,3.7664409459459454,0.12042013450114848
11,5000,100000,16,1e-08,4.999999999999999e-09,0,0,RentPlus,per site,retained,unrooted,path,19.27531670867726,0.47702607641058287
12,5000,100000,16,1e-08,4.999999999999999e-09,0,0,fastARG,per site,retained,rooted,KC,16.565047790050016,0.39735674639379376
13,5000,100000,16,1e-08,4.999999999999999e-09,0,0,fastARG,per site,retained,rooted,RF,15.775208219799952,0.3810649844152
15,5000,100000,16,1e-08,4.999999999999999e-09,0,0,fastARG,per site,retained,unrooted,RF,13.653671863221827,0.3725467075279287
16,5000,100000,16,1e-08,4.999999999999999e-09,0,0,fastARG,per site,retained,unrooted,SPR,3.7088578486615296,0.08433818472493539
17,5000,100000,16,1e-08,4.999999999999999e-09,0,0,fastARG,per site,retained,unrooted,path,19.708132531870593,0.44541750609514036
19,5000,100000,16,1e-08,4.999999999999999e-09,0,0,tsinfer,per site,broken,rooted,KC,16.25985589364639,0.32398617841376576
20,5000,100000,16,1e-08,4.999999999999999e-09,0,0,tsinfer,per site,broken,rooted,RF,16.408648834025566,0.27510154368546974
