,Ne,length,sample_size,recombination_rate,mutation_rate,error_param,tool,averaging,polytomies,rooting,metric,treedist_mean,treedist_se
0,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,0,ARGweaver,per site,retained,rooted,KC,16.504742058255182,0.2211239331940594
1,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,0,ARGweaver,per site,retained,rooted,RF,17.662768339999992,0.21621622085449282
3,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,0,ARGweaver,per site,retained,unrooted,RF,16.05632743999999,0.21566077679526666
4,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,0,ARGweaver,per site,retained,unrooted,SPR,4.181793499999999,0.04544565125710627
5,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,0,ARGweaver,per site,retained,unrooted,path,21.8502083099189,0.26424241110551727
7,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,0,RentPlus,per site,retained,rooted,KC,15.816787788212537,0.23758210599234048
8,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,0,RentPlus,per site,retained,rooted,RF,15.877142600000013,0.25610295132896554
9,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,0,RentPlus,per site,retained,unrooted,RF,14.158473600000002,0.25730701843719855
10,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,0,RentPlus,per site,retained,unrooted,SPR,3.8300695999999994,0.061381983853047294
11,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,0,RentPlus,per site,retained,unrooted,path,20.06361000918223,0.3006053662617833
12,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,0,fastARG,per site,retained,rooted,KC,18.252647009251227,0.2752622533821777
13,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,0,fastARG,per site,retained,rooted,RF,17.477018394824707,0.24641668135488426
15,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,0,fastARG,per site,retained,unrooted,RF,15.242409182126599,0.252460680358228
16,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,0,fastARG,per site,retained,unrooted,SPR,4.006408905822991,0.060828620443339435
17,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,0,fastARG,per site,retained,unrooted,path,21.52262996431624,0.30337512659081756
19,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,0,tsinfer,per site,broken,rooted,KC,16.600121242736265,0.2600940802877262
20,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,0,tsinfer,per site,broken,rooted,RF,17.101358352892557,0.2314855394891325
22,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,0,tsinfer,per site,broken,unrooted,RF,15.4748677447255,0.22892862823138627
23,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,0,tsinfer,per site,broken,unrooted,SPR,4.090991707775328,0.049656126635110494
24,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,0,tsinfer,per site,broken,unrooted,path,21.457940473599187,0.2774559384506736
26,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,0,tsinfer,per site,retained,rooted,KC,14.852001246772863,0.23655309919149808
30,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,0,tsinfer,per site,retained,unrooted,SPR,2.84186161921187,0.2780510328971975
31,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,0,tsinfer,per site,retained,unrooted,path,24.728225640082897,0.3985947295361038
33,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,rooted,KC,17.00402847330774,0.22031677223584495
34,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,rooted,RF,18.32436192000001,0.2134392016617944
36,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,unrooted,RF,16.672957639999996,0.21376584602620619
37,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,unrooted,SPR,4.292280730000001,0.045721505952125784
38,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,unrooted,path,22.68718441370541,0.25548049995396743
40,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,rooted,KC,16.054645655856426,0.22325574764790268
41,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,rooted,RF,16.257405999999992,0.24814677004628544
42,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,unrooted,RF,14.5360724,0.252585206085301
43,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,unrooted,SPR,3.9145625999999987,0.060331689802764266
44,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,unrooted,path,20.49487209763458,0.2962237151402917
45,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,rooted,KC,18.435004958982084,0.2892268656963432
46,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,rooted,RF,18.076962561417467,0.24740556817990722
48,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,unrooted,RF,15.862653960975585,0.24693976263407585
49,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,unrooted,SPR,4.133646452990798,0.060295751368398175
50,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,unrooted,path,22.104808625160253,0.2849407462182648
52,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,rooted,KC,17.034516132959194,0.24589549870088395
53,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,rooted,RF,17.65588579416755,0.2161808103566572
55,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,RF,15.993826766528596,0.21508161186884642
56,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,SPR,4.173194821555425,0.04539803700161866
57,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,path,22.0483876118438,0.26883755743104154
59,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,rooted,KC,15.160118658644688,0.23407788980191363
63,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,unrooted,SPR,3.5325687959273884,0.22110530767151407
64,Gutenkunst.out.of.africa,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,unrooted,path,25.054022470072127,0.37168109029925467
66,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,0,ARGweaver,per site,retained,rooted,KC,12.671351566258853,0.16509683057491048
67,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,0,ARGweaver,per site,retained,rooted,RF,12.82130396,0.2260161589233028
69,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,0,ARGweaver,per site,retained,unrooted,RF,11.58075172,0.22583934672777345
70,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,0,ARGweaver,per site,retained,unrooted,SPR,3.2841021600000007,0.05037983553661431
71,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,0,ARGweaver,per site,retained,unrooted,path,17.22682187111135,0.2378859979056352
73,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,0,RentPlus,per site,retained,rooted,KC,12.222252358703463,0.1693275068628623
74,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,0,RentPlus,per site,retained,rooted,RF,11.4506844,0.23688277966953622
75,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,0,RentPlus,per site,retained,unrooted,RF,10.1171042,0.2364691937108216
76,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,0,RentPlus,per site,retained,unrooted,SPR,3.0011977,0.06171359331030561
77,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,0,RentPlus,per site,retained,unrooted,path,15.973003354333622,0.26571237803008396
78,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,0,fastARG,per site,retained,rooted,KC,15.889062031569601,0.25223415674230126
79,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,0,fastARG,per site,retained,rooted,RF,14.172289046268233,0.2605449104114308
81,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,0,fastARG,per site,retained,unrooted,RF,11.91811087553831,0.24917961402096114
82,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,0,fastARG,per site,retained,unrooted,SPR,3.3084693906086375,0.057753107012619063
83,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,0,fastARG,per site,retained,unrooted,path,17.758893167166015,0.29959862267152243
85,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,0,tsinfer,per site,broken,rooted,KC,12.80257060873694,0.16325381516578327
86,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,0,tsinfer,per site,broken,rooted,RF,12.958514100267335,0.23341662135703117
88,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,0,tsinfer,per site,broken,unrooted,RF,11.773109557407851,0.23160061765519813
89,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,0,tsinfer,per site,broken,unrooted,SPR,3.328977994721689,0.055157554017793375
90,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,0,tsinfer,per site,broken,unrooted,path,17.557805342780433,0.2404672556150234
92,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,0,tsinfer,per site,retained,rooted,KC,11.789404468483262,0.14239913078274477
96,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,0,tsinfer,per site,retained,unrooted,SPR,2.802663877852222,0.16201678730119393
97,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,0,tsinfer,per site,retained,unrooted,path,18.912874363731518,0.28614958691977394
99,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,rooted,KC,13.337142229805975,0.15765473201000088
100,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,rooted,RF,13.793040460000002,0.21576721479890093
102,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,unrooted,RF,12.496117039999996,0.21585010021416867
103,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,unrooted,SPR,3.4698260400000014,0.047964931107148674
104,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,unrooted,path,18.077796313680516,0.22456147552641417
106,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,rooted,KC,12.897299175792098,0.16541487243689784
107,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,rooted,RF,12.5017494,0.2145070027411843
108,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,unrooted,RF,11.159346199999995,0.21771036867067878
109,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,unrooted,SPR,3.215886400000001,0.05358937597193131
110,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,unrooted,path,17.032929458232925,0.2563633922513928
111,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,rooted,KC,16.455895053769545,0.23041520947598598
112,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,rooted,RF,15.791809515281097,0.22690492189355735
114,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,unrooted,RF,13.605007911600575,0.22459733243039634
115,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,unrooted,SPR,3.717381849473891,0.05251897227984601
116,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,unrooted,path,19.595546365391503,0.2589899983168869
118,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,rooted,KC,13.66938712641609,0.16396242999533964
119,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,rooted,RF,14.125216071425053,0.21449299301431068
121,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,RF,12.850645663295552,0.21458901538346065
122,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,SPR,3.5700001855997847,0.04896168397651663
123,Gutenkunst.out.of.africa,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,path,18.703635279617448,0.22970299458938678
