,Ne,length,sample_size,recombination_rate,mutation_rate,error_param,output_frequency,output_after_generations,tool,averaging,polytomies,rooting,metric,treedist_mean,treedist_se
0,5000,100000,16,1e-08,4.999999999999999e-09,0,0.2,0,ARGweaver,per site,retained,rooted,KC,14.62872295395314,0.3695938669631601
1,5000,100000,16,1e-08,4.999999999999999e-09,0,0.2,0,ARGweaver,per site,retained,rooted,RF,16.207140639999995,0.39524613301824835
3,5000,100000,16,1e-08,4.999999999999999e-09,0,0.2,0,ARGweaver,per site,retained,unrooted,RF,14.762582280000004,0.38641406373695963
4,5000,100000,16,1e-08,4.999999999999999e-09,0,0.2,0,ARGweaver,per site,retained,unrooted,SPR,3.9690448213835903,0.08172788139389911
5,5000,100000,16,1e-08,4.999999999999999e-09,0,0.2,0,ARGweaver,per site,retained,unrooted,path,20.15369985792684,0.4482045004654883
7,5000,100000,16,1e-08,4.999999999999999e-09,0,0.2,0,RentPlus,per site,retained,rooted,KC,13.921772991593032,0.3882299030397511
8,5000,100000,16,1e-08,4.999999999999999e-09,0,0.2,0,RentPlus,per site,retained,rooted,RF,14.2220842,0.40975893207692704
9,5000,100000,16,1e-08,4.999999999999999e-09,0,0.2,0,RentPlus,per site,retained,unrooted,RF,12.636549,0.416787525456929
10,5000,100000,16,1e-08,4.999999999999999e-09,0,0.2,0,RentPlus,per site,retained,unrooted,SPR,3.557372377413805,0.10608962262567988
11,5000,100000,16,1e-08,4.999999999999999e-09,0,0.2,0,RentPlus,per site,retained,unrooted,path,17.825075060029626,0.4455367794169165
12,5000,100000,16,1e-08,4.999999999999999e-09,0,0.2,0,fastARG,per site,retained,rooted,KC,16.00365158162881,0.47475487051442417
13,5000,100000,16,1e-08,4.999999999999999e-09,0,0.2,0,fastARG,per site,retained,rooted,RF,15.09987495378595,0.43021616184067385
15,5000,100000,16,1e-08,4.999999999999999e-09,0,0.2,0,fastARG,per site,retained,unrooted,RF,13.050361928216708,0.4228098426519979
16,5000,100000,16,1e-08,4.999999999999999e-09,0,0.2,0,fastARG,per site,retained,unrooted,SPR,3.5888430774599596,0.09893191425075466
17,5000,100000,16,1e-08,4.999999999999999e-09,0,0.2,0,fastARG,per site,retained,unrooted,path,18.58342740489751,0.4772072310174647
19,5000,100000,16,1e-08,4.999999999999999e-09,0,0.2,0,tsinfer,per site,broken,rooted,KC,14.982541966844241,0.47386093309322197
20,5000,100000,16,1e-08,4.999999999999999e-09,0,0.2,0,tsinfer,per site,broken,rooted,RF,15.366209540365908,0.37366526656712756
22,5000,100000,16,1e-08,4.999999999999999e-09,0,0.2,0,tsinfer,per site,broken,unrooted,RF,13.944959230596922,0.35640693434513104
23,5000,100000,16,1e-08,4.999999999999999e-09,0,0.2,0,tsinfer,per site,broken,unrooted,SPR,3.847288881912417,0.07148242153904023
24,5000,100000,16,1e-08,4.999999999999999e-09,0,0.2,0,tsinfer,per site,broken,unrooted,path,19.570511755920037,0.45116224302530716
26,5000,100000,16,1e-08,4.999999999999999e-09,0,0.2,0,tsinfer,per site,retained,rooted,KC,13.268240432980328,0.4334715021391376
30,5000,100000,16,1e-08,4.999999999999999e-09,0,0.2,0,tsinfer,per site,retained,unrooted,path,25.122063241776104,0.7817957616082096
32,5000,100000,16,1e-08,4.999999999999999e-09,0,0.5,0,ARGweaver,per site,retained,rooted,KC,16.277115232701643,0.4222404765666791
33,5000,100000,16,1e-08,4.999999999999999e-09,0,0.5,0,ARGweaver,per site,retained,rooted,RF,19.233865719999994,0.4038947624561869
35,5000,100000,16,1e-08,4.999999999999999e-09,0,0.5,0,ARGweaver,per site,retained,unrooted,RF,17.809507160000003,0.4033180168860528
36,5000,100000,16,1e-08,4.999999999999999e-09,0,0.5,0,ARGweaver,per site,retained,unrooted,SPR,4.5219785833333335,0.08288007433847897
37,5000,100000,16,1e-08,4.999999999999999e-09,0,0.5,0,ARGweaver,per site,retained,unrooted,path,23.14048876560267,0.5141830328582535
39,5000,100000,16,1e-08,4.999999999999999e-09,0,0.5,0,RentPlus,per site,retained,rooted,KC,13.954046835124561,0.3710181129994378
40,5000,100000,16,1e-08,4.999999999999999e-09,0,0.5,0,RentPlus,per site,retained,rooted,RF,17.388582,0.5033114455743306
41,5000,100000,16,1e-08,4.999999999999999e-09,0,0.5,0,RentPlus,per site,retained,unrooted,RF,15.894246399999997,0.5064006022014796
42,5000,100000,16,1e-08,4.999999999999999e-09,0,0.5,0,RentPlus,per site,retained,unrooted,SPR,4.224019791666667,0.10835545585978776
43,5000,100000,16,1e-08,4.999999999999999e-09,0,0.5,0,RentPlus,per site,retained,unrooted,path,19.046423131557194,0.5177739602268381
44,5000,100000,16,1e-08,4.999999999999999e-09,0,0.5,0,fastARG,per site,retained,rooted,KC,16.910422545502417,0.5536283207264464
45,5000,100000,16,1e-08,4.999999999999999e-09,0,0.5,0,fastARG,per site,retained,rooted,RF,18.416642598626435,0.5600189811267374
47,5000,100000,16,1e-08,4.999999999999999e-09,0,0.5,0,fastARG,per site,retained,unrooted,RF,16.386802338870734,0.5552002873212482
48,5000,100000,16,1e-08,4.999999999999999e-09,0,0.5,0,fastARG,per site,retained,unrooted,SPR,4.269229563873488,0.1160773658986422
49,5000,100000,16,1e-08,4.999999999999999e-09,0,0.5,0,fastARG,per site,retained,unrooted,path,21.89958017979781,0.810941791861247
51,5000,100000,16,1e-08,4.999999999999999e-09,0,0.5,0,tsinfer,per site,broken,rooted,KC,14.904609006397738,0.36504376909613484
52,5000,100000,16,1e-08,4.999999999999999e-09,0,0.5,0,tsinfer,per site,broken,rooted,RF,18.117921795748572,0.41338973354646047
54,5000,100000,16,1e-08,4.999999999999999e-09,0,0.5,0,tsinfer,per site,broken,unrooted,RF,16.74349422590832,0.41434492840767595
55,5000,100000,16,1e-08,4.999999999999999e-09,0,0.5,0,tsinfer,per site,broken,unrooted,SPR,4.357288055598319,0.08654699854292856
56,5000,100000,16,1e-08,4.999999999999999e-09,0,0.5,0,tsinfer,per site,broken,unrooted,path,21.649604738864113,0.5091873062263401
58,5000,100000,16,1e-08,4.999999999999999e-09,0,0.5,0,tsinfer,per site,retained,rooted,KC,14.091568672221976,0.47067076900858057
62,5000,100000,16,1e-08,4.999999999999999e-09,0,0.5,0,tsinfer,per site,retained,unrooted,path,32.462582930825825,0.9877219457859437
64,5000,100000,16,1e-08,4.999999999999999e-09,0,0.8,0,ARGweaver,per site,retained,rooted,KC,20.34697805098465,0.4119586403805437
