,Ne,length,sample_size,recombination_rate,mutation_rate,error_param,subsample_size,restrict_sample_size_comparison,tool,averaging,polytomies,rooting,metric,treedist_mean,treedist_se
0,5000,50000,1000,1e-08,1e-08,0,12,6,tsinfer,per variant,broken,rooted,KC,2.3846594419498426,0.09072557813818709
1,5000,50000,1000,1e-08,1e-08,0,12,6,tsinfer,per variant,broken,rooted,RF,2.6674654063296224,0.11743429485606585
3,5000,50000,1000,1e-08,1e-08,0,12,6,tsinfer,per variant,broken,unrooted,RF,1.9281903272429823,0.10706431369185723
4,5000,50000,1000,1e-08,1e-08,0,12,6,tsinfer,per variant,broken,unrooted,SPR,0.7225592728465215,0.03374689552432357
5,5000,50000,1000,1e-08,1e-08,0,12,6,tsinfer,per variant,broken,unrooted,path,2.358343528086772,0.11424685870091536
7,5000,50000,1000,1e-08,1e-08,0,12,6,tsinfer,per variant,retained,rooted,KC,2.248477415499668,0.08299036884847293
11,5000,50000,1000,1e-08,1e-08,0,12,6,tsinfer,per variant,retained,unrooted,SPR,0.536308811394961,0.044146220687942876
12,5000,50000,1000,1e-08,1e-08,0,12,6,tsinfer,per variant,retained,unrooted,path,2.6907424351720772,0.13326876457558381
14,5000,50000,1000,1e-08,1e-08,0,50,6,tsinfer,per variant,broken,rooted,KC,2.3777792637133532,0.08925775423246325
15,5000,50000,1000,1e-08,1e-08,0,50,6,tsinfer,per variant,broken,rooted,RF,2.669782453614733,0.11864749450092409
17,5000,50000,1000,1e-08,1e-08,0,50,6,tsinfer,per variant,broken,unrooted,RF,1.924372490845797,0.10427836719815613
18,5000,50000,1000,1e-08,1e-08,0,50,6,tsinfer,per variant,broken,unrooted,SPR,0.7138347906931992,0.03252928425382472
19,5000,50000,1000,1e-08,1e-08,0,50,6,tsinfer,per variant,broken,unrooted,path,2.3482618180009207,0.11186587041762788
21,5000,50000,1000,1e-08,1e-08,0,50,6,tsinfer,per variant,retained,rooted,KC,2.256980223373942,0.08095061533669604
25,5000,50000,1000,1e-08,1e-08,0,50,6,tsinfer,per variant,retained,unrooted,SPR,0.5934496647716144,0.0432026666606338
26,5000,50000,1000,1e-08,1e-08,0,50,6,tsinfer,per variant,retained,unrooted,path,2.7146812840505516,0.13642206142705016
28,5000,50000,1000,1e-08,1e-08,0,100,6,tsinfer,per variant,broken,rooted,KC,2.325685778225988,0.09300236934515582
29,5000,50000,1000,1e-08,1e-08,0,100,6,tsinfer,per variant,broken,rooted,RF,2.603670208476497,0.11718458053431018
31,5000,50000,1000,1e-08,1e-08,0,100,6,tsinfer,per variant,broken,unrooted,RF,1.8683595034570868,0.09994999827511547
32,5000,50000,1000,1e-08,1e-08,0,100,6,tsinfer,per variant,broken,unrooted,SPR,0.7079190263534497,0.03197573098790955
33,5000,50000,1000,1e-08,1e-08,0,100,6,tsinfer,per variant,broken,unrooted,path,2.3013214164205373,0.10855030239051744
35,5000,50000,1000,1e-08,1e-08,0,100,6,tsinfer,per variant,retained,rooted,KC,2.199571712430382,0.08380089776298233
39,5000,50000,1000,1e-08,1e-08,0,100,6,tsinfer,per variant,retained,unrooted,SPR,0.5667159028413278,0.04579096808391673
40,5000,50000,1000,1e-08,1e-08,0,100,6,tsinfer,per variant,retained,unrooted,path,2.641296607262614,0.12902730192842807
42,5000,50000,1000,1e-08,1e-08,0,500,6,tsinfer,per variant,broken,rooted,KC,2.3448577608021126,0.08867669215568025
43,5000,50000,1000,1e-08,1e-08,0,500,6,tsinfer,per variant,broken,rooted,RF,2.6474909728353326,0.11830887366011619
45,5000,50000,1000,1e-08,1e-08,0,500,6,tsinfer,per variant,broken,unrooted,RF,1.928797693619559,0.10481129120568185
46,5000,50000,1000,1e-08,1e-08,0,500,6,tsinfer,per variant,broken,unrooted,SPR,0.7042715292126932,0.031528969982408894
47,5000,50000,1000,1e-08,1e-08,0,500,6,tsinfer,per variant,broken,unrooted,path,2.3473478926844806,0.11088941046682912
49,5000,50000,1000,1e-08,1e-08,0,500,6,tsinfer,per variant,retained,rooted,KC,2.2189084389876754,0.07767848980817724
53,5000,50000,1000,1e-08,1e-08,0,500,6,tsinfer,per variant,retained,unrooted,SPR,0.5947433190034946,0.047301051101112435
54,5000,50000,1000,1e-08,1e-08,0,500,6,tsinfer,per variant,retained,unrooted,path,2.7212310617912863,0.12894864605804313
56,5000,50000,1000,1e-08,1e-08,0,1000,6,tsinfer,per variant,broken,rooted,KC,2.337379513244733,0.0939099943744823
57,5000,50000,1000,1e-08,1e-08,0,1000,6,tsinfer,per variant,broken,rooted,RF,2.648905619582525,0.12494073483034998
59,5000,50000,1000,1e-08,1e-08,0,1000,6,tsinfer,per variant,broken,unrooted,RF,1.903511105018091,0.10947562717337059
60,5000,50000,1000,1e-08,1e-08,0,1000,6,tsinfer,per variant,broken,unrooted,SPR,0.6910713957332283,0.032668723580737954
61,5000,50000,1000,1e-08,1e-08,0,1000,6,tsinfer,per variant,broken,unrooted,path,2.30026440169613,0.11612320410642007
63,5000,50000,1000,1e-08,1e-08,0,1000,6,tsinfer,per variant,retained,rooted,KC,2.2183277646335604,0.0825666359812265
67,5000,50000,1000,1e-08,1e-08,0,1000,6,tsinfer,per variant,retained,unrooted,SPR,0.5681062767238445,0.043416231058841306
68,5000,50000,1000,1e-08,1e-08,0,1000,6,tsinfer,per variant,retained,unrooted,path,2.6579930549539856,0.13403804981523332
70,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,12,6,tsinfer,per variant,broken,rooted,KC,2.5238641427522865,0.0863852620539246
71,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,12,6,tsinfer,per variant,broken,rooted,RF,2.84419047619434,0.11377110913776874
73,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,12,6,tsinfer,per variant,broken,unrooted,RF,2.039557343545627,0.10585736024683381
74,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,12,6,tsinfer,per variant,broken,unrooted,SPR,0.7547089435253994,0.03219257105874769
75,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,12,6,tsinfer,per variant,broken,unrooted,path,2.4729615708338706,0.11074473335493569
77,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,12,6,tsinfer,per variant,retained,rooted,KC,2.3929994960306407,0.0791967851638989
81,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,12,6,tsinfer,per variant,retained,unrooted,SPR,0.6335881449773395,0.04184925846398724
82,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,12,6,tsinfer,per variant,retained,unrooted,path,2.818857534734373,0.1289775598502879
84,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,50,6,tsinfer,per variant,broken,rooted,KC,2.4885545705038385,0.08991501639210314
85,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,50,6,tsinfer,per variant,broken,rooted,RF,2.8163895127019227,0.12307126647498794
87,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,50,6,tsinfer,per variant,broken,unrooted,RF,2.005890906598184,0.10830376440684089
88,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,50,6,tsinfer,per variant,broken,unrooted,SPR,0.7278859555337589,0.03155199703054467
89,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,50,6,tsinfer,per variant,broken,unrooted,path,2.4285694584887407,0.11331563382062357
91,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,50,6,tsinfer,per variant,retained,rooted,KC,2.344260697955444,0.08179989504259653
95,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,50,6,tsinfer,per variant,retained,unrooted,SPR,0.6116436769522912,0.04256650919060386
96,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,50,6,tsinfer,per variant,retained,unrooted,path,2.7901070933186207,0.13378573426490442
98,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,100,6,tsinfer,per variant,broken,rooted,KC,2.4589770147314987,0.08991692216394218
99,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,100,6,tsinfer,per variant,broken,rooted,RF,2.764746989650318,0.11513640235782072
101,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,100,6,tsinfer,per variant,broken,unrooted,RF,1.967563052547634,0.1012426000550067
102,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,100,6,tsinfer,per variant,broken,unrooted,SPR,0.7337275509303265,0.0315792416324318
103,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,100,6,tsinfer,per variant,broken,unrooted,path,2.40344072129869,0.10906452583049028
105,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,100,6,tsinfer,per variant,retained,rooted,KC,2.3272690101503075,0.08061047607909257
109,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,100,6,tsinfer,per variant,retained,unrooted,SPR,0.6328521633677442,0.04617879214429324
110,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,100,6,tsinfer,per variant,retained,unrooted,path,2.764190767881491,0.127207987566931
112,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,500,6,tsinfer,per variant,broken,rooted,KC,2.4408134167781874,0.08432093224497708
113,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,500,6,tsinfer,per variant,broken,rooted,RF,2.7928764225279705,0.1152785483670166
115,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,500,6,tsinfer,per variant,broken,unrooted,RF,2.024098667468808,0.10407378379982372
116,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,500,6,tsinfer,per variant,broken,unrooted,SPR,0.7307899935500042,0.030198198536734628
117,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,500,6,tsinfer,per variant,broken,unrooted,path,2.4425311386222432,0.10721250823586308
119,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,500,6,tsinfer,per variant,retained,rooted,KC,2.3110912331035895,0.07417597835668907
123,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,500,6,tsinfer,per variant,retained,unrooted,SPR,0.620747640536978,0.046309222253909335
124,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,500,6,tsinfer,per variant,retained,unrooted,path,2.818936388104787,0.12563174957032594
126,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,1000,6,tsinfer,per variant,broken,rooted,KC,2.4967841902913035,0.09298505952529487
127,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,1000,6,tsinfer,per variant,broken,rooted,RF,2.9087289160723526,0.12597491926885215
129,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,1000,6,tsinfer,per variant,broken,unrooted,RF,2.108553036002624,0.11234763575150186
130,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,1000,6,tsinfer,per variant,broken,unrooted,SPR,0.7389902366056559,0.032072183975254
131,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,1000,6,tsinfer,per variant,broken,unrooted,path,2.5057936838436827,0.11679527480997935
133,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,1000,6,tsinfer,per variant,retained,rooted,KC,2.3606149610736766,0.0819308672988779
137,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,1000,6,tsinfer,per variant,retained,unrooted,SPR,0.6328529619151013,0.0419928867343956
138,5000,50000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,1000,6,tsinfer,per variant,retained,unrooted,path,2.845907763655871,0.1330635106499147
