,Ne,length,sample_size,recombination_rate,mutation_rate,error_param,tool,averaging,polytomy_treatment,rooting,metric,treedist_mean,treedist_se
0,5000,1000000,16,1e-08,2.0000000000000003e-10,0,ARGweaver,per site,,rooted,KC,22.757235394417165,0.3114226090091865
1,5000,1000000,16,1e-08,2.0000000000000003e-10,0,ARGweaver,per site,,rooted,RF,25.4622208,0.4002127978740217
2,5000,1000000,16,1e-08,2.0000000000000003e-10,0,ARGweaver,per site,,rooted,wRF,106080.04767618496,1947.8306449010765
3,5000,1000000,16,1e-08,2.0000000000000003e-10,0,ARGweaver,per site,,unrooted,RF,23.476145799999998,0.3887188437459961
4,5000,1000000,16,1e-08,2.0000000000000003e-10,0,ARGweaver,per site,,unrooted,SPR,5.604447816666667,0.08922114647524403
5,5000,1000000,16,1e-08,2.0000000000000003e-10,0,ARGweaver,per site,,unrooted,path,31.117526440627387,0.456738135161354
6,5000,1000000,16,1e-08,2.0000000000000003e-10,0,ARGweaver,per site,,unrooted,wRF,105910.71324530197,1964.3656477501022
7,5000,1000000,16,1e-08,2.0000000000000003e-10,0,RentPlus,per site,,rooted,KC,22.931653287379994,0.27428474338039266
8,5000,1000000,16,1e-08,2.0000000000000003e-10,0,RentPlus,per site,,rooted,RF,23.810571999999997,0.19480313930873852
9,5000,1000000,16,1e-08,2.0000000000000003e-10,0,RentPlus,per site,,unrooted,RF,21.755783480000005,0.19491171794056644
10,5000,1000000,16,1e-08,2.0000000000000003e-10,0,RentPlus,per site,,unrooted,SPR,5.255313610000002,0.04520234479478578
11,5000,1000000,16,1e-08,2.0000000000000003e-10,0,RentPlus,per site,,unrooted,path,29.006610032381186,0.22415812869273571
12,5000,1000000,16,1e-08,2.0000000000000003e-10,0,fastARG,per site,,rooted,KC,21.2180945994275,0.2388449117476466
13,5000,1000000,16,1e-08,2.0000000000000003e-10,0,fastARG,per site,,rooted,RF,23.746831197481196,0.20228095569317764
14,5000,1000000,16,1e-08,2.0000000000000003e-10,0,fastARG,per site,,rooted,wRF,65813.20274195763,512.0614100342757
15,5000,1000000,16,1e-08,2.0000000000000003e-10,0,fastARG,per site,,unrooted,RF,21.66467622522888,0.2035245223187651
16,5000,1000000,16,1e-08,2.0000000000000003e-10,0,fastARG,per site,,unrooted,SPR,5.241626105199622,0.04776577640756572
17,5000,1000000,16,1e-08,2.0000000000000003e-10,0,fastARG,per site,,unrooted,path,28.52170736021964,0.25525948800154163
18,5000,1000000,16,1e-08,2.0000000000000003e-10,0,fastARG,per site,,unrooted,wRF,65811.77005748036,512.042762701604
19,5000,1000000,16,1e-08,2.0000000000000003e-10,0,tsinfer,per site,,rooted,KC,19.067980299219705,0.1461938142742627
20,5000,1000000,16,1e-08,2.0000000000000003e-10,0,tsinfer,per site,,rooted,RF,18.232721023134726,0.12073577325735092
21,5000,1000000,16,1e-08,2.0000000000000003e-10,0,tsinfer,per site,,rooted,wRF,66120.01731888199,512.6979393998507
22,5000,1000000,16,1e-08,2.0000000000000003e-10,0,tsinfer,per site,,unrooted,RF,16.810498625790018,0.11384480446652508
23,5000,1000000,16,1e-08,2.0000000000000003e-10,0,tsinfer,per site,,unrooted,path,34.015810402904094,0.33332863610897034
24,5000,1000000,16,1e-08,2.0000000000000003e-10,0,tsinfer,per site,,unrooted,wRF,66119.29288588223,512.7052377368248
25,5000,1000000,16,1e-08,2.0000000000000003e-10,0,tsinfer,per site,breaking polytomies,rooted,KC,26.97783943595796,0.3652702769736099
26,5000,1000000,16,1e-08,2.0000000000000003e-10,0,tsinfer,per site,breaking polytomies,rooted,RF,24.445748475901265,0.15564286735065452
27,5000,1000000,16,1e-08,2.0000000000000003e-10,0,tsinfer,per site,breaking polytomies,rooted,wRF,66120.01731888199,512.6979393998507
28,5000,1000000,16,1e-08,2.0000000000000003e-10,0,tsinfer,per site,breaking polytomies,unrooted,RF,22.36868281336529,0.15550049683854456
29,5000,1000000,16,1e-08,2.0000000000000003e-10,0,tsinfer,per site,breaking polytomies,unrooted,SPR,5.390644292032872,0.03398674427158885
30,5000,1000000,16,1e-08,2.0000000000000003e-10,0,tsinfer,per site,breaking polytomies,unrooted,path,30.447188263937452,0.2109031040970648
31,5000,1000000,16,1e-08,2.0000000000000003e-10,0,tsinfer,per site,breaking polytomies,unrooted,wRF,66119.29288588223,512.7052377368245
32,5000,1000000,16,1e-08,2.0000000000000003e-10,EmpiricalErrorPlatinum1000G,ARGweaver,per site,,rooted,KC,23.415514772637295,0.9179290280009736
33,5000,1000000,16,1e-08,2.0000000000000003e-10,EmpiricalErrorPlatinum1000G,ARGweaver,per site,,rooted,RF,25.39237508,0.33096747721760383
34,5000,1000000,16,1e-08,2.0000000000000003e-10,EmpiricalErrorPlatinum1000G,ARGweaver,per site,,rooted,wRF,108289.8973626901,1390.5214236640948
35,5000,1000000,16,1e-08,2.0000000000000003e-10,EmpiricalErrorPlatinum1000G,ARGweaver,per site,,unrooted,RF,23.36538832,0.3229492176281589
36,5000,1000000,16,1e-08,2.0000000000000003e-10,EmpiricalErrorPlatinum1000G,ARGweaver,per site,,unrooted,SPR,5.59090578,0.0652822553077342
37,5000,1000000,16,1e-08,2.0000000000000003e-10,EmpiricalErrorPlatinum1000G,ARGweaver,per site,,unrooted,path,30.898773826176114,0.5762850202732444
