,Ne,length,sample_size,recombination_rate,mutation_rate,error_param,tool,averaging,polytomies,rooting,metric,treedist_mean,treedist_se
0,5000,100000,16,1e-08,4.999999999999999e-09,0,ARGweaver,per site,retained,rooted,KC,15.535272870867477,0.2329185566221954
1,5000,100000,16,1e-08,4.999999999999999e-09,0,ARGweaver,per site,retained,rooted,RF,17.00480064,0.2617164145004174
3,5000,100000,16,1e-08,4.999999999999999e-09,0,ARGweaver,per site,retained,unrooted,RF,15.469017200000003,0.25874290507733144
4,5000,100000,16,1e-08,4.999999999999999e-09,0,ARGweaver,per site,retained,unrooted,SPR,4.085135740000001,0.05441212212213622
5,5000,100000,16,1e-08,4.999999999999999e-09,0,ARGweaver,per site,retained,unrooted,path,21.22999875587714,0.28745205777173743
7,5000,100000,16,1e-08,4.999999999999999e-09,0,RentPlus,per site,retained,rooted,KC,15.501040766564383,0.27826255383742243
8,5000,100000,16,1e-08,4.999999999999999e-09,0,RentPlus,per site,retained,rooted,RF,15.425341600000001,0.3184544100296109
9,5000,100000,16,1e-08,4.999999999999999e-09,0,RentPlus,per site,retained,unrooted,RF,13.638561200000002,0.3174021408970741
10,5000,100000,16,1e-08,4.999999999999999e-09,0,RentPlus,per site,retained,unrooted,SPR,3.6778562999999997,0.07575058802734128
11,5000,100000,16,1e-08,4.999999999999999e-09,0,RentPlus,per site,retained,unrooted,path,19.593655637915443,0.34004507360412173
12,5000,100000,16,1e-08,4.999999999999999e-09,0,fastARG,per site,retained,rooted,KC,16.60067578143252,0.31913340380680977
13,5000,100000,16,1e-08,4.999999999999999e-09,0,fastARG,per site,retained,rooted,RF,15.668636638177627,0.3092607394886019
15,5000,100000,16,1e-08,4.999999999999999e-09,0,fastARG,per site,retained,unrooted,RF,13.529162655430024,0.3036023393896566
16,5000,100000,16,1e-08,4.999999999999999e-09,0,fastARG,per site,retained,unrooted,SPR,3.656643915229497,0.0723613005537069
17,5000,100000,16,1e-08,4.999999999999999e-09,0,fastARG,per site,retained,unrooted,path,19.614375582181356,0.3617637058376813
19,5000,100000,16,1e-08,4.999999999999999e-09,0,tsinfer,per site,broken,rooted,KC,16.25985589364639,0.32398617841376576
20,5000,100000,16,1e-08,4.999999999999999e-09,0,tsinfer,per site,broken,rooted,RF,16.408648834025566,0.27510154368546974
22,5000,100000,16,1e-08,4.999999999999999e-09,0,tsinfer,per site,broken,unrooted,RF,14.85299590040733,0.2647101738649541
23,5000,100000,16,1e-08,4.999999999999999e-09,0,tsinfer,per site,broken,unrooted,SPR,3.940530741367721,0.05546151561287806
24,5000,100000,16,1e-08,4.999999999999999e-09,0,tsinfer,per site,broken,unrooted,path,20.965214413807672,0.3183286309578893
26,5000,100000,16,1e-08,4.999999999999999e-09,0,tsinfer,per site,retained,rooted,KC,13.923127598820809,0.24797970661263732
30,5000,100000,16,1e-08,4.999999999999999e-09,0,tsinfer,per site,retained,unrooted,path,25.437962524286924,0.4951748817511918
32,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,rooted,KC,16.099744993962666,0.23922624958956415
33,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,rooted,RF,17.696048140000002,0.253794902955785
35,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,unrooted,RF,16.1238799,0.25207716652294293
36,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,unrooted,SPR,4.19020284,0.05398731523453147
37,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,unrooted,path,21.863137092471675,0.3033009495926147
39,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,rooted,KC,15.989405884731534,0.3038117382137614
40,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,rooted,RF,16.015626499999996,0.32058210204524046
41,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,unrooted,RF,14.2347778,0.3199679082491633
42,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,unrooted,SPR,3.796226699999998,0.0726532468301363
43,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,unrooted,path,20.27538774923318,0.3615329181212134
44,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,rooted,KC,16.966148617814007,0.28961156983647424
45,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,rooted,RF,16.6631531633265,0.2940470081833605
47,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,unrooted,RF,14.506856482600694,0.28873509426947724
48,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,unrooted,SPR,3.867447590655978,0.06629121049039237
49,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,unrooted,path,20.615483685822614,0.3463020308067627
51,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,rooted,KC,16.990858577740866,0.336574800918459
52,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,rooted,RF,17.171658985507804,0.2650488247591859
54,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,RF,15.558224426547369,0.25767146302867916
55,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,SPR,4.075489976860208,0.054359605372371056
56,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,path,21.72824584948038,0.32028474932981704
58,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,rooted,KC,14.335714778934454,0.24607424104528297
62,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,unrooted,path,25.810775119846262,0.4746295758733149
64,5000,100000,16,1e-08,1.4898859031336945e-08,0,ARGweaver,per site,retained,rooted,KC,11.611331553690569,0.19662742677282735
65,5000,100000,16,1e-08,1.4898859031336945e-08,0,ARGweaver,per site,retained,rooted,RF,11.672470579999999,0.21933561856113798
67,5000,100000,16,1e-08,1.4898859031336945e-08,0,ARGweaver,per site,retained,unrooted,RF,10.504272499999999,0.21745371172718939
68,5000,100000,16,1e-08,1.4898859031336945e-08,0,ARGweaver,per site,retained,unrooted,SPR,3.086329819999999,0.0518571710170833
69,5000,100000,16,1e-08,1.4898859031336945e-08,0,ARGweaver,per site,retained,unrooted,path,16.026458024644263,0.2349846842200006
71,5000,100000,16,1e-08,1.4898859031336945e-08,0,RentPlus,per site,retained,rooted,KC,12.702657272727276,0.20364969201304173
72,5000,100000,16,1e-08,1.4898859031336945e-08,0,RentPlus,per site,retained,rooted,RF,11.364183299999997,0.2339331286367082
73,5000,100000,16,1e-08,1.4898859031336945e-08,0,RentPlus,per site,retained,unrooted,RF,9.7640135,0.23165688085760427
74,5000,100000,16,1e-08,1.4898859031336945e-08,0,RentPlus,per site,retained,unrooted,SPR,2.91724655,0.06422722765015412
75,5000,100000,16,1e-08,1.4898859031336945e-08,0,RentPlus,per site,retained,unrooted,path,15.665236878940965,0.24515747373880314
76,5000,100000,16,1e-08,1.4898859031336945e-08,0,fastARG,per site,retained,rooted,KC,14.403670785921834,0.22527276806020766
77,5000,100000,16,1e-08,1.4898859031336945e-08,0,fastARG,per site,retained,rooted,RF,12.222415475446848,0.2690541940446245
79,5000,100000,16,1e-08,1.4898859031336945e-08,0,fastARG,per site,retained,unrooted,RF,10.106924955340654,0.2586030022688443
80,5000,100000,16,1e-08,1.4898859031336945e-08,0,fastARG,per site,retained,unrooted,SPR,2.993710318545329,0.07227247395109997
81,5000,100000,16,1e-08,1.4898859031336945e-08,0,fastARG,per site,retained,unrooted,path,15.969185954964223,0.2635927986235232
83,5000,100000,16,1e-08,1.4898859031336945e-08,0,tsinfer,per site,broken,rooted,KC,11.684244994143668,0.23310261707373953
84,5000,100000,16,1e-08,1.4898859031336945e-08,0,tsinfer,per site,broken,rooted,RF,11.611013400394338,0.24361023796230746
86,5000,100000,16,1e-08,1.4898859031336945e-08,0,tsinfer,per site,broken,unrooted,RF,10.501243843197226,0.23849361204698377
