Unnamed: 0,sample_size,Ne,length,recombination_rate,mutation_rate,error_rate,seed,ARGweaver_completed,fastARG_completed,RentPlus_completed,tsinfer_completed,fastARG_pathunrooted,fastARG_SPRunrooted,fastARG_wRFrooted,fastARG_TSfilesize,fastARG_wRFunrooted,fastARG_RFunrooted,fastARG_edgesets,fastARG_cputime,fastARG_RFrooted,fastARG_edges,fastARG_memory,fastARG_KCrooted,RentPlus_pathunrooted,RentPlus_cputime,RentPlus_SPRunrooted,RentPlus_wRFrooted,RentPlus_RFrooted,RentPlus_wRFunrooted,RentPlus_RFunrooted,RentPlus_memory,RentPlus_KCrooted,tsinfer_pathunrooted,tsinfer_mean_polytomy,tsinfer_max_polytomy,tsinfer_wRFrooted,tsinfer_TSfilesize,tsinfer_wRFunrooted,tsinfer_var_polytomy,tsinfer_RFunrooted,tsinfer_edgesets,tsinfer_cputime,tsinfer_RFrooted,tsinfer_SPRunrooted,tsinfer_edges,tsinfer_memory,tsinfer_KCrooted,ARGweaver_pathunrooted,ARGweaver_wRFunrooted,ARGweaver_wRFrooted,ARGweaver_TSfilesize,ARGweaver_SPRunrooted,ARGweaver_RFunrooted,ARGweaver_iterations,ARGweaver_cputime,ARGweaver_RFrooted,ARGweaver_edgesets,ARGweaver_edges,ARGweaver_memory,ARGweaver_KCrooted
0,10,5000,10000,2.5e-08,1.5e-08,0.0,224899943,True,True,True,True,6.305459587350841,1.615996519928,17010.086038109876,52048.0,17009.74658984991,4.308793039856,12.0,0.0,5.666586079711999,24.0,2064384.0,5.82321048269452,7.016291204750206,0.30000000000000004,1.9636,,6.4032,,5.1096,37543936.0,5.878594603351584,10.138463806093293,2.8571428571428568,4.0,17003.02692268007,52048.0,17002.794470940036,0.4761904761904757,3.984393039856,7.0,2.72,5.9142,,20.0,116633600.0,5.528237133666428,7.846839379163432,42755.01755470233,43073.45837238591,34768.0,1.83112,5.8557000000000015,"60,160,20,100,140,40,180,80,120,0",223.68,7.6288800000000005,32.9,65.8,28459008.0,7.209494589360642
1,10,5000,10000,2.5e-08,1.5e-08,0.01,224899943,True,True,True,True,6.305459587350841,1.615996519928,17010.086038109876,52048.0,17009.74658984991,4.308793039856,12.0,0.0,5.666586079711999,24.0,2064384.0,5.82321048269452,7.016291204750207,0.29000000000000004,1.9636,,6.4032,,5.1096,37847040.0,5.8785946033515835,10.346223422149867,2.8,3.0,17004.0870692,52048.0,17003.7471192,0.1999999999999993,4.5142,5.0,2.7,6.874,,14.0,116879360.0,5.875533943392062,7.846839379163432,42755.01755470233,43073.45837238591,34768.0,1.83112,5.8557000000000015,"80,0,160,140,60,120,20,180,100,40",227.77,7.6288800000000005,32.9,65.8,28467200.0,7.209494589360642
2,10,5000,10000,2.5e-08,1.5e-08,0.1,224899943,True,True,True,True,10.536841521107778,2.645399832073,17016.624245111998,52048.0,17015.915044776146,8.69260662429,15.0,0.0,11.401806960144,30.0,2015232.0,9.598357397474288,9.583140172871774,0.28,2.9245,,10.7104,,8.7104,37797888.0,7.6324514734432,12.595013143077288,2.8,4.0,17003.8785192,52048.0,17003.3785192,0.6999999999999993,5.105,5.0,2.55,7.105,,14.0,117116928.0,6.182859118555848,11.140969336707435,52833.50498490794,53486.812773183476,34768.0,2.7902099999999996,9.96284,"140,20,40,80,60,160,120,180,100,0",229.03,12.1824,41.5,83.0,32628736.0,9.865531108636317
3,50,5000,10000,2.5e-08,1.5e-08,0.0,1149664692,True,True,True,True,99.20782571564324,15.0386720820085,28259.04598455333,54096.0,28258.41486232102,62.877739868386,83.0,0.0,65.13258806600601,166.0,2088960.0,51.99031801898422,86.46711140263616,3.57,13.8149,,56.5754,,55.69300000000001,125485056.0,50.488630243601094,193.7575802915449,5.6,15.0,28151.994638693315,52048.0,28151.91848892625,15.627586206896556,43.28183193674501,30.0,2.42,44.070648720234004,,168.0,116895744.0,38.773769786349504,96.6918899857172,105675.27639073056,106952.16991893806,36816.0,15.991179999999998,66.90132,"0,160,80,40,20,100,120,140,180,60",729.25,67.83618,103.4,206.8,66322432.0,47.24691854161964
4,50,5000,10000,2.5e-08,1.5e-08,0.01,1149664692,True,True,True,True,104.89164295050307,16.9929326993925,28285.13037917016,54096.0,28284.72460401131,68.384059036214,92.0,0.0,70.638907233834,184.0,2088960.0,59.09281909126856,99.70084667475471,2.7,14.9604,,63.7214,,62.1018,110919680.0,57.11787763092504,195.68507342612816,5.56,17.0,28163.144152008055,52048.0,28162.99910177512,26.506666666666664,44.361044970503,25.0,2.43,45.204581093911,,139.0,117149696.0,43.58755274194965,110.1167517814489,109865.15111362748,111300.42590300256,37020.8,17.06815,71.01264,"160,180,120,60,20,100,40,140,80,0",753.43,72.2558,120.3,240.6,68562944.0,56.116358705879726
5,50,5000,10000,2.5e-08,1.5e-08,0.1,1149664692,True,True,True,True,136.47415612550563,19.150801920926998,28326.687907212545,56144.0,28326.29493903262,79.740100772782,130.0,0.0,81.858157732723,260.0,2064384.0,77.89847753549302,143.63522407131646,3.29,19.95355,,81.1867,,79.9269,115949568.0,99.20538697332188,192.80797135965508,5.16,15.0,28161.197068734837,52048.0,28161.051768967765,10.89,52.989832177896005,25.0,2.23,53.736831712029,,129.0,117518336.0,44.69916524123053,125.8706095614565,112043.00705432896,112768.09013702914,38864.0,19.06861,80.98635999999998,"20,100,140,80,160,120,40,180,0,60",829.55,82.53204000000002,147.5,295.0,57802752.0,66.29358994530115
6,10,5000,10000,2.5e-08,5.9716075583e-08,0.0,374463919,True,True,True,True,6.340097842664332,1.7685,13636.162602947488,52048.0,13635.91279169363,4.649608926847,15.0,0.0,5.805208926847,30.0,2015232.0,4.653605487590158,7.833778868481496,1.05,2.1783,,6.4611,,5.5546,56098816.0,5.715225643326064,10.4473277386451,2.4545454545454546,3.0,13617.877182089323,52048.0,13616.927932089326,0.2727272727272734,4.1569597148150015,11.0,2.9000000000000004,5.318778318367,,27.0,116994048.0,5.109817884225981,7.331803462833912,43275.39758068676,43431.805179485134,34768.0,1.96449,5.40878,"120,0,40,60,100,140,160,20,180,80",207.47,6.36246,34.2,68.4,25374720.0,5.5990826206507815
7,10,5000,10000,2.5e-08,5.9716075583e-08,0.01,374463919,True,True,True,True,6.310497810463843,1.7979034806,13635.263529351738,52048.0,13634.106574301606,4.490219368647,20.0,0.0,6.658015888047,40.0,2019328.0,7.326509419203919,9.263377027566973,1.0,2.54415,,8.8117,,7.1658,55488512.0,7.352994592468499,10.74288080886583,2.5454545454545454,3.0,13616.415064166358,52048.0,13615.518064166356,0.2727272727272734,4.0160310384310005,11.0,2.44,4.989309470539,,28.0,116658176.0,5.056409140042232,7.8211745541588,53641.53873017867,54002.216813409854,34768.0,2.3698900000000003,6.132219999999999,"180,80,160,120,40,60,20,100,140,0",210.8,7.2294,39.9,79.8,27889664.0,5.819688808558718
8,10,5000,10000,2.5e-08,5.9716075583e-08,0.1,374463919,True,True,True,True,7.047653844003086,1.662938069193,13611.819136821228,52048.0,13610.914039551568,5.244032094443,43.0,0.0,6.998594856224,86.0,2023424.0,7.087213871432825,9.027046458601399,0.8,1.85955,,7.5816,,6.8114,48926720.0,6.847572549957169,10.312770981777362,2.333333333333333,3.0,13616.834183780293,52048.0,13615.971467489153,0.2352941176470588,4.4509122629040005,18.0,2.74,5.831381545318,,42.0,116703232.0,5.739239978653584,8.260961969103054,55346.84806486948,55866.30037698495,34768.0,2.1017900000000003,6.40068,"180,20,0,80,120,140,160,40,100,60",224.08,7.508239999999999,45.8,91.6,23752704.0,6.447789271093754
9,50,5000,10000,2.5e-08,5.9716075583e-08,0.0,1749090056,True,True,True,True,184.7477479688657,14.565494794094999,19027.30320710079,54096.0,19026.758093374832,60.958169057449,64.0,0.0,62.26304488997899,128.0,2138112.0,99.52876408824574,111.32368626319807,4.94,15.3054,,58.2831,,57.0225,175255552.0,70.47969776486447,209.87060299855003,3.7142857142857135,23.0,18842.694638794525,54096.0,18841.94963812971,23.033613445378148,37.00154525705001,35.0,2.85,38.121707888876,,130.0,117645312.0,43.928410659456155,115.44925285011075,78588.55279718075,78883.52793927147,36816.0,16.909270000000006,65.89583999999999,"140,100,80,60,20,0,180,120,40,160",712.78,66.59638000000001,90.7,181.4,75046912.0,50.784849958645246
