Unnamed: 0,sample_size,Ne,length,recombination_rate,mutation_rate,error_rate,replicate,seed,aw_burnin_iters,aw_n_out_samples,aw_iter_out_freq,tsinfer_biforce_reps,RentPlus_cputime,RentPlus_memory,tsinfer_cputime,tsinfer_memory,tsinfer_mean_polytomy,tsinfer_var_polytomy,tsinfer_max_polytomy,tsibiny_RFrooted,tsibiny_RFunrooted,tsibiny_wRFrooted,tsibiny_wRFunrooted,tsibiny_SPRunrooted,tsibiny_pathunrooted,tsibiny_KCrooted,tsipoly_RFrooted,tsipoly_RFunrooted,tsipoly_wRFrooted,tsipoly_wRFunrooted,tsipoly_SPRunrooted,tsipoly_pathunrooted,tsipoly_KCrooted,Aweaver_RFrooted,Aweaver_RFunrooted,Aweaver_wRFrooted,Aweaver_wRFunrooted,Aweaver_SPRunrooted,Aweaver_pathunrooted,Aweaver_KCrooted,RentPls_RFrooted,RentPls_RFunrooted,RentPls_wRFrooted,RentPls_wRFunrooted,RentPls_SPRunrooted,RentPls_pathunrooted,RentPls_KCrooted,fastARG_RFrooted,fastARG_RFunrooted,fastARG_wRFrooted,fastARG_wRFunrooted,fastARG_SPRunrooted,fastARG_pathunrooted,fastARG_KCrooted,RentPlus_SPRunrooted,RentPlus_pathunrooted,RentPlus_wRFrooted,RentPlus_crecords,RentPlus_wRFunrooted,RentPlus_RFunrooted,RentPlus_KCrooted,RentPlus_RFrooted,tsinfer_wRFrooted,tsinfer_SPRunrooted,tsinfer_pathunrooted,tsinfer_wRFunrooted,tsinfer_RFunrooted,tsinfer_crecords,tsinfer_KCrooted,tsinfer_RFrooted
0,10,5000,5000,2.5e-08,1.5e-08,0.0,0,224899943,5000,100,10,20,0.17,37359616.0,1.4700000000000002,116187136.0,4.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9244,13.39633561216736,,,,12.4092,10.059016783732739,13.842,,,21.76476179613536,,,,7.552125479956754,
1,10,5000,5000,2.5e-08,1.5e-08,0.01,0,224899943,5000,100,10,20,0.23,37568512.0,1.4700000000000002,115965952.0,4.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9244,13.39633561216736,,,,12.4092,10.059016783732739,13.842,,,21.76476179613536,,,,7.552125479956754,
2,10,5000,5000,2.5e-08,1.5e-08,0.1,0,224899943,5000,100,10,20,0.21,37126144.0,1.4,116629504.0,4.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9244,13.39633561216736,,,,12.4092,10.059016783732739,13.842,,,21.76476179613536,,,,7.552125479956754,
3,20,5000,5000,2.5e-08,1.5e-08,0.0,0,1149664692,5000,100,10,20,0.6900000000000001,45682688.0,1.58,116011008.0,3.3157894736842106,1.0058479532163744,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6062,19.997666713805817,,,,13.9714,14.1686096065343,15.3796,,,42.889588785319965,,,,15.695177005578573,
4,20,5000,5000,2.5e-08,1.5e-08,0.01,0,1149664692,5000,100,10,20,0.65,47214592.0,1.4300000000000002,116039680.0,3.1666666666666665,1.060606060606061,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7422,24.650712057830834,,,,16.5674,13.766298323728757,17.9362,,,42.043535082075046,,,,15.475109970507093,
5,20,5000,5000,2.5e-08,1.5e-08,0.1,0,1149664692,5000,100,10,20,0.65,47738880.0,1.29,115986432.0,3.4375,1.9958333333333331,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6054,30.286040516023387,,,,19.7626,19.343022478679263,21.1152,,,46.947979964408134,,,,19.062158224745353,
6,10,5000,5000,2.5e-08,5.9716075583e-08,0.0,0,374463919,5000,100,10,20,0.41,44109824.0,1.57,116027392.0,3.333333333333333,1.75,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8531,9.466908033039823,,,,8.31,8.81071425958334,9.606,,,16.561406701716773,,,,5.780391678080952,
7,10,5000,5000,2.5e-08,5.9716075583e-08,0.01,0,374463919,5000,100,10,20,0.42,44593152.0,1.49,116867072.0,3.25,2.25,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8531,9.466908033039823,,,,8.31,8.81071425958334,9.606,,,17.263372334751725,,,,6.2664444972290525,
8,10,5000,5000,2.5e-08,5.9716075583e-08,0.1,0,374463919,5000,100,10,20,0.4300000000000001,43347968.0,1.5499999999999998,115568640.0,2.4166666666666665,0.4469696969696974,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1826,12.42970296511226,,,,11.1154,7.4572549114957365,11.9844,,,10.489698103683443,,,,5.402848709327362,
9,20,5000,5000,2.5e-08,5.9716075583e-08,0.0,0,1749090056,5000,100,10,20,1.19,78745600.0,1.56,116686848.0,2.6666666666666665,1.4117647058823528,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9835,26.825741327411595,,,,14.436,20.67127678591689,15.669,,,40.10588441314189,,,,21.50959071162989,
10,20,5000,5000,2.5e-08,5.9716075583e-08,0.01,0,1749090056,5000,100,10,20,1.13,75939840.0,1.5,116068352.0,2.6666666666666665,1.2941176470588236,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.635,26.900486805288523,,,,16.534000000000002,22.00390221944721,17.9014,,,36.770108850846725,,,,17.84303744578079,
11,20,5000,5000,2.5e-08,5.9716075583e-08,0.1,0,1749090056,5000,100,10,20,1.1900000000000002,69959680.0,1.56,115621888.0,2.7857142857142856,1.507936507936508,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9586,33.64419888204174,,,,22.398000000000003,23.84943646761577,23.7658,,,44.72139603481824,,,,22.3025967797156,
12,10,5000,5000,2.5e-08,2.37733978869e-07,0.0,0,1144839924,5000,100,10,20,1.25,69967872.0,1.52,117104640.0,2.142857142857143,0.1318681318681314,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.543,2.5530707477930714,,,,1.3532,5.060802135869811,2.8136,,,6.157097210241807,,,,3.019120997769741,
13,10,5000,5000,2.5e-08,2.37733978869e-07,0.01,0,1144839924,5000,100,10,20,1.04,61767680.0,1.49,116641792.0,2.1666666666666665,0.1515151515151513,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1661,5.564048681104272,,,,3.0766,5.551167129756184,3.9884,,,7.540010363332017,,,,5.741367071576056,
14,10,5000,5000,2.5e-08,2.37733978869e-07,0.1,0,1144839924,5000,100,10,20,1.18,63336448.0,1.4600000000000002,116850688.0,2.3055555555555554,0.2753968253968253,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.315,8.373740704795786,,,,6.7948,6.354065013345691,7.2126,,,7.4102469594176394,,,,5.118358072617729,
15,20,5000,5000,2.5e-08,2.37733978869e-07,0.0,0,462568971,5000,100,10,20,2.5,128430080.0,1.4500000000000002,117035008.0,2.4,0.4166666666666667,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8143,11.891980814785654,,,,6.8534,10.561769375974563,8.3066,,,19.433077739476786,,,,9.8844719813434,
16,20,5000,5000,2.5e-08,2.37733978869e-07,0.01,0,462568971,5000,100,10,20,2.2,119857152.0,1.4300000000000002,116137984.0,2.4516129032258065,0.5225806451612907,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3738,15.966233778937895,,,,9.4976,13.278187163629159,11.1384,,,21.877887510800218,,,,9.90660581227767,
