,Ne,length,sample_size,recombination_rate,mutation_rate,error_param,tool,averaging,polytomies,rooting,metric,treedist_mean,treedist_se
0,5000,100000,200,1e-08,4.999999999999999e-09,0,argentum,per site,broken,rooted,KC,327.92363511307144,16.56616287117734
1,5000,100000,200,1e-08,4.999999999999999e-09,0,argentum,per site,broken,rooted,RF,324.26894065742425,1.5059500995452189
3,5000,100000,200,1e-08,4.999999999999999e-09,0,argentum,per site,broken,unrooted,RF,322.41864968674884,1.5003049128336599
4,5000,100000,200,1e-08,4.999999999999999e-09,0,argentum,per site,broken,unrooted,SPR,71.08684169113253,0.48440091715594236
5,5000,100000,200,1e-08,4.999999999999999e-09,0,argentum,per site,broken,unrooted,path,726.541537342157,20.90354319844929
7,5000,100000,200,1e-08,4.999999999999999e-09,0,argentum,per site,retained,rooted,KC,240.44975613806946,6.411714754004014
11,5000,100000,200,1e-08,4.999999999999999e-09,0,argentum,per site,retained,unrooted,path,1108.141632181541,35.58434654815371
13,5000,100000,200,1e-08,4.999999999999999e-09,0,tsinfer,per site,broken,rooted,KC,453.0352273790592,33.26078987558661
14,5000,100000,200,1e-08,4.999999999999999e-09,0,tsinfer,per site,broken,rooted,RF,335.2896872698515,1.806056272522191
16,5000,100000,200,1e-08,4.999999999999999e-09,0,tsinfer,per site,broken,unrooted,RF,333.54122811098915,1.8139372336958524
17,5000,100000,200,1e-08,4.999999999999999e-09,0,tsinfer,per site,broken,unrooted,SPR,75.07346602755716,0.4829427458521618
18,5000,100000,200,1e-08,4.999999999999999e-09,0,tsinfer,per site,broken,unrooted,path,869.8324691691566,24.870468487616233
20,5000,100000,200,1e-08,4.999999999999999e-09,0,tsinfer,per site,retained,rooted,KC,252.96849154643905,7.110064801275223
24,5000,100000,200,1e-08,4.999999999999999e-09,0,tsinfer,per site,retained,unrooted,path,1292.481121798785,19.839629238500457
26,5000,100000,200,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,argentum,per site,broken,rooted,KC,370.0323192566993,9.733296492746426
27,5000,100000,200,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,argentum,per site,broken,rooted,RF,342.6355171788471,1.4136026645383102
29,5000,100000,200,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,argentum,per site,broken,unrooted,RF,340.695493704187,1.4153244137575371
30,5000,100000,200,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,argentum,per site,broken,unrooted,SPR,76.85643960474106,0.4371766245236675
31,5000,100000,200,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,argentum,per site,broken,unrooted,path,835.2457864406261,15.220325003715766
33,5000,100000,200,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,argentum,per site,retained,rooted,KC,255.95927164171206,4.133747531803822
37,5000,100000,200,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,argentum,per site,retained,unrooted,path,1145.6818447618743,24.706954373800045
39,5000,100000,200,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,rooted,KC,499.52323222861725,20.08369213796803
40,5000,100000,200,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,rooted,RF,353.2544656393741,1.596522830019043
42,5000,100000,200,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,RF,351.4096475054482,1.5921994805116833
43,5000,100000,200,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,SPR,79.54771301781528,0.5128781890449111
