,Ne,length,sample_size,recombination_rate,mutation_rate,tool,prop_nodes_with_mutation_mean,prop_nodes_with_mutation_se
0,5000,5000000,50000,5e-09,1e-08,tsinfer,0.08479073235986202,0.00027543027450590104
1,5000,5000000,50000,1e-08,1e-08,tsinfer,0.0898733883560543,0.0004470020001367929
2,5000,5000000,50000,2e-08,1e-08,tsinfer,0.09379395970898095,0.00026869061940852033
3,5000,10000000,50000,5e-09,1e-08,tsinfer,0.13925144819610172,0.00046487289142293196
4,5000,10000000,50000,1e-08,1e-08,tsinfer,0.1452401681846303,0.00047277305278644574
5,5000,10000000,50000,2e-08,1e-08,tsinfer,0.14432694326984086,0.0002329271917164811
6,5000,15000000,50000,5e-09,1e-08,tsinfer,0.1815607528953286,0.0009263489993661806
7,5000,15000000,50000,1e-08,1e-08,tsinfer,0.186693686880746,0.0004268131089004788
8,5000,15000000,50000,2e-08,1e-08,tsinfer,0.17670812664632418,0.0004639463820263767
9,5000,20000000,50000,5e-09,1e-08,tsinfer,0.21640340107723768,0.0004421982531007124
10,5000,20000000,50000,1e-08,1e-08,tsinfer,0.21843417703160667,0.0005458074835158509
11,5000,20000000,50000,2e-08,1e-08,tsinfer,0.2005415099860155,0.0003343085815351216
12,5000,25000000,50000,5e-09,1e-08,tsinfer,0.2444178203933197,0.0005816299071374056
13,5000,25000000,50000,1e-08,1e-08,tsinfer,0.24182773294304521,0.00023633076630851646
14,5000,25000000,50000,2e-08,1e-08,tsinfer,0.21866774198741976,0.00030382334416914175
15,5000,30000000,50000,5e-09,1e-08,tsinfer,0.26906062540257386,0.0003159172327687698
16,5000,30000000,50000,1e-08,1e-08,tsinfer,0.2626352384568261,0.00039396381703295393
17,5000,30000000,50000,2e-08,1e-08,tsinfer,0.2321789031146278,0.00029734329674535815
18,5000,35000000,50000,5e-09,1e-08,tsinfer,0.2915685835866638,0.0005440220619633992
19,5000,35000000,50000,1e-08,1e-08,tsinfer,0.27951691185285976,0.00046212134518420643
20,5000,35000000,50000,2e-08,1e-08,tsinfer,0.2434753660734159,0.0003537346506669199
21,5000,40000000,50000,5e-09,1e-08,tsinfer,0.30897633351702913,0.0006688100796005446
22,5000,40000000,50000,1e-08,1e-08,tsinfer,0.29386121999125125,0.0005253766883817606
23,5000,40000000,50000,2e-08,1e-08,tsinfer,0.2517810960396419,0.00046318852601508583
24,5000,45000000,50000,5e-09,1e-08,tsinfer,0.32593369909436887,0.0003439007677058141
25,5000,45000000,50000,1e-08,1e-08,tsinfer,0.30516696856267206,0.00035935964996256946
26,5000,45000000,50000,2e-08,1e-08,tsinfer,0.2597866414095802,0.00031935245322909647
27,5000,50000000,5000,5e-09,1e-08,tsinfer,0.5216809540125165,0.0007480337725178948
28,5000,50000000,5000,1e-08,1e-08,tsinfer,0.42709906328529534,0.0003922195363482425
29,5000,50000000,5000,2e-08,1e-08,tsinfer,0.3247163508133159,0.00040750542577708683
30,5000,50000000,10000,5e-09,1e-08,tsinfer,0.4962793808904715,0.0006702253112940044
31,5000,50000000,10000,1e-08,1e-08,tsinfer,0.4124445929544792,0.0005165344399278115
32,5000,50000000,10000,2e-08,1e-08,tsinfer,0.3175835701843237,0.00029699314156844084
33,5000,50000000,15000,5e-09,1e-08,tsinfer,0.46889677429525767,0.0006154037506526924
34,5000,50000000,15000,1e-08,1e-08,tsinfer,0.39733015004809313,0.0005878325133816578
35,5000,50000000,15000,2e-08,1e-08,tsinfer,0.3098587748820129,0.0003535074845620732
36,5000,50000000,20000,5e-09,1e-08,tsinfer,0.4440083641660274,0.00042719898463990634
37,5000,50000000,20000,1e-08,1e-08,tsinfer,0.38433497186420507,0.00041992677011304125
38,5000,50000000,20000,2e-08,1e-08,tsinfer,0.3035566434566746,0.00021231460108749097
39,5000,50000000,25000,5e-09,1e-08,tsinfer,0.42281338026401316,0.0006227534195570796
40,5000,50000000,25000,1e-08,1e-08,tsinfer,0.369887737190465,0.0004851752550973255
41,5000,50000000,25000,2e-08,1e-08,tsinfer,0.2960921742650099,0.00027579829411588784
42,5000,50000000,30000,5e-09,1e-08,tsinfer,0.4033857375442883,0.0005586239024694175
43,5000,50000000,30000,1e-08,1e-08,tsinfer,0.3595482581547495,0.0005330593505961051
44,5000,50000000,30000,2e-08,1e-08,tsinfer,0.2895522833276516,0.00037242558351889804
45,5000,50000000,35000,5e-09,1e-08,tsinfer,0.38530844699079847,0.0006600079384555172
46,5000,50000000,35000,1e-08,1e-08,tsinfer,0.34678537630545053,0.0003862293336140276
47,5000,50000000,35000,2e-08,1e-08,tsinfer,0.28354263167729765,0.00022831361202438054
48,5000,50000000,40000,5e-09,1e-08,tsinfer,0.36850911119252916,0.0006876858296131116
49,5000,50000000,40000,1e-08,1e-08,tsinfer,0.33641160465927455,0.0003884781795709637
50,5000,50000000,40000,2e-08,1e-08,tsinfer,0.27713086311191926,0.0002610614013241603
51,5000,50000000,45000,5e-09,1e-08,tsinfer,0.35425128688913327,0.0005542618322638223
52,5000,50000000,45000,1e-08,1e-08,tsinfer,0.3268089879219579,0.0003971348387050718
53,5000,50000000,45000,2e-08,1e-08,tsinfer,0.2713918129252336,0.00034109386694436845
54,5000,50000000,50000,5e-09,1e-08,tsinfer,0.34084003382760286,0.0003617879460567698
55,5000,50000000,50000,1e-08,1e-08,tsinfer,0.3169814646962455,0.00028618869068976194
56,5000,50000000,50000,2e-08,1e-08,tsinfer,0.26613238100479675,0.0002483942107256787
57,5000,50000000,55000,5e-09,1e-08,tsinfer,0.3283068920076403,0.0004046389665214702
58,5000,50000000,55000,1e-08,1e-08,tsinfer,0.30865912652039046,0.0004018315932016456
59,5000,50000000,55000,2e-08,1e-08,tsinfer,0.261327226847094,0.0003175776345757375
60,5000,50000000,60000,5e-09,1e-08,tsinfer,0.31794684394828077,0.0003434061972112974
61,5000,50000000,60000,1e-08,1e-08,tsinfer,0.3000231956569456,0.0002507593806861083
62,5000,50000000,60000,2e-08,1e-08,tsinfer,0.25606610331485263,0.00046288145943994345
63,5000,50000000,65000,5e-09,1e-08,tsinfer,0.3062519571888839,0.0006275773173977017
64,5000,50000000,65000,1e-08,1e-08,tsinfer,0.29199406409319706,0.0003574954285539257
65,5000,50000000,65000,2e-08,1e-08,tsinfer,0.25141744388778253,0.0003774653263855067
66,5000,50000000,70000,5e-09,1e-08,tsinfer,0.29703127541099433,0.0003856585697340768
67,5000,50000000,70000,1e-08,1e-08,tsinfer,0.2849775913446163,0.00032542486466804766
68,5000,50000000,70000,2e-08,1e-08,tsinfer,0.24706973911031058,0.00024205036092969566
69,5000,50000000,75000,5e-09,1e-08,tsinfer,0.28764388564677557,0.0003515491430264527
70,5000,50000000,75000,1e-08,1e-08,tsinfer,0.2775651455454837,0.0004924062587886778
71,5000,50000000,75000,2e-08,1e-08,tsinfer,0.24214674165570246,0.00031664474922579267
72,5000,50000000,80000,5e-09,1e-08,tsinfer,0.2791382809697886,0.00032556854930150926
73,5000,50000000,80000,1e-08,1e-08,tsinfer,0.2712458914114582,0.00037704876202505303
74,5000,50000000,80000,2e-08,1e-08,tsinfer,0.2385081118232269,0.00017521288237908525
75,5000,50000000,85000,5e-09,1e-08,tsinfer,0.2715006453263837,0.0005100236925546993
76,5000,50000000,85000,1e-08,1e-08,tsinfer,0.2643618282973692,0.0002665383582335288
77,5000,50000000,85000,2e-08,1e-08,tsinfer,0.23455436704730764,0.00034976453810901104
78,5000,50000000,90000,5e-09,1e-08,tsinfer,0.26388091728890517,0.0003290456909904803
79,5000,50000000,90000,1e-08,1e-08,tsinfer,0.2591577927279493,0.0003656326395261806
80,5000,50000000,90000,2e-08,1e-08,tsinfer,0.23111254181216007,0.00022425594046891333
81,5000,50000000,95000,5e-09,1e-08,tsinfer,0.2567365239358491,0.00029686567720904687
82,5000,50000000,95000,1e-08,1e-08,tsinfer,0.25337417469862894,0.00033077730258960244
83,5000,50000000,95000,2e-08,1e-08,tsinfer,0.2265598502759246,0.0002568643834379485
84,5000,50000000,100000,5e-09,1e-08,tsinfer,0.24997308540653945,0.00022851687231368359
85,5000,50000000,100000,1e-08,1e-08,tsinfer,0.24810872130837597,0.00033059668955957134
86,5000,50000000,100000,2e-08,1e-08,tsinfer,0.22335051239937465,0.0003945846189763288
87,5000,55000000,50000,5e-09,1e-08,tsinfer,0.35416126796065084,0.0003724235257989729
88,5000,55000000,50000,1e-08,1e-08,tsinfer,0.32593214200485593,0.0004623848490185405
89,5000,55000000,50000,2e-08,1e-08,tsinfer,0.2714910552194101,0.0002266421919377907
90,5000,60000000,50000,5e-09,1e-08,tsinfer,0.36522767198051337,0.00044299818257665627
91,5000,60000000,50000,1e-08,1e-08,tsinfer,0.3347971092127664,0.0003093099527193693
92,5000,60000000,50000,2e-08,1e-08,tsinfer,0.27643952820982476,0.00038555318904510456
93,5000,65000000,50000,5e-09,1e-08,tsinfer,0.3772450775817131,0.00050771893722895
94,5000,65000000,50000,1e-08,1e-08,tsinfer,0.3420771005579565,0.0003951484759129482
95,5000,65000000,50000,2e-08,1e-08,tsinfer,0.2801122869321627,0.00034004813763581563
96,5000,70000000,50000,5e-09,1e-08,tsinfer,0.3857899460133617,0.00042922297101718825
97,5000,70000000,50000,1e-08,1e-08,tsinfer,0.34815907859895934,0.0004132556287593465
98,5000,70000000,50000,2e-08,1e-08,tsinfer,0.2843639094673249,0.0002141427249543262
99,5000,75000000,50000,5e-09,1e-08,tsinfer,0.39411329925219374,0.00041223936685035934
100,5000,75000000,50000,1e-08,1e-08,tsinfer,0.3536224713848762,0.00039366337911262453
101,5000,75000000,50000,2e-08,1e-08,tsinfer,0.2877605371601713,0.00023443841669957397
102,5000,80000000,50000,5e-09,1e-08,tsinfer,0.40196172118331636,0.0004403141422692428
103,5000,80000000,50000,1e-08,1e-08,tsinfer,0.35887849077150147,0.0004840660280936634
104,5000,80000000,50000,2e-08,1e-08,tsinfer,0.29075910447941505,0.00021951276696446895
105,5000,85000000,50000,5e-09,1e-08,tsinfer,0.41038972392411815,0.00040034718948449267
106,5000,85000000,50000,1e-08,1e-08,tsinfer,0.36432935929485094,0.00021553558978631664
107,5000,85000000,50000,2e-08,1e-08,tsinfer,0.29332358521485513,0.0003012434853841507
108,5000,90000000,50000,5e-09,1e-08,tsinfer,0.41632019068934073,0.00031394035690026874
109,5000,90000000,50000,1e-08,1e-08,tsinfer,0.3674483994234675,0.00020486940246187374
110,5000,90000000,50000,2e-08,1e-08,tsinfer,0.2959176485090428,0.0001723724114908731
111,5000,95000000,50000,5e-09,1e-08,tsinfer,0.42295370239782104,0.0005508783828161158
112,5000,95000000,50000,1e-08,1e-08,tsinfer,0.3724067154580522,0.00036147886038617467
113,5000,95000000,50000,2e-08,1e-08,tsinfer,0.29771764469810036,0.00018592256261730283
114,5000,100000000,50000,5e-09,1e-08,tsinfer,0.42869691197303944,0.0004674941598121138
115,5000,100000000,50000,1e-08,1e-08,tsinfer,0.3755360251264354,0.0002809033120096203
116,5000,100000000,50000,2e-08,1e-08,tsinfer,0.30000393771209743,0.0002929104853776151
