Unnamed: 0,replicate,sample_size,Ne,length,recombination_rate,mutation_rate,error_rate,edges,n_trees,seed,fastARG_completed,tsinfer_completed,fastARG_memory,fastARG_cputime,fastARG_edges,fastARG_ts_filesize,tsinfer_mean_polytomy,tsinfer_var_polytomy,tsinfer_ts_filesize,tsinfer_memory,tsinfer_max_polytomy,tsinfer_edges,tsinfer_cputime
0,0,10,5000,5000000,2.5e-08,2.5e-08,0,17905,5738,927456910,True,True,2457600.0,0.91,5509.0,332235.0,4.257683215130022,2148.5116135450376,346797.0,121827328.0,1904.0,7204.0,3.25
1,0,1062,5000,5000000,2.5e-08,2.5e-08,0,66511,17398,1507136756,True,True,152137728.0,111.31,75473.0,2429091.0,5.234370311093328,3711.363996234981,1695181.0,743743488.0,6082.0,52328.0,114.32
2,0,2114,5000,5000000,2.5e-08,2.5e-08,0,74087,18774,1579931581,True,True,324431872.0,388.6,88745.0,2818167.0,5.476740025049204,3470.047633960145,1946927.0,878014464.0,6213.0,61219.0,179.21
3,0,3166,5000,5000000,2.5e-08,2.5e-08,0,80103,19732,1170463315,True,True,707158016.0,881.76,98454.0,3106595.0,5.590401968826908,3237.797857016435,2160116.0,1022455808.0,6264.0,68147.0,280.83
4,0,4218,5000,5000000,2.5e-08,2.5e-08,0,85896,20703,521651904,True,True,909389824.0,1675.61,105280.0,3335610.0,5.7190562044367805,3446.352833537407,2316288.0,1059557376.0,6611.0,72958.0,388.55
5,0,5270,5000,5000000,2.5e-08,2.5e-08,0,90582,21270,752361679,True,True,1453965312.0,2785.92,112794.0,3570472.0,5.794883170659567,3403.029651428233,2468782.0,1153732608.0,6761.0,78370.0,473.66
6,0,6322,5000,5000000,2.5e-08,2.5e-08,0,93861,21619,218920742,True,True,1459150848.0,4043.74,118178.0,3726443.0,5.935349854227406,3339.5718407668132,2553056.0,1232953344.0,6743.0,81433.0,524.69
7,0,7374,5000,5000000,2.5e-08,2.5e-08,0,96858,21766,933863536,True,True,2416467968.0,6264.45,122651.0,3859708.0,5.993400042580371,3414.3459219504625,2637788.0,1321119744.0,6910.0,84453.0,697.4499999999998
8,0,8426,5000,5000000,2.5e-08,2.5e-08,0,101961,22495,645671667,True,True,3572580352.0,7612.69,130039.0,4084383.0,6.0567308988007005,3345.8435677525404,2795656.0,1831759872.0,7017.0,89894.0,732.96
9,0,9478,5000,5000000,2.5e-08,2.5e-08,0,104926,22746,1079358312,True,True,4052000768.0,9971.730000000001,134733.0,4256804.0,6.187567204301074,3166.0264448879584,2858276.0,1883598848.0,6828.0,92071.0,865.2
10,0,10000,5000,500000,2.5e-08,2.5e-08,0,28644,2274,360934447,True,True,3218567168.0,1565.16,30665.0,1019855.0,10.543182814555019,643.7395863624579,759844.0,301531136.0,822.0,24049.0,43.86
11,0,10000,5000,1000000,2.5e-08,2.5e-08,0,37384,4611,366102318,True,True,3370405888.0,2890.52,42842.0,1394857.0,7.933852140077821,658.107492164908,1018429.0,406323200.0,1470.0,32624.0,115.17
12,0,10000,5000,1500000,2.5e-08,2.5e-08,0,45624,6779,1774066562,True,True,3200278528.0,4101.33,54211.0,1733680.0,7.384672897196263,877.9918398462747,1229781.0,494649344.0,2064.0,39508.0,195.66
13,0,10000,5000,2000000,2.5e-08,2.5e-08,0,54558,9142,836271860,True,True,3598954496.0,5347.32,65446.0,2079003.0,6.786744750749892,1327.0867890176935,1483384.0,762814464.0,2988.0,47514.0,292.02
14,0,10000,5000,2500000,2.5e-08,2.5e-08,0,61833,11106,454479215,True,True,3597770752.0,6385.67,75740.0,2417342.0,6.547771469984298,1605.10241048238,1691199.0,967475200.0,3593.0,54209.0,357.99
15,0,10000,5000,3000000,2.5e-08,2.5e-08,0,70561,13415,144813374,True,True,3859537920.0,7479.95,86989.0,2761779.0,6.421354166666666,1939.4215231662333,1917512.0,1040281600.0,4269.0,61645.0,451.66
16,0,10000,5000,3500000,2.5e-08,2.5e-08,0,79389,15725,1533646470,True,True,4062498816.0,8434.4,99899.0,3156781.0,6.282729058760491,2199.691273423822,2199736.0,1125056512.0,4921.0,70354.0,584.46
17,0,10000,5000,4000000,2.5e-08,2.5e-08,0,89179,18316,726852578,True,True,3899969536.0,9678.8,112223.0,3548022.0,6.237742393189343,2576.910528846141,2464455.0,1504243712.0,5682.0,79132.0,687.27
18,0,10000,5000,4500000,2.5e-08,2.5e-08,0,98188,20725,66307413,True,True,4068036608.0,11548.38,124568.0,3929629.0,6.16364150010594,2914.437166653313,2717163.0,1634594816.0,6389.0,87271.0,779.23
19,0,10000,5000,5000000,2.5e-08,2.5e-08,0,105126,22560,361009219,True,True,4340133888.0,10927.050000000001,135140.0,4277576.0,6.122992557775167,3223.917631676534,2910793.0,1924231168.0,6993.0,93792.0,914.73
20,0,10000,5000,5500000,2.5e-08,2.5e-08,0,113851,24871,1262916283,True,True,4520869888.0,15106.92,146783.0,4644895.0,6.09233897494169,3836.638205168512,3174418.0,2070007808.0,7980.0,101870.0,1112.6
21,0,10000,5000,6000000,2.5e-08,2.5e-08,0,122958,27251,588512986,True,True,4615245824.0,15927.4,158994.0,5012900.0,6.1027340052341446,4026.8094802472506,3404434.0,2525347840.0,8474.0,109599.0,1149.79
22,0,10000,5000,6500000,2.5e-08,2.5e-08,0,131412,29434,381249369,True,True,4627324928.0,14550.48,172212.0,5414765.0,6.084051948051948,4352.150026179121,3636612.0,2667712512.0,9122.0,117118.0,1169.6699999999996
23,0,10000,5000,7000000,2.5e-08,2.5e-08,0,139354,31680,1449942602,True,True,4854013952.0,21086.19,180373.0,5692774.0,6.067994337872799,4601.716419382405,3871404.0,2810396672.0,9680.0,124315.0,1334.07
24,0,10000,5000,7500000,2.5e-08,2.5e-08,0,148886,34213,18522716,True,True,5159178240.0,16923.19,192810.0,6112398.0,5.987466988944094,5306.945190043281,4196121.0,3679084544.0,10863.0,133766.0,1431.26
25,0,10000,5000,8000000,2.5e-08,2.5e-08,0,157098,36260,984897389,True,True,3737280512.0,19129.95,204204.0,6462137.0,6.026370458303303,5569.513528535844,4469180.0,3829444608.0,11435.0,142144.0,1681.25
26,0,10000,5000,8500000,2.5e-08,2.5e-08,0,167407,39119,1380367988,True,True,5338472448.0,24470.83,218135.0,6885052.0,6.004685922035952,5757.823124881156,4677281.0,3985702912.0,11912.0,148646.0,1739.5
27,0,10000,5000,9000000,2.5e-08,2.5e-08,0,173908,40819,1752976264,True,True,5372473344.0,19436.88,228360.0,7244553.0,5.9545437370111465,6363.827255473858,4957169.0,4198100992.0,12952.0,157587.0,2005.64
28,0,10000,5000,9500000,2.5e-08,2.5e-08,0,181905,42885,655395985,True,True,5545132032.0,21044.11,241972.0,7650058.0,6.0036312951619415,6646.881437864571,5142604.0,4739428352.0,13435.0,163677.0,1841.24
29,0,10000,5000,10000000,2.5e-08,2.5e-08,0,191018,45300,2144194118,True,True,5673496576.0,20726.87,252651.0,7984470.0,6.005203785841513,6993.645312214432,5394561.0,5333446656.0,14124.0,171947.0,2147.140000000001
30,0,10531,5000,5000000,2.5e-08,2.5e-08,0,107058,22765,1072651494,True,True,4667498496.0,13256.49,137158.0,4345971.0,6.179882193022202,3226.2121242401176,2962680.0,1973026816.0,7025.0,95473.0,934.0
31,0,11583,5000,5000000,2.5e-08,2.5e-08,0,110148,22959,315608276,True,True,6435831808.0,16038.41,141800.0,4480766.0,6.315533046990192,3175.5111831747363,3043800.0,2017918976.0,6998.0,98516.0,1074.26
32,0,12635,5000,5000000,2.5e-08,2.5e-08,0,112757,23112,592297390,True,True,6851883008.0,19591.86,144255.0,4566702.0,6.35490553009855,3357.3676080680953,3126283.0,2092318720.0,7272.0,101240.0,1140.41
33,0,13687,5000,5000000,2.5e-08,2.5e-08,0,117269,23707,80338721,True,True,7797039104.0,32240.350000000002,150051.0,4741418.0,6.390692312359687,3335.562850081956,3256021.0,2170347520.0,7373.0,105325.0,1269.28
34,0,14739,5000,5000000,2.5e-08,2.5e-08,0,118344,23549,1552623695,True,True,8495054848.0,39283.48,152157.0,4813791.0,6.44433658921313,3185.059617716472,3289115.0,2232745984.0,7199.0,106222.0,1294.26
35,0,15791,5000,5000000,2.5e-08,2.5e-08,0,121306,23695,885691451,True,True,9282363392.0,33353.200000000004,155813.0,4953785.0,6.4731970238443965,3403.3795177010015,3427076.0,2311503872.0,7579.0,110491.0,1503.22
36,0,16843,5000,5000000,2.5e-08,2.5e-08,0,124024,23840,11059627,True,True,12472381440.0,46599.86,158001.0,5018103.0,6.5808027306967976,3279.203334383872,3461738.0,2557759488.0,7414.0,111821.0,1553.24
37,0,17895,5000,5000000,2.5e-08,2.5e-08,0,126876,24041,795109076,True,True,13347205120.0,50863.43,160457.0,5098581.0,6.614420429918585,3335.4217026703063,3500197.0,2643566592.0,7494.0,112928.0,1624.36
38,0,18947,5000,5000000,2.5e-08,2.5e-08,0,129850,24264,727215104,True,True,14269202432.0,49428.159999999996,163799.0,5207223.0,6.669972483375371,3305.7079243055946,3599158.0,2736472064.0,7539.0,116351.0,1618.94
39,0,20000,5000,5000000,2.5e-08,2.5e-08,0,133013,24559,1000499192,True,True,15104430080.0,65428.59,167295.0,5330136.0,6.6677072300574185,3237.302313551389,3704169.0,2863390720.0,7564.0,119612.0,1799.71
40,1,10,5000,5000000,2.5e-08,2.5e-08,0,17070,5533,52524892,True,True,2478080.0,0.87,4926.0,314069.0,4.318066157760814,2088.265246133028,334833.0,124346368.0,1808.0,6788.0,3.34
41,1,1062,5000,5000000,2.5e-08,2.5e-08,0,66291,17364,861773976,True,True,152678400.0,119.85,75029.0,2418860.0,5.235032602252518,3405.2621870617713,1712609.0,743981056.0,5860.0,52989.0,105.66
42,1,2114,5000,5000000,2.5e-08,2.5e-08,0,74728,18950,1735991922,True,True,344932352.0,396.32,89028.0,2826703.0,5.432954244908753,3591.5883594907227,1958388.0,884940800.0,6369.0,61626.0,196.78
43,1,3166,5000,5000000,2.5e-08,2.5e-08,0,80741,19893,15991385,True,True,710631424.0,886.6800000000003,99034.0,3129785.0,5.600260416666668,3537.163613213433,2182982.0,1033547776.0,6575.0,68816.0,291.36
44,1,4218,5000,5000000,2.5e-08,2.5e-08,0,85188,20543,1449365322,True,True,1133977600.0,1760.28,106982.0,3375258.0,5.7314618227569385,3432.7105403888268,2309792.0,1048354816.0,6585.0,72887.0,378.58
45,1,5270,5000,5000000,2.5e-08,2.5e-08,0,88870,20868,2004056872,True,True,1454104576.0,2653.22,112080.0,3538719.0,5.84624724899446,3235.291985803025,2423383.0,1132617728.0,6506.0,77036.0,436.57
46,1,6322,5000,5000000,2.5e-08,2.5e-08,0,94735,21838,60492517,True,True,1616158720.0,4026.11,118854.0,3753047.0,5.89215963770167,3358.938695958665,2607349.0,1256894464.0,6865.0,83268.0,547.5
47,1,7374,5000,5000000,2.5e-08,2.5e-08,0,97631,21976,1550636973,True,True,2534576128.0,5780.150000000002,124190.0,3903993.0,5.994645247657296,3398.062678294851,2656785.0,1324343296.0,6917.0,85082.0,668.01
48,1,8426,5000,5000000,2.5e-08,2.5e-08,0,102201,22646,1437841010,True,True,2621317120.0,8490.1,130201.0,4096946.0,6.0674142392674675,3436.433780580778,2842034.0,1852723200.0,7168.0,91442.0,769.26
