,dataset,population,region,sample,sample_edges,strand
0,sgdp,Mozabite,Africa,S_Mozabite-1,1382,0
1,sgdp,Mozabite,Africa,S_Mozabite-1,1413,1
2,sgdp,Mozabite,Africa,S_Mozabite-2,1441,0
3,sgdp,Mozabite,Africa,S_Mozabite-2,1385,1
4,sgdp,Saharawi,Africa,S_Saharawi-1,1229,0
5,sgdp,Saharawi,Africa,S_Saharawi-1,1175,1
6,sgdp,Saharawi,Africa,S_Saharawi-2,1257,0
7,sgdp,Saharawi,Africa,S_Saharawi-2,1228,1
8,sgdp,BantuHerero,Africa,S_BantuHerero-2,2061,0
9,sgdp,BantuHerero,Africa,S_BantuHerero-2,2076,1
10,sgdp,BantuHerero,Africa,S_BantuHerero-1,1720,0
11,sgdp,BantuHerero,Africa,S_BantuHerero-1,1906,1
12,sgdp,BantuTswana,Africa,S_BantuTswana-2,2114,0
13,sgdp,BantuTswana,Africa,S_BantuTswana-2,2065,1
14,sgdp,BantuTswana,Africa,S_BantuTswana-1,2463,0
15,sgdp,BantuTswana,Africa,S_BantuTswana-1,2518,1
16,sgdp,Biaka,Africa,S_Biaka-1,3102,0
17,sgdp,Biaka,Africa,S_Biaka-1,2986,1
18,sgdp,Biaka,Africa,S_Biaka-2,2830,0
19,sgdp,Biaka,Africa,S_Biaka-2,3027,1
20,sgdp,Mbuti,Africa,S_Mbuti-3,2626,0
21,sgdp,Mbuti,Africa,S_Mbuti-3,2672,1
22,sgdp,Mbuti,Africa,S_Mbuti-2,2628,0
23,sgdp,Mbuti,Africa,S_Mbuti-2,2610,1
24,sgdp,Mbuti,Africa,S_Mbuti-1,2642,0
25,sgdp,Mbuti,Africa,S_Mbuti-1,2740,1
26,sgdp,Gambian,Africa,S_Gambian-1,1944,0
27,sgdp,Gambian,Africa,S_Gambian-1,2000,1
28,sgdp,Gambian,Africa,S_Gambian-2,1973,0
29,sgdp,Gambian,Africa,S_Gambian-2,2079,1
30,sgdp,BantuKenya,Africa,S_BantuKenya-2,2154,0
31,sgdp,BantuKenya,Africa,S_BantuKenya-2,2240,1
32,sgdp,Somali,Africa,S_Somali-1,2017,0
33,sgdp,Somali,Africa,S_Somali-1,1936,1
34,sgdp,Luhya,Africa,S_Luhya-2,1949,0
35,sgdp,Luhya,Africa,S_Luhya-2,2122,1
36,sgdp,Luo,Africa,S_Luo-2,2201,0
37,sgdp,Luo,Africa,S_Luo-2,2369,1
38,sgdp,Luhya,Africa,S_Luhya-1,1895,0
39,sgdp,Luhya,Africa,S_Luhya-1,1912,1
40,sgdp,BantuKenya,Africa,S_BantuKenya-1,2295,0
41,sgdp,BantuKenya,Africa,S_BantuKenya-1,2293,1
42,sgdp,Masai,Africa,S_Masai-2,1869,0
43,sgdp,Masai,Africa,S_Masai-2,1810,1
44,sgdp,Masai,Africa,S_Masai-1,1823,0
45,sgdp,Masai,Africa,S_Masai-1,1769,1
46,sgdp,Luo,Africa,S_Luo-1,2043,0
47,sgdp,Luo,Africa,S_Luo-1,1998,1
48,sgdp,Ju_hoan_North,Africa,S_Ju_hoan_North-3,2875,0
49,sgdp,Ju_hoan_North,Africa,S_Ju_hoan_North-3,2915,1
50,sgdp,Ju_hoan_North,Africa,S_Ju_hoan_North-2,2381,0
51,sgdp,Ju_hoan_North,Africa,S_Ju_hoan_North-2,2501,1
52,sgdp,Ju_hoan_North,Africa,S_Ju_hoan_North-1,2511,0
53,sgdp,Ju_hoan_North,Africa,S_Ju_hoan_North-1,2526,1
54,sgdp,Yoruba,Africa,S_Yoruba-2,2074,0
55,sgdp,Yoruba,Africa,S_Yoruba-2,2022,1
56,sgdp,Esan,Africa,S_Esan-1,1896,0
57,sgdp,Esan,Africa,S_Esan-1,1842,1
58,sgdp,Yoruba,Africa,S_Yoruba-1,1969,0
59,sgdp,Yoruba,Africa,S_Yoruba-1,2003,1
60,sgdp,Esan,Africa,S_Esan-2,1952,0
61,sgdp,Esan,Africa,S_Esan-2,1933,1
62,sgdp,Mandenka,Africa,S_Mandenka-1,2005,0
63,sgdp,Mandenka,Africa,S_Mandenka-1,2121,1
64,sgdp,Mandenka,Africa,S_Mandenka-2,2107,0
65,sgdp,Mandenka,Africa,S_Mandenka-2,2091,1
66,sgdp,Mende,Africa,S_Mende-1,2303,0
67,sgdp,Mende,Africa,S_Mende-1,2253,1
68,sgdp,Mende,Africa,S_Mende-2,2168,0
69,sgdp,Mende,Africa,S_Mende-2,2140,1
70,sgdp,Khomani_San,Africa,S_Khomani_San-2,2911,0
71,sgdp,Khomani_San,Africa,S_Khomani_San-2,2814,1
72,sgdp,Khomani_San,Africa,S_Khomani_San-1,2930,0
73,sgdp,Khomani_San,Africa,S_Khomani_San-1,3027,1
74,sgdp,Dinka,Africa,S_Dinka-2,2110,0
75,sgdp,Dinka,Africa,S_Dinka-2,2033,1
76,sgdp,Dinka,Africa,S_Dinka-1,2042,0
77,sgdp,Dinka,Africa,S_Dinka-1,2123,1
78,sgdp,Chane,America,S_Chane-1,737,0
79,sgdp,Chane,America,S_Chane-1,711,1
80,sgdp,Surui,America,S_Surui-1,503,0
