Unnamed: 0,replicate,sample_size,Ne,length,recombination_rate,mutation_rate,error_param,edges,n_trees,n_sites,seed,subsample_size,restrict_sample_size_comparison,tsinfer_completed,tsinfer_1_RFunrooted,tsinfer_memory,tsinfer_3_wRFrooted,tsinfer_3_pathunrooted,tsinfer_3_RFunrooted,tsinfer_1_wRFrooted,tsinfer_3_SPRunrooted,tsinfer_3_wRFunrooted,tsinfer_var_polytomy,tsinfer_1_SPRunrooted,tsinfer_1_RFrooted,tsinfer_3_RFrooted,tsinfer_cputime,tsinfer_edges,tsinfer_ts_filesize,tsinfer_1_pathunrooted,tsinfer_mean_polytomy,tsinfer_1_KCrooted,tsinfer_max_polytomy,tsinfer_1_wRFunrooted,tsinfer_3_KCrooted
0,0,1000,5000,50000,1e-08,1e-08,0,2297,83,76,808716224,12,10,True,4.523809523809524,58867712.0,62547.04267135936,7.277012589349677,5.904761904761905,62547.042671359355,1.8190476190476192,62545.99505231173,0.8055555555555555,,5.190476190476191,6.59047619047619,1.02,19.0,8692.0,9.595167816148992,3.1666666666666665,6.39140755501548,4.0,62545.99505231174,7.684786402717856
1,0,1000,5000,50000,1e-08,1e-08,0,2297,83,76,808716224,50,10,True,4.238095238095238,59076608.0,62472.28076659745,7.184234426530351,6.076190476190476,62472.28076659745,1.79047619047619,62470.85219516888,0.7654320987654322,,5.0,6.942857142857143,1.21,26.0,8940.0,9.602938254346308,2.888888888888889,6.426025781737896,4.0,62470.85219516888,7.635932057989182
2,0,1000,5000,50000,1e-08,1e-08,0,2297,83,76,808716224,100,10,True,4.380952380952381,59158528.0,62438.1855117902,7.459160982179935,6.171428571428572,62438.1855117902,1.942857142857143,62435.99503559973,2.0987654320987654,,5.095238095238095,6.923809523809524,1.07,28.0,9004.0,11.773279235147486,3.111111111111111,4.454626054102623,6.0,62435.99503559973,8.29423542064703
3,0,1000,5000,50000,1e-08,1e-08,0,2297,83,76,808716224,500,10,True,4.333333333333333,59961344.0,62309.137938518965,7.7850711621064335,6.666666666666667,62309.13793851895,2.033333333333333,62308.28079566181,1.2653061224489799,,4.571428571428571,6.942857142857143,1.01,27.0,8940.0,12.033304383756917,3.857142857142857,3.8910751097115686,6.0,62308.28079566181,7.2363373393144865
4,0,1000,5000,50000,1e-08,1e-08,0,2297,83,76,808716224,1000,10,True,4.380952380952381,60977152.0,62250.47122607591,7.262714811690292,5.790476190476191,62250.47122607592,1.9714285714285715,62247.804559409255,2.1875,,5.095238095238095,6.571428571428571,1.4000000000000001,26.0,8908.0,11.773279235147486,3.25,4.454626054102623,6.0,62247.804559409255,8.463719310168873
5,0,1000,5000,50000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,2297,83,76,808716224,12,10,True,4.523809523809524,58929152.0,62547.04267135936,7.277012589349677,5.904761904761905,62547.042671359355,1.8190476190476192,62545.99505231173,0.8055555555555555,,5.190476190476191,6.59047619047619,1.13,19.0,8692.0,9.595167816148992,3.1666666666666665,6.39140755501548,4.0,62545.99505231174,7.684786402717856
6,0,1000,5000,50000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,2297,83,76,808716224,50,10,True,5.142857142857143,58679296.0,62462.85217845686,8.412317139165918,6.752380952380953,62462.85217845687,1.9571428571428569,62461.04265464735,0.9375,,5.904761904761905,7.904761904761903,1.04,26.0,8908.0,12.006549411315158,3.25,6.488622136568009,4.0,62461.042654647346,8.359286708021692
7,0,1000,5000,50000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,2297,83,76,808716224,100,10,True,4.380952380952381,58589184.0,62456.56646417115,7.262714811690292,5.790476190476191,62456.566464171156,1.9714285714285715,62454.280749885445,2.1875,,5.095238095238095,6.571428571428571,1.19,26.0,8908.0,11.773279235147486,3.25,4.454626054102623,6.0,62454.280749885445,8.463719310168873
8,0,1000,5000,50000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,2297,83,76,808716224,500,10,True,5.142857142857143,59609088.0,62328.995081376095,8.013807630616913,7.228571428571428,62328.995081376095,2.1095238095238096,62327.852224233226,1.0,,5.523809523809524,7.676190476190477,1.3800000000000001,28.0,8972.0,10.797028260228275,3.5,5.916618324558199,5.0,62327.85222423324,8.599412661899695
9,0,1000,5000,50000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,2297,83,76,808716224,1000,10,True,4.380952380952381,60964864.0,62203.04265464736,7.441444712598505,6.495238095238095,62203.042654647346,2.0999999999999996,62200.47122607591,2.1875,,5.095238095238095,7.2476190476190485,1.18,26.0,8908.0,11.773279235147486,3.25,4.454626054102623,6.0,62200.47122607592,8.438269980955736
10,0,1000,5000,500000,1e-08,1e-08,0,4443,666,776,1137898847,12,10,True,4.526610644257703,58961920.0,73814.60652984047,6.656196024452288,4.721008403361344,73814.60652984046,1.6350140056022409,73813.40204770582,20.44635581711181,1.6615384615384616,5.361344537815126,5.634733893557423,1.36,374.0,35676.0,6.852735967582819,3.978723404255319,5.190525607290525,38.0,73813.40204770581,5.50040809157572
11,0,1000,5000,500000,1e-08,1e-08,0,4443,666,776,1137898847,50,10,True,4.411764705882353,59437056.0,73690.9286486477,6.8016860945481366,4.73501400560224,73690.92864864769,1.5932773109243696,73684.48607161688,31.823923084173817,1.4434389140271493,5.226890756302521,5.6151260504201685,1.31,435.0,37780.0,7.027325981726646,4.223300970873787,5.139982038971796,51.0,73684.48607161688,5.434148250271507
12,0,1000,5000,500000,1e-08,1e-08,0,4443,666,776,1137898847,100,10,True,4.9523809523809526,59744256.0,73553.72976999344,7.309716104128535,5.1792717086834745,73553.72976999344,1.7876750700280115,73542.82780920914,25.32457602195863,1.758490566037736,5.764705882352941,6.09859943977591,1.4300000000000002,431.0,37564.0,7.288170596524995,4.267326732673268,5.5179362956267894,48.0,73542.82780920914,5.852457328245316
