,Ne,length,sample_size,recombination_rate,mutation_rate,tool,edge_ratio_mean,edge_ratio_se
0,5000,5000000,50000,5e-09,1e-08,tsinfer,0.8418424816967518,0.0035783398765947467
1,5000,5000000,50000,1e-08,1e-08,tsinfer,0.8781086541101212,0.0028693972405968234
2,5000,5000000,50000,2e-08,1e-08,tsinfer,0.8950556283828247,0.0046906744548288444
3,5000,10000000,50000,5e-09,1e-08,tsinfer,0.9115607601300961,0.002462290178535141
4,5000,10000000,50000,1e-08,1e-08,tsinfer,0.8966248392196429,0.0028359563396999393
5,5000,10000000,50000,2e-08,1e-08,tsinfer,0.8380787896899922,0.000882383960676865
6,5000,15000000,50000,5e-09,1e-08,tsinfer,0.96840979201586,0.001834065835582179
7,5000,15000000,50000,1e-08,1e-08,tsinfer,0.9116137652262699,0.0018288420698576325
8,5000,15000000,50000,2e-08,1e-08,tsinfer,0.8075150373385132,0.0009607532023284752
9,5000,20000000,50000,5e-09,1e-08,tsinfer,1.0128940558598947,0.0019868659786641692
10,5000,20000000,50000,1e-08,1e-08,tsinfer,0.9150482922911195,0.0008619146704323358
11,5000,20000000,50000,2e-08,1e-08,tsinfer,0.7851036721183241,0.0012941818512150112
12,5000,25000000,50000,5e-09,1e-08,tsinfer,1.0500857920595807,0.0017442927551676556
13,5000,25000000,50000,1e-08,1e-08,tsinfer,0.9230899355993877,0.0013082193248157242
14,5000,25000000,50000,2e-08,1e-08,tsinfer,0.7713236888969903,0.001115136740029758
15,5000,30000000,50000,5e-09,1e-08,tsinfer,1.0808581317006765,0.0014578296830457006
16,5000,30000000,50000,1e-08,1e-08,tsinfer,0.930873174412892,0.0011381051413624074
17,5000,30000000,50000,2e-08,1e-08,tsinfer,0.7615523340441313,0.0005261148572496188
18,5000,35000000,50000,5e-09,1e-08,tsinfer,1.1042539820706367,0.002108877925123248
19,5000,35000000,50000,1e-08,1e-08,tsinfer,0.9340802858352195,0.0009804259491312266
20,5000,35000000,50000,2e-08,1e-08,tsinfer,0.7555099076661157,0.0009201332187162738
21,5000,40000000,50000,5e-09,1e-08,tsinfer,1.125055093483018,0.0016369797066789564
22,5000,40000000,50000,1e-08,1e-08,tsinfer,0.9388306201988016,0.0007247188421848045
