Unnamed: 0,Unnamed: 0.1,replicate,sample_size,Ne,length,recombination_rate,mutation_rate,error_param,edges,n_trees,n_sites,seed,ts_filesize,vcf_filesize,vcfgz_filesize,tsinfer_completed,tsinfer_cputime,tsinfer_var_polytomy,tsinfer_edges,tsinfer_memory,tsinfer_max_polytomy,tsinfer_mean_polytomy,tsinfer_ts_filesize,internal_nodes,internal_nodes_with_mutations
0,0,0,5000,5000,50000000,5e-09,1e-08,0,166607,41816,89983,808716224,9656668,902441090,31892286,True,6482.69,1033.692362995436,188090.0,1227194368.0,6367.0,4.7622544055094185,10772236.0,32560,17020
1,1,0,5000,5000,50000000,1e-08,1e-08,0,326012,84164,90172,1137898847,15396852,904336930,31486233,True,6731.75,1840.5735730111728,282926.0,1223831552.0,9734.0,5.467274729946473,14108636.0,58895,25050
2,2,0,5000,5000,50000000,2e-08,1e-08,0,643335,168630,91218,716355064,26830620,914826472,32119960,True,7035.37,3444.93739556514,412778.0,1133346816.0,14735.0,6.520979462875197,18582964.0,110548,35894
3,3,0,10000,5000,50000000,5e-09,1e-08,0,193427,46096,99375,309401769,11193244,1990403173,64426528,True,14727.63,1005.515207251178,213704.0,2017009664.0,6741.0,4.695449651747851,12311980.0,40953,20351
4,4,0,10000,5000,50000000,1e-08,1e-08,0,362330,90877,97834,429519779,17214940,1959539869,63167390,True,14473.74,1833.2245579551159,312410.0,1828925440.0,10215.0,5.4583733729361406,15690276.0,69093,28449
5,5,0,10000,5000,50000000,2e-08,1e-08,0,701673,180672,97450,1927017078,29399068,1951848733,62907521,True,14219.97,3070.79391963963,457605.0,1778880512.0,14584.0,6.5720461302043685,20618628.0,124915,39689
6,6,0,15000,5000,50000000,5e-09,1e-08,0,209288,47434,101554,1088278859,12058556,3049609128,93248288,True,19693.6,862.7860856414038,224562.0,2565246976.0,6395.0,4.6965742251223475,13001828.0,47410,22126
7,7,0,15000,5000,50000000,1e-08,1e-08,0,387307,94543,101708,567844019,18486724,3054233721,94430621,True,20981.85,1689.7240177202734,332072.0,2530775040.0,10120.0,5.445767325920824,16764236.0,77647,30817
8,8,0,15000,5000,50000000,2e-08,1e-08,0,746464,189339,101584,872000538,31392404,3050510068,92966304,True,22428.56,3075.182035882577,485655.0,2456252416.0,14985.0,6.614300306435138,21972676.0,136705,42499
9,9,0,20000,5000,50000000,5e-09,1e-08,0,225470,49025,104764,1492239008,12974196,4193663684,127765191,True,26721.88,865.7897720827392,235802.0,3221282816.0,6558.0,4.70568748752744,13745004.0,53903,23932
