,Ne,length,sample_size,recombination_rate,mutation_rate,tool,ts_relative_filesize_mean,ts_relative_filesize_se
0,5000,5000000,50000,5e-09,1e-08,tsinfer,0.7397041708820631,0.00050057318784949
1,5000,5000000,50000,1e-08,1e-08,tsinfer,0.7359948896044896,0.0016252786752143557
2,5000,5000000,50000,2e-08,1e-08,tsinfer,0.7168394176533932,0.001380831903573172
3,5000,10000000,50000,5e-09,1e-08,tsinfer,0.792214551041402,2.8631038993170987e-05
4,5000,10000000,50000,1e-08,1e-08,tsinfer,0.766426948553506,0.002592220503087189
5,5000,10000000,50000,2e-08,1e-08,tsinfer,0.707212574706979,
6,5000,15000000,50000,5e-09,1e-08,tsinfer,0.8360692025397239,0.0010790729175215957
7,5000,15000000,50000,1e-08,1e-08,tsinfer,0.7909830005887647,0.0007138688514091861
8,5000,15000000,50000,2e-08,1e-08,tsinfer,0.7005013267844841,0.0038078383809408978
9,5000,20000000,50000,5e-09,1e-08,tsinfer,0.8716616143164448,0.0015227923334622348
10,5000,20000000,50000,1e-08,1e-08,tsinfer,0.8105582112749361,0.0009984413689243295
11,5000,20000000,50000,2e-08,1e-08,tsinfer,0.700073960889791,0.0008750881383458863
12,5000,25000000,50000,5e-09,1e-08,tsinfer,0.8964961516443687,0.0006724246231084833
13,5000,25000000,50000,1e-08,1e-08,tsinfer,0.8250395616486652,0.0006608868340214539
14,5000,25000000,50000,2e-08,1e-08,tsinfer,0.7000940678968277,0.0008810601319051386
15,5000,30000000,50000,5e-09,1e-08,tsinfer,0.9214171102578076,0.0007823469253318059
16,5000,30000000,50000,1e-08,1e-08,tsinfer,0.8369414120523837,0.0005206177686208718
17,5000,30000000,50000,2e-08,1e-08,tsinfer,0.6992721931089807,0.0009784638467072726
18,5000,35000000,50000,5e-09,1e-08,tsinfer,0.9418162751528404,0.0013189398496585663
19,5000,35000000,50000,1e-08,1e-08,tsinfer,0.8464986815269474,0.0006358789831092139
20,5000,35000000,50000,2e-08,1e-08,tsinfer,0.7012037059556872,0.0008656828114195973
21,5000,40000000,50000,5e-09,1e-08,tsinfer,0.955872612494628,0.0009079434501725044
22,5000,40000000,50000,1e-08,1e-08,tsinfer,0.85368775342754,0.0023040249320097346
23,5000,40000000,50000,2e-08,1e-08,tsinfer,0.7026849375062346,0.000403006607413157
24,5000,45000000,50000,5e-09,1e-08,tsinfer,0.9723953255860828,0.0007129229797826945
25,5000,45000000,50000,1e-08,1e-08,tsinfer,0.8628727396028167,0.0011363624913506161
26,5000,45000000,50000,2e-08,1e-08,tsinfer,0.7045304415634843,0.0006819208676002109
27,5000,50000000,5000,5e-09,1e-08,tsinfer,1.116127484938271,0.0007923980091502492
28,5000,50000000,5000,1e-08,1e-08,tsinfer,0.9155118618076866,0.001498471078492198
29,5000,50000000,5000,2e-08,1e-08,tsinfer,0.6912798880386348,4.689592584924962e-05
30,5000,50000000,10000,5e-09,1e-08,tsinfer,1.0947367328083681,0.0018175873113705752
31,5000,50000000,10000,1e-08,1e-08,tsinfer,0.9110755447006291,0.0009902092425403512
32,5000,50000000,10000,2e-08,1e-08,tsinfer,0.6995141917073922,0.0004882131152182585
33,5000,50000000,15000,5e-09,1e-08,tsinfer,1.0784913835282697,0.0010327354774734144
34,5000,50000000,15000,1e-08,1e-08,tsinfer,0.904410214440423,0.0005360150624865434
