,Ne,length,sample_size,recombination_rate,mutation_rate,tool,vcf_compression_factor_mean,vcf_compression_factor_se
0,5000,5000000,50000,5e-09,1e-08,tsinfer,6.297161457041929,0.00222755226897231
1,5000,5000000,50000,1e-08,1e-08,tsinfer,5.608062181088533,0.08960193228831115
2,5000,5000000,50000,2e-08,1e-08,tsinfer,4.756635395227084,0.06592866303597858
3,5000,10000000,50000,5e-09,1e-08,tsinfer,10.260329169151838,0.024638417291143352
4,5000,10000000,50000,1e-08,1e-08,tsinfer,8.432377275860066,0.03469219945966229
5,5000,10000000,50000,2e-08,1e-08,tsinfer,7.192747010534168,
6,5000,15000000,50000,5e-09,1e-08,tsinfer,12.361061888483434,0.13979348887496545
7,5000,15000000,50000,1e-08,1e-08,tsinfer,10.43466910834947,0.10705413906484555
8,5000,15000000,50000,2e-08,1e-08,tsinfer,8.391952525272366,0.07194087353608714
9,5000,20000000,50000,5e-09,1e-08,tsinfer,13.944795895531412,0.2331571000268211
10,5000,20000000,50000,1e-08,1e-08,tsinfer,11.666431075539103,0.08433691098095515
11,5000,20000000,50000,2e-08,1e-08,tsinfer,9.253615811621348,0.1664508760220591
12,5000,25000000,50000,5e-09,1e-08,tsinfer,15.156472945863863,0.0533298276354407
13,5000,25000000,50000,1e-08,1e-08,tsinfer,12.383414444279914,0.06079744674229864
14,5000,25000000,50000,2e-08,1e-08,tsinfer,9.977727635880582,0.025180480479809624
15,5000,30000000,50000,5e-09,1e-08,tsinfer,15.990190785313999,0.10434226461121211
16,5000,30000000,50000,1e-08,1e-08,tsinfer,13.110278563446048,0.0831788518160225
17,5000,30000000,50000,2e-08,1e-08,tsinfer,10.421744609102307,0.024035635403373945
18,5000,35000000,50000,5e-09,1e-08,tsinfer,16.762503697020716,0.11172715883557585
19,5000,35000000,50000,1e-08,1e-08,tsinfer,13.572002743978949,0.031264919829987525
20,5000,35000000,50000,2e-08,1e-08,tsinfer,10.655609548184435,0.03253294863667731
21,5000,40000000,50000,5e-09,1e-08,tsinfer,17.246541275247775,0.08719657052995512
22,5000,40000000,50000,1e-08,1e-08,tsinfer,13.905930298994019,0.09270702940420382
23,5000,40000000,50000,2e-08,1e-08,tsinfer,10.945391666746128,0.022078850110651374
24,5000,45000000,50000,5e-09,1e-08,tsinfer,17.801748695276345,0.09610278600363373
25,5000,45000000,50000,1e-08,1e-08,tsinfer,14.296355261114822,0.06407717515152857
26,5000,45000000,50000,2e-08,1e-08,tsinfer,11.145174672894548,0.014090976357321355
27,5000,50000000,5000,5e-09,1e-08,tsinfer,2.941769482732904,0.005462658384123614
28,5000,50000000,5000,1e-08,1e-08,tsinfer,2.257562928069459,0.01587851868671285
29,5000,50000000,5000,2e-08,1e-08,tsinfer,1.7075223661547465,0.008676944333716184
30,5000,50000000,10000,5e-09,1e-08,tsinfer,5.260379823552337,0.02031150822999014
31,5000,50000000,10000,1e-08,1e-08,tsinfer,4.017819000130977,0.013590401966186614
32,5000,50000000,10000,2e-08,1e-08,tsinfer,3.048201394840581,0.007514230742356266
33,5000,50000000,15000,5e-09,1e-08,tsinfer,7.249469618339111,0.02554292284503407
34,5000,50000000,15000,1e-08,1e-08,tsinfer,5.6482431246441775,0.03556186187262599
35,5000,50000000,15000,2e-08,1e-08,tsinfer,4.263931097061687,
36,5000,50000000,20000,5e-09,1e-08,tsinfer,9.323256486154873,0.03156624683430373
37,5000,50000000,20000,1e-08,1e-08,tsinfer,7.222485135813288,0.0032318348917754753
38,5000,50000000,20000,2e-08,1e-08,tsinfer,5.54346288739492,0.02363632226056711
39,5000,50000000,25000,5e-09,1e-08,tsinfer,10.953863277167697,0.07938866095537084
40,5000,50000000,25000,1e-08,1e-08,tsinfer,8.625645319453708,
41,5000,50000000,25000,2e-08,1e-08,tsinfer,6.555059018355385,0.020935278289050955
42,5000,50000000,30000,5e-09,1e-08,tsinfer,12.57574896868644,0.07901190242807841
43,5000,50000000,30000,1e-08,1e-08,tsinfer,9.890491395053887,
44,5000,50000000,30000,2e-08,1e-08,tsinfer,7.604328878934251,0.033715813312460714
45,5000,50000000,35000,5e-09,1e-08,tsinfer,14.125755626496723,0.09554648572466978
46,5000,50000000,35000,1e-08,1e-08,tsinfer,11.163959698038708,0.07626400553351291
47,5000,50000000,35000,2e-08,1e-08,tsinfer,8.644047282217267,0.03214052702068545
48,5000,50000000,40000,5e-09,1e-08,tsinfer,15.444307228903897,0.28953069078466953
