centre,Bristol,Newcastle,Birmingham,Liverpool,Sheffield,Leeds,Middlesborough,Nottingham,Glasgow,Oxford,Hounslow,Swansea,Stoke,Manchester,Bury,Croydon,Reading,Cardiff,Barts,Edinburgh,Stockport (pilot),Wrexham
Barts,0.09447689557207548,0.06931171682378438,0.047335567699511555,0.06265640580639352,0.05592377503368575,0.08487735285376846,0.04063445851906102,0.06656032830347453,0.036765773191361775,0.032345471557525575,0.059388389918162296,0.004594578533311081,0.035883082259818684,0.027602242144355752,0.053756591016068625,0.0556512504333522,0.06625831835703737,0.03859367842773377,0.030699730894905596,0.03458989304693268,0.0009560749685702944,0.0011384246391093564
Birmingham,0.0909445921910184,0.06003587690626632,0.09598875915857705,0.06259780004017045,0.06122816109015462,0.0803584810243474,0.03798455435402618,0.07316302426619542,0.02798066709863715,0.030524306817054026,0.04897578939892153,0.00464965372571733,0.04822873982328009,0.026801115088190015,0.0539628264051165,0.04677422742156559,0.06067907373332142,0.03935190904903473,0.021048708814971583,0.0263452700605717,0.0009443972716171872,0.001432066261244257
Bristol,0.1641722578244169,0.05949894237449424,0.04813956992040099,0.056113587697163785,0.05254484058285596,0.0750922683558946,0.03614967902982555,0.06343644017700718,0.027314856798428815,0.03196722693510693,0.05316570326362351,0.005774048305483135,0.03408532304203449,0.023608831265410697,0.04707274845126707,0.05167259013706158,0.06726380846830472,0.05149394782753729,0.022390963885193335,0.027073618635936457,0.0007964090008134329,0.0011723380217398324
Bury,0.07256905280801904,0.06329672202518737,0.044383960993983396,0.08242153825871862,0.06397933163771333,0.0968303559507989,0.03890862115309501,0.06638514390910431,0.030564011009802456,0.02521240026913472,0.044016187277355616,0.003445367033990475,0.04482333999306285,0.03899331367432225,0.11218544823411215,0.041243694830747635,0.05155861425892007,0.029013653754944326,0.020105209408329588,0.027271482324143483,0.0012561922440086205,0.0015363589505075572
Cardiff,0.12364217097136324,0.054363489105912564,0.050071548579452035,0.05997027887733401,0.049364798599090334,0.06977286714797332,0.035036526273786596,0.059938879074681775,0.025222472972660625,0.030925835467406147,0.05252315822625419,0.011104268330579323,0.034758589119182975,0.023496127165232205,0.04546684982898685,0.04959823738370581,0.06523902539881923,0.11029661392551718,0.022013295803014327,0.02483901471413124,0.0007485576565426701,0.0016073953783708802
Croydon,0.09919334529209123,0.06792054857661663,0.047749056115799736,0.06038620023314061,0.05667135270990113,0.08272159170719476,0.04010764568361063,0.06811853640042437,0.0330862559312858,0.03345891724888272,0.058992403187740176,0.004658713060270344,0.03536411329768945,0.025829794185616185,0.050729932423975076,0.06535977560129634,0.07073673616827128,0.039487014833053787,0.02541042092994325,0.032009396322213494,0.000853337805451796,0.001154912285530546
Edinburgh,0.06995498403358599,0.09745748265988079,0.037393221521989206,0.06011298745539463,0.04601157356518989,0.07465734025963923,0.045008799222446,0.0535573645739654,0.08631836417062971,0.02488770772954541,0.04783615358986218,0.00332535862559872,0.027605793556531453,0.023941643836862946,0.04584474402240131,0.043988268950963326,0.05357516328396797,0.026690284750441166,0.021598854607338708,0.10862727572430615,0.0007657335418184174,0.0008409003176389396
Glasgow,0.06561811778875179,0.09307703865461872,0.037266743692847694,0.0662926625357394,0.043428681210532505,0.07258430543755391,0.04453762212269071,0.05126572662341064,0.1292591782362491,0.02365231323250515,0.04708505907574319,0.0031669480306192274,0.02632283405072373,0.025397673294815765,0.04762076417250036,0.043137418764170814,0.051347448339837225,0.025131213686626408,0.021724871223527203,0.08045605504044175,0.0008147102585344652,0.0008126145275610722
Hounslow,0.09750492544198154,0.06888373159866211,0.04774606416375674,0.06055112012031138,0.05711660604533486,0.08322111474566553,0.04032447343343168,0.06760873194731823,0.03475290553976508,0.03293892113303637,0.06374263056918368,0.00487813606545216,0.035564485482173704,0.0259345760679956,0.051488816352069935,0.05621588666618963,0.07053273007921937,0.039937933478221235,0.02563723355118364,0.03327766483276366,0.0009254256741933313,0.0012158870120911472
Leeds,0.07345311013196756,0.07261574987542085,0.04190173882256291,0.060992073317516986,0.07382387632307229,0.15900734333217184,0.047257850872640096,0.0685370730561576,0.02953046621478152,0.02578356863432201,0.04484218302017052,0.0033868813234477647,0.03570144148374999,0.027355709093545823,0.061546669142618644,0.04244828308072151,0.053279010731754346,0.028335367864247347,0.019917901277443303,0.028274211970610457,0.0009524069483086552,0.0010570834827685384
Liverpool,0.07493602954671187,0.06620769367286439,0.04508296522911911,0.13278025985268274,0.055614781028928736,0.0830959311737503,0.03883804168727093,0.061455716816161285,0.03740165253291745,0.02545343192747743,0.045718283024731986,0.003925819331184165,0.04267200500884289,0.031976508677730324,0.07114761903402282,0.04296482182169719,0.05307350380818241,0.03306087109412798,0.02054774769062957,0.03100432727175005,0.0010499763445903773,0.0019920134246273835
Manchester,0.0769271783784606,0.06592168606356588,0.04670642812911801,0.0778527861391054,0.06349927928023662,0.09144412927945479,0.03926608910590424,0.0679195578967894,0.033833543068774466,0.026878473085545505,0.04670878584785599,0.0037844022419041014,0.04652113935473319,0.0444287529275793,0.08312468821334662,0.04441670800657156,0.05447104248449726,0.031620339027817114,0.021927012118861906,0.02987221489241601,0.001337384912801834,0.001538379544659018
Middlesborough,0.07206219696171876,0.1138363244960094,0.040521429177058345,0.0581237782130808,0.05688106088076243,0.09606913828183904,0.1036521074426002,0.06185813775942132,0.037132013786487214,0.024885670774184798,0.04465386259231323,0.003474367766930471,0.03220146692951661,0.024111602319485816,0.050319821256051625,0.042109065971427585,0.0529832808769332,0.028982754523094966,0.019532249762100592,0.03470356174743001,0.0008575589627155454,0.0010485495188369224
Newcastle,0.06768098968698229,0.18881459491679428,0.03699845836107773,0.056685946653844424,0.050142679672673,0.08401354944438,0.06481985229480176,0.0563881165005396,0.04427485672684764,0.02376580224839289,0.04339122506028862,0.0031171456149637826,0.029040151709936124,0.023183528347796824,0.0468510531755228,0.04085084578232796,0.050691957420060926,0.02567735655008739,0.019085761833346104,0.04281735681745872,0.0008026886957783872,0.0009060824861019692
Nottingham,0.08012310589889511,0.0626350413985717,0.04867259677992427,0.05822627196219825,0.07653347142597892,0.08844255828707824,0.039309585332909756,0.13657314655540767,0.026912633962449566,0.027700899129630596,0.046755294838188736,0.0037346391273043187,0.04275794854732593,0.026185449639358288,0.05417562990139865,0.04489400752744185,0.0567124761778836,0.03140069247309284,0.01997356201590591,0.026158991938446174,0.0009157688049903482,0.0012062282756219642
Oxford,0.10020651641005476,0.065332813784307,0.05066534959744868,0.05925102040198767,0.05671402880724865,0.08227137056279743,0.03903606603838974,0.06845372607090668,0.03056572634412846,0.050043641772054885,0.05574978338941547,0.004985010756877229,0.03689809474888493,0.025604638930971757,0.05101207065114696,0.05440571964928331,0.0724412296349646,0.04025362225336103,0.023902590355181625,0.030159442159010973,0.0008387027876459892,0.0012088348939321126
Reading,0.10180063273856703,0.06729185640358884,0.0486456056402243,0.05972973395586966,0.056771233165092166,0.0821342322079177,0.040024574675116546,0.06790115964302246,0.032111742334775546,0.03492644508918381,0.05786867404449425,0.004915485904690969,0.03592997361296079,0.025230166071675907,0.050490848947815824,0.055541448590468154,0.08063963299691174,0.04097800078210099,0.023757426808170147,0.031203378699225046,0.0008750149303828341,0.0012327327577469189
Sheffield,0.07428549113720892,0.0626168014699834,0.04555047739380804,0.058973155170315074,0.13140221723425977,0.10598651485898825,0.04042997362263939,0.08538065609288899,0.025734296997822734,0.025634094214492784,0.04413982955415765,0.003379671607784061,0.04081079598611388,0.027189453526727546,0.05849363257454483,0.04183126799584264,0.053147664327188704,0.028897675916197917,0.01881453190753595,0.025229449138777185,0.0009536116074223857,0.0011187376653013742
