name,country
West Kent,England
Hartlepool and Stockton-on-Tees,England
"Bristol, City of",England
"Bath and North East Somerset, North Somerset and South Gloucestershire",England
South Teesside,England
Darlington,England
Gloucestershire,England
Swindon,England
Durham CC,England
Northumberland,England
Wiltshire,England
Bournemouth and Poole,England
Tyneside,England
Sunderland,England
Dorset CC,England
Somerset,England
West Cumbria,England
East Cumbria,England
Cornwall and Isles of Scilly,England
Plymouth,England
Manchester,England
Greater Manchester South West,England
Torbay,England
Devon CC,England
Greater Manchester South East,England
Greater Manchester North West,England
Isle of Anglesey,Wales
Gwynedd,Wales
Greater Manchester North East,England
Blackburn with Darwen,England
Conwy and Denbighshire,Wales
Blackpool,England
South West Wales,Wales
Central Valleys,Wales
Lancaster and Wyre,England
Mid Lancashire,England
Gwent Valleys,Wales
Bridgend and Neath Port Talbot,Wales
East Lancashire,England
Chorley and West Lancashire,England
Swansea,Wales
Monmouthshire and Newport,Wales
Warrington,England
Cheshire East,England
Cardiff and Vale of Glamorgan,Wales
Flintshire and Wrexham,Wales
Cheshire West and Chester,England
East Merseyside,England
Powys,Wales
Aberdeen City and Aberdeenshire,Scotland
Liverpool,England
Sefton,England
Caithness & Sutherland and Ross & Cromarty,Scotland
"Inverness & Nairn and Moray, Badenoch & Strathspey",Scotland
Wirral,England
"Kingston upon Hull, City of",England
"Lochaber, Skye & Lochalsh, Arran & Cumbrae and Argyll & Bute",Scotland
Na h-Eileanan Siar (Western Isles),Scotland
East Riding of Yorkshire,England
North and North East Lincolnshire,England
Orkney Islands,Scotland
Shetland Islands,Scotland
York,England
North Yorkshire CC,England
Angus and Dundee City,Scotland
Clackmannanshire and Fife,Scotland
"Barnsley, Doncaster and Rotherham",England
Sheffield,England
East Lothian and Midlothian,Scotland
"Edinburgh, City of",Scotland
Bradford,England
Leeds,England
Falkirk,Scotland
Perth & Kinross and Stirling,Scotland
Calderdale and Kirklees,England
Wakefield,England
West Lothian,Scotland
"East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond",Scotland
Derby,England
East Derbyshire,England
Glasgow City,Scotland
"Inverclyde, East Renfrewshire and Renfrewshire",Scotland
South and West Derbyshire,England
Nottingham,England
North Lanarkshire,Scotland
Scottish Borders,Scotland
North Nottinghamshire,England
South Nottinghamshire,England
Dumfries & Galloway,Scotland
East Ayrshire and North Ayrshire mainland,Scotland
Leicester,England
Leicestershire CC and Rutland,England
South Ayrshire,Scotland
South Lanarkshire,Scotland
West Northamptonshire,England
North Northamptonshire,England
Belfast,Northern Ireland
"Armagh City, Banbridge and Craigavon",Northern Ireland
Lincolnshire,England
"Herefordshire, County of",England
Worcestershire,England
"Newry, Mourne and Down",Northern Ireland
Warwickshire,England
Ards and North Down,Northern Ireland
Telford and Wrekin,England
Derry City and Strabane,Northern Ireland
Shropshire CC,England
Mid Ulster,Northern Ireland
Stoke-on-Trent,England
Causeway Coast and Glens,Northern Ireland
Staffordshire CC,England
Antrim and Newtownabbey,Northern Ireland
Lisburn and Castlereagh,Northern Ireland
Birmingham,England
Mid and East Antrim,Northern Ireland
Solihull,England
Fermanagh and Omagh,Northern Ireland
Coventry,England
Dudley,England
Sandwell,England
Walsall,England
Wolverhampton,England
Peterborough,England
Cambridgeshire CC,England
Suffolk,England
Norwich and East Norfolk,England
North and West Norfolk,England
Breckland and South Norfolk,England
Luton,England
Hertfordshire,England
Bedford,England
Central Bedfordshire,England
Southend-on-Sea,England
Thurrock,England
Essex Haven Gateway,England
West Essex,England
Heart of Essex,England
Essex Thames Gateway,England
Camden and City of London,England
Westminster,England
Kensington & Chelsea and Hammersmith & Fulham,England
Wandsworth,England
Hackney and Newham,England
Tower Hamlets,England
Haringey and Islington,England
Lewisham and Southwark,England
Lambeth,England
Bexley and Greenwich,England
Barking & Dagenham and Havering,England
Redbridge and Waltham Forest,England
Enfield,England
Bromley,England
Croydon,England
"Merton, Kingston upon Thames and Sutton",England
Barnet,England
Brent,England
Ealing,England
Harrow and Hillingdon,England
Hounslow and Richmond upon Thames,England
Berkshire,England
Milton Keynes,England
Buckinghamshire CC,England
Oxfordshire,England
Brighton and Hove,England
East Sussex CC,England
West Surrey,England
East Surrey,England
West Sussex (South West),England
West Sussex (North East),England
Portsmouth,England
Southampton,England
Isle of Wight,England
South Hampshire,England
Central Hampshire,England
North Hampshire,England
Medway,England
Kent Thames Gateway,England
East Kent,England
Mid Kent,England
