Unnamed: 0,replicate,sample_size,Ne,length,recombination_rate,mutation_rate,error_rate,edges,n_trees,n_sites,seed,sites,ts_filesize,vcf_filesize,vcfgz_filesize,tsinfer_completed,tsinfer_memory,tsinfer_mean_polytomy,tsinfer_edges,tsinfer_cputime,tsinfer_ts_filesize,tsinfer_var_polytomy,tsinfer_max_polytomy
0,0,5000,5000,50000000,5e-09,1e-08,0,166607,41816,89983,808716224,89983,5973441,902441106,31892310,False,,,,,,,
1,0,10000,5000,50000000,5e-09,1e-08,0,193821,46148,97885,1137898847,97885,6909653,1960561214,62550168,False,,,,,,,
2,0,15000,5000,50000000,5e-09,1e-08,0,208693,47337,101195,716355064,101195,7423545,3038829208,94545811,False,,,,,,,
3,0,20000,5000,50000000,5e-09,1e-08,0,224816,48850,104229,309401769,104229,8006429,4172248333,127128266,True,2565419008.0,5.183887317526908,273082.0,6461.34,9679320.0,8038.727532480784,20558.0
4,0,25000,5000,50000000,5e-09,1e-08,0,240684,50266,106855,429519779,106855,8536854,5345939483,158306847,False,,,,,,,
5,0,30000,5000,50000000,5e-09,1e-08,0,252866,50931,108426,1927017078,108426,8984098,6508819033,189394107,True,3535167488.0,5.320710686820472,300966.0,7279.45,10603161.0,7917.378042737209,21138.0
6,0,35000,5000,50000000,5e-09,1e-08,0,267695,52091,109756,1088278859,109756,9533197,7686243324,215866109,False,,,,,,,
7,0,40000,5000,50000000,5e-09,1e-08,0,276896,51832,110838,567844019,110838,9865360,8870418728,247828162,False,,,,,,,
8,0,45000,5000,50000000,5e-09,1e-08,0,292818,53292,113537,872000538,113537,10403635,10221811216,281536078,True,4855681024.0,5.564212910532277,343924.0,11398.21,12001047.0,8073.140715724933,22305.0
9,0,50000,5000,5000000,5e-09,1e-08,0,120005,5245,11187,1492239008,11187,4046004,1119249913,29177598,False,,,,,,,
10,0,50000,5000,10000000,5e-09,1e-08,0,141857,10967,23079,499387851,23079,4847701,2308782770,64572879,False,,,,,,,
11,0,50000,5000,15000000,5e-09,1e-08,0,161708,16232,34490,1389054605,34490,5567178,3450213509,96957559,False,,,,,,,
12,0,50000,5000,20000000,5e-09,1e-08,0,182365,21631,45270,1972686173,45270,6311491,4528526451,120530880,False,,,,,,,
13,0,50000,5000,25000000,5e-09,1e-08,0,201254,26653,56659,1953129429,56659,7001232,5667757216,158202453,False,,,,,,,
14,0,50000,5000,30000000,5e-09,1e-08,0,222379,32171,68781,287794401,68781,7783579,6880308234,187068520,False,,,,,,,
15,0,50000,5000,35000000,5e-09,1e-08,0,241999,37323,80176,1662864346,80176,8493689,8020138899,219035458,False,,,,,,,
16,0,50000,5000,40000000,5e-09,1e-08,0,262935,42871,92204,392300528,92204,9316002,9223287618,251420309,False,,,,,,,
17,0,50000,5000,45000000,5e-09,1e-08,0,284975,48570,103649,1125918068,103649,10144256,10368118440,285326908,False,,,,,,,
18,0,50000,5000,50000000,5e-09,1e-08,0,304904,53879,114146,265820473,114146,10855369,11418124418,319004511,False,,,,,,,
19,0,50000,5000,55000000,5e-09,1e-08,0,327979,59894,127544,1046743283,127544,11700557,12758312644,355017063,False,,,,,,,
20,0,50000,5000,60000000,5e-09,1e-08,0,342791,63770,135702,1350418526,135702,12286366,13574349369,364440861,False,,,,,,,
21,0,50000,5000,65000000,5e-09,1e-08,0,364941,69669,148388,466871037,148388,13099259,14843316794,408495871,False,,,,,,,
22,0,50000,5000,70000000,5e-09,1e-08,0,385465,75125,159280,1916939455,159280,13839520,15932833104,438784587,True,7761477632.0,5.493016562072382,465654.0,24852.04,16441075.0,11850.547407938999,31667.0
23,0,50000,5000,75000000,5e-09,1e-08,0,404463,80050,170214,929397077,170214,14535152,17026550054,466162649,False,,,,,,,
24,0,50000,5000,80000000,5e-09,1e-08,0,426582,85931,182959,462359148,182959,15348843,18301419839,503152557,True,9031983104.0,5.431303879310345,524186.0,24897.7,18515951.0,13154.452508959717,35604.0
25,0,50000,5000,85000000,5e-09,1e-08,0,444351,90649,193611,418086302,193611,16009678,19366927982,531524844,False,,,,,,,
26,0,50000,5000,90000000,5e-09,1e-08,0,466745,96313,204973,316767138,204973,16802298,20503457644,555896796,True,10287415296.0,5.416028025094857,576677.0,28222.01,20530867.0,15154.83034868489,40144.0
27,0,50000,5000,95000000,5e-09,1e-08,0,488209,102183,216985,570841540,216985,17586570,21705007019,599461948,False,,,,,,,
28,0,50000,5000,100000000,5e-09,1e-08,0,506208,106812,227825,358116354,227825,18255378,22789321348,632435751,False,,,,,,,
29,0,55000,5000,50000000,5e-09,1e-08,0,316046,54096,114848,1974001566,114848,11236524,12636848897,345173780,False,,,,,,,
30,0,60000,5000,50000000,5e-09,1e-08,0,328976,54855,115609,1553621901,115609,11661417,13876696070,367404890,True,6380728320.0,5.7907148234065104,376935.0,19098.38,13060302.0,7860.931312246161,22578.0
31,0,65000,5000,50000000,5e-09,1e-08,0,339436,54940,116821,667719760,116821,12028046,15190406071,405286985,False,,,,,,,
32,0,70000,5000,50000000,5e-09,1e-08,0,349469,54977,117101,667699277,117101,12374157,16397849088,437976244,True,7414087680.0,5.900633614606168,392994.0,18027.77,13743601.0,8007.029314333827,23047.0
33,0,75000,5000,50000000,5e-09,1e-08,0,362885,55924,118265,134906351,118265,12819195,17743517718,477687300,False,,,,,,,
34,0,80000,5000,50000000,5e-09,1e-08,0,371878,55549,118371,1294647786,118371,13129506,18943155210,490227288,False,,,,,,,
35,0,85000,5000,50000000,5e-09,1e-08,0,387319,57024,119827,906262299,119827,13636084,20374452475,545939994,False,,,,,,,
36,0,90000,5000,50000000,5e-09,1e-08,0,390877,55387,118525,960426798,118525,13776005,21338349684,553410837,False,,,,,,,
37,0,95000,5000,50000000,5e-09,1e-08,0,406579,56814,119694,1489521078,119694,14333890,22745768129,596848382,True,9875288064.0,6.268201353133909,441927.0,23994.050000000003,15340537.0,8001.711665895262,23687.0
38,0,100000,5000,50000000,5e-09,1e-08,0,417059,56970,121107,1573457715,121107,14710314,24225374165,625377656,False,,,,,,,
39,0,5000,5000,50000000,1e-08,1e-08,0,323211,83576,90296,745819123,90296,10135771,905580056,31481429,True,911593472.0,5.776581234859434,283763.0,1552.75,9411854.0,14721.515440405768,26873.0
40,0,10000,5000,50000000,1e-08,1e-08,0,367508,92285,98835,621137568,98835,11620619,1979588639,64187113,False,,,,,,,
41,0,15000,5000,50000000,1e-08,1e-08,0,389498,95183,102823,1917583319,102823,12343947,3087715746,95265939,False,,,,,,,
42,0,20000,5000,50000000,1e-08,1e-08,0,408799,97344,104822,171685554,104822,12963469,4195985559,128432996,False,,,,,,,
43,0,25000,5000,50000000,1e-08,1e-08,0,436594,102061,108177,1809123449,108177,13827788,5412076837,160854934,False,,,,,,,
44,0,30000,5000,50000000,1e-08,1e-08,0,449385,102521,109623,1429992420,109623,14262230,6580674027,190875310,False,,,,,,,
45,0,35000,5000,50000000,1e-08,1e-08,0,463144,103545,110496,1313836049,110496,14784092,7738063675,222093437,False,,,,,,,
46,0,40000,5000,50000000,1e-08,1e-08,0,480449,105426,112361,1698419317,112361,15346390,8992302804,257349094,False,,,,,,,
47,0,45000,5000,50000000,1e-08,1e-08,0,493356,105935,113449,745911278,113449,15780566,10213888935,284589027,False,,,,,,,
48,0,50000,5000,5000000,1e-08,1e-08,0,140116,10536,11146,669270988,11146,4604018,1115148766,31567566,False,,,,,,,
49,0,50000,5000,10000000,1e-08,1e-08,0,181056,21264,22012,1782501257,22012,5880934,2202053101,60490286,False,,,,,,,
50,0,50000,5000,15000000,1e-08,1e-08,0,223245,32455,34181,1554950652,34181,7201808,3419305114,95143598,False,,,,,,,
51,0,50000,5000,20000000,1e-08,1e-08,0,262673,42710,45635,1619036622,45635,8493968,4565037473,126305369,False,,,,,,,
52,0,50000,5000,25000000,1e-08,1e-08,0,304666,53811,56252,1876823513,56252,9829302,5627045186,155010264,False,,,,,,,
